time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,10.0,5.3,0.25,2.1,323,100,7640.0,1,0.142
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,25.0,7.3,0.82,2.2,52,85,7640.0,1,0.142
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,130.0,10.4,1.14,3.7,61,41,11460.0,1,0.142
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,335.0,13.0,1.09,4.3,74,0,12500.0,1,0.142
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,550.0,14.9,1.03,4.4,39,0,13340.0,1,0.141
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,770.0,15.8,2.87,7.4,13,0,13340.0,1,0.14
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,715.0,16.8,3.52,8.1,23,2,13340.0,1,0.14
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,675.0,16.9,4.13,9.6,35,0,13340.0,1,0.139
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,655.0,16.2,3.61,9.4,31,0,13340.0,1,0.138
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,660.0,15.3,3.36,8.1,23,0,13340.0,1,0.138
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,585.0,13.7,4.0,8.1,9,34,14080.0,0,0.137
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,305.0,12.4,3.27,8.0,7,80,14060.0,0,0.137
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,130.0,11.3,2.65,6.4,360,100,14060.0,0,0.136
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,125.0,12.1,2.84,6.0,9,49,14060.0,0,0.136
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,75.0,10.1,2.72,5.5,354,86,14060.0,0,0.135
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,50.0,9.1,1.6,5.2,346,45,14060.0,0,0.135
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,30.0,7.6,1.19,3.2,292,30,13340.0,0,0.135
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,6.0,1.19,2.6,292,11,12480.0,0,0.135
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,15.0,6.0,1.07,2.6,307,30,13340.0,0,0.135
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,20.0,6.4,1.21,2.5,300,34,12480.0,0,0.135
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,5.7,1.14,2.4,293,16,12480.0,0,0.135
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,20.0,5.1,1.17,2.5,301,69,12460.0,0,0.135
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,4.8,1.19,2.4,303,15,12460.0,0,0.135
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,3.7,1.28,2.5,301,0,12460.0,0,0.135
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,4.5,0.86,2.2,277,0,12460.0,1,0.136
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,7.7,1.97,3.6,261,0,13320.0,1,0.136
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,145.0,11.9,1.42,4.1,238,0,14060.0,1,0.136
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,235.0,14.4,1.7,5.1,230,0,13320.0,1,0.135
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,345.0,16.8,2.24,6.3,219,0,14060.0,1,0.135
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,660.0,18.5,2.91,7.5,204,0,14060.0,1,0.134
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1000.0,19.5,3.4,8.1,194,0,15640.0,1,0.132
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1005.0,19.9,3.66,8.5,183,0,15840.0,1,0.131
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,920.0,19.5,3.65,8.5,171,0,15840.0,1,0.13
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,545.0,17.9,3.18,8.0,156,0,15640.0,1,0.129
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,275.0,15.0,3.33,6.4,147,0,14040.0,0,0.129
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,170.0,13.4,2.76,6.4,148,0,13320.0,0,0.129
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,110.0,11.8,2.21,5.3,147,0,12460.0,0,0.13
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,95.0,11.3,1.93,4.5,159,0,12460.0,0,0.13
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,70.0,10.3,1.66,3.9,155,0,12460.0,0,0.13
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,9.8,1.03,3.2,203,0,12460.0,0,0.13
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,9.0,1.04,2.2,253,0,12440.0,0,0.13
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,8.6,0.9,2.2,267,0,12440.0,0,0.13
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,8.4,0.96,2.2,223,0,12440.0,0,0.13
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,8.5,0.57,2.3,232,0,12440.0,0,0.13
