event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T11:00,2026-01-18T13:00,3,2,0.333,0.6,1.0,0.755,0.0,0.0,14
1,2026-01-19T04:00,2026-01-19T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
2,2026-01-19T08:00,2026-01-19T10:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,4
3,2026-01-19T15:00,2026-01-19T15:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4
4,2026-01-19T20:00,2026-01-19T20:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,130
5,2026-01-25T07:00,2026-01-25T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
6,2026-01-25T13:00,2026-01-25T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,83
7,2026-01-29T01:00,2026-01-29T16:00,16,14,0.469,1.0,7.5,0.478,0.0,0.0,395
8,2026-02-15T04:00,2026-02-15T15:00,12,12,0.9,1.8,10.8,0.603,0.224,0.0,6
9,2026-02-15T22:00,2026-02-16T04:00,7,7,0.343,0.4,2.4,0.156,0.0,0.0,159
10,2026-02-22T20:00,2026-02-23T01:00,6,6,2.817,7.4,16.9,1.104,0.713,0.0,5
11,2026-02-23T07:00,2026-02-23T07:00,1,1,0.8,0.8,0.8,0.0,0.875,0.0,5
12,2026-02-23T13:00,2026-02-23T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,42
13,2026-02-25T08:00,2026-02-25T08:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,10
14,2026-02-25T19:00,2026-02-25T22:00,4,4,1.325,2.5,5.3,0.785,0.359,0.0,11
15,2026-02-26T10:00,2026-02-26T13:00,4,3,0.45,0.7,1.8,0.691,0.75,0.0,37
16,2026-02-28T03:00,2026-02-28T07:00,5,5,1.04,1.5,5.2,0.309,0.33,0.0006,5
17,2026-02-28T13:00,2026-02-28T15:00,3,3,1.233,1.7,3.7,0.328,0.0,0.0009,2
18,2026-02-28T18:00,2026-03-01T05:00,12,11,0.867,1.7,10.4,0.583,0.081,0.0015,147
19,2026-03-07T09:00,2026-03-07T15:00,7,7,1.671,2.3,11.7,0.408,0.154,0.0,26
20,2026-03-08T18:00,2026-03-08T19:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,139
21,2026-03-14T15:00,2026-03-15T04:00,14,14,0.507,0.6,7.1,0.181,0.0,0.0,4
22,2026-03-15T09:00,2026-03-15T15:00,7,7,0.429,0.7,3.0,0.322,0.0,0.0,3
23,2026-03-15T19:00,2026-03-15T20:00,2,2,0.55,0.7,1.1,0.386,0.0,0.0,2
24,2026-03-15T23:00,2026-03-16T08:00,10,10,1.16,2.8,11.6,0.679,0.136,0.0,5
25,2026-03-16T14:00,2026-03-16T14:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,6
26,2026-03-16T21:00,2026-03-17T06:00,10,10,1.53,3.4,15.3,0.583,0.3,0.0001,12
27,2026-03-17T19:00,2026-03-17T19:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,2
28,2026-03-17T22:00,2026-03-18T00:00,3,2,0.467,0.6,1.4,0.495,0.167,0.0,115
29,2026-03-22T20:00,2026-03-22T20:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,4
30,2026-03-23T01:00,2026-03-23T02:00,2,2,1.1,1.7,2.2,0.771,0.883,0.0,20
31,2026-03-23T23:00,2026-03-23T23:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,31
32,2026-03-25T07:00,2026-03-25T09:00,3,3,0.967,1.9,2.9,0.843,0.93,0.0,3
33,2026-03-25T13:00,2026-03-25T15:00,3,3,2.767,3.7,8.3,0.326,0.886,0.0,4
34,2026-03-25T20:00,2026-03-25T22:00,3,3,1.4,2.7,4.2,0.824,0.473,0.0,38
35,2026-03-27T13:00,2026-03-27T13:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,41
36,2026-03-29T07:00,2026-03-29T07:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,2
37,2026-03-29T10:00,2026-03-29T16:00,7,7,1.671,3.5,11.7,0.608,0.182,0.0063,2
38,2026-03-29T19:00,2026-03-29T22:00,4,4,0.625,1.5,2.5,0.936,0.079,0.0,21
39,2026-03-30T20:00,2026-03-30T23:00,4,4,1.45,2.5,5.8,0.735,0.072,0.0019,43
40,2026-04-01T19:00,2026-04-01T20:00,2,2,1.6,1.9,3.2,0.265,1.0,0.0,5
41,2026-04-02T02:00,2026-04-02T04:00,3,3,2.3,4.2,6.9,0.742,0.561,0.0,2
42,2026-04-02T07:00,2026-04-02T09:00,3,3,0.7,1.4,2.1,0.869,0.31,0.0005,68
43,2026-04-05T06:00,2026-04-05T10:00,5,3,0.24,0.5,1.2,0.812,0.693,0.0,2
44,2026-04-05T13:00,2026-04-05T13:00,1,1,1.6,1.6,1.6,0.0,0.938,0.0,18
45,2026-04-06T08:00,2026-04-06T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,32
