event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-19T13:00,2026-01-19T19:00,7,6,0.529,1.1,3.7,0.595,0.157,0.0001,142
1,2026-01-25T18:00,2026-01-25T21:00,4,4,0.575,1.1,2.3,0.625,0.0,0.0,11
2,2026-01-26T09:00,2026-01-26T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,77
3,2026-01-29T15:00,2026-01-30T03:00,13,10,0.423,0.9,5.5,0.539,0.0,0.0,3
4,2026-01-30T07:00,2026-01-30T14:00,8,7,0.537,1.0,4.3,0.526,0.0,0.0,138
5,2026-02-05T09:00,2026-02-05T11:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,2
6,2026-02-05T14:00,2026-02-05T14:00,1,1,0.8,0.8,0.8,0.0,0.0,0.0,4
7,2026-02-05T19:00,2026-02-05T20:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,5
8,2026-02-06T02:00,2026-02-06T10:00,9,9,0.811,1.5,7.3,0.576,0.1,0.0006,69
9,2026-02-09T08:00,2026-02-09T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,143
10,2026-02-15T08:00,2026-02-15T09:00,2,2,0.55,0.6,1.1,0.129,0.334,0.0,8
11,2026-02-15T18:00,2026-02-15T20:00,3,3,1.867,3.9,5.6,0.974,0.519,0.0036,2
12,2026-02-15T23:00,2026-02-16T10:00,12,12,0.658,1.0,7.9,0.346,0.12,0.0,163
13,2026-02-23T06:00,2026-02-24T01:00,20,19,2.18,6.2,43.6,0.686,0.155,0.0145,3
14,2026-02-24T05:00,2026-02-24T06:00,2,2,0.3,0.3,0.6,0.0,0.333,0.0,33
15,2026-02-25T16:00,2026-02-25T19:00,4,4,1.65,2.3,6.6,0.388,0.624,0.022,2
16,2026-02-25T22:00,2026-02-26T13:00,16,15,0.806,2.0,12.9,0.652,0.159,0.0037,27
17,2026-02-27T17:00,2026-02-27T22:00,6,6,0.55,1.0,3.3,0.498,0.0,0.0,12
