time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,700.0,-20.5,5.41,10.6,252,0,33780.0,1,0.198
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,815.0,-19.5,4.57,10.8,252,0,35480.0,1,0.198
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,905.0,-18.5,5.03,10.4,251,0,35480.0,1,0.198
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,935.0,-17.4,5.92,12.2,254,0,36900.0,1,0.198
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,1040.0,-16.7,5.4,12.3,262,0,36840.0,1,0.198
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,1065.0,-16.1,4.77,11.2,260,0,36760.0,1,0.198
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,1070.0,-14.9,4.52,10.0,260,0,36700.0,1,0.198
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,1005.0,-15.2,3.64,9.3,261,0,36560.0,1,0.198
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,255.0,-16.7,2.59,7.5,260,0,34960.0,0,0.198
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,85.0,-19.2,1.8,5.1,270,0,34800.0,0,0.198
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,45.0,-21.4,1.55,3.5,268,0,33240.0,0,0.198
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,35.0,-22.5,1.41,3.0,287,0,33240.0,0,0.198
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,35.0,-22.2,1.35,2.7,285,0,33240.0,0,0.198
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,40.0,-23.1,1.69,3.1,282,1,33240.0,0,0.198
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,25.0,-23.6,0.89,3.1,297,0,30480.0,0,0.198
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,20.0,-24.4,0.87,1.9,283,0,30480.0,0,0.198
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,15.0,-24.9,0.53,1.8,319,0,28380.0,0,0.198
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.02,1,0.0,,10.0,-25.8,0.32,1.3,342,34,28380.0,0,0.198
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.02,2,0.0,,10.0,-26.2,0.18,1.0,304,54,28380.0,0,0.198
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.02,2,0.0,,10.0,-26.9,0.36,1.3,326,71,28380.0,0,0.198
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,,10.0,-26.7,0.0,1.2,270,98,28380.0,0,0.198
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.02,2,0.0,,10.0,-26.5,0.4,1.3,277,66,30480.0,0,0.198
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.02,2,0.0,,15.0,-27.2,0.43,1.3,306,64,28380.0,0,0.198
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,,10.0,-27.1,0.29,1.3,301,98,28340.0,1,0.198
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,,25.0,-23.5,0.82,1.1,346,100,30760.0,1,0.198
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,,50.0,-21.5,0.3,1.6,351,98,34820.0,1,0.198
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,,160.0,-18.8,0.27,1.0,68,100,36120.0,1,0.198
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,,245.0,-17.4,0.52,1.5,107,91,37260.0,1,0.198
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.02,2,0.0,,285.0,-16.3,0.38,1.6,67,50,37400.0,1,0.198
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.02,1,0.0,,340.0,-15.7,0.43,1.5,54,32,37580.0,1,0.198
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,1.0,390.0,-14.8,0.54,1.4,68,2,39680.0,1,0.198
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,455.0,-16.3,0.35,1.3,8,0,37540.0,1,0.198
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,155.0,-18.9,1.82,3.2,351,1,36160.0,0,0.198
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,105.0,-19.9,1.72,4.0,343,5,33240.0,0,0.198
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,80.0,-22.5,1.48,3.4,315,9,33240.0,0,0.198
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.02,1,0.0,,75.0,-23.2,1.41,2.9,315,47,33240.0,0,0.198
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,,65.0,-22.0,1.46,2.7,308,80,33080.0,0,0.198
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,55.0,-22.7,1.46,2.9,286,2,33240.0,0,0.198
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,45.0,-23.7,1.46,2.9,264,0,30500.0,0,0.198
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,50.0,-23.6,1.77,3.4,254,0,28380.0,0,0.198
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,70.0,-23.1,2.29,4.4,260,0,30500.0,0,0.198
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,115.0,-22.4,3.28,6.1,262,0,30500.0,0,0.198
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,185.0,-21.9,3.87,7.6,259,0,33240.0,0,0.198
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,190.0,-22.2,3.91,7.5,257,0,30500.0,0,0.198
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,200.0,-22.3,4.0,7.8,254,0,30500.0,0,0.198
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,210.0,-22.3,3.91,7.9,254,0,30500.0,0,0.198
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,200.0,-22.4,3.81,7.7,253,2,30500.0,0,0.198
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,200.0,-22.5,3.86,7.5,251,1,30500.0,1,0.198
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,240.0,-21.4,4.1,7.8,252,2,33240.0,1,0.198
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,400.0,-20.2,3.64,8.0,249,0,33240.0,1,0.198
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,510.0,-18.4,4.03,8.6,250,0,34820.0,1,0.198
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,575.0,-16.9,4.47,9.6,256,0,34820.0,1,0.198
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,655.0,-15.9,4.53,10.0,259,0,36140.0,1,0.198
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,725.0,-15.3,4.16,9.8,260,0,36140.0,1,0.198
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,745.0,-14.4,4.11,9.0,257,0,36140.0,1,0.198
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,725.0,-14.9,3.21,8.5,255,0,34820.0,1,0.198
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,290.0,-16.3,2.85,6.8,259,0,33240.0,0,0.198
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.02,0,0.0,,200.0,-17.6,2.7,5.5,268,0,33240.0,0,0.198
