event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-14T08:00,2026-01-14T08:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,44
1,2026-01-16T05:00,2026-01-16T05:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,60
2,2026-01-18T18:00,2026-01-18T18:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,3
3,2026-01-18T22:00,2026-01-19T01:00,4,4,0.4,0.7,1.6,0.5,0.083,0.0,2
4,2026-01-19T04:00,2026-01-20T03:00,24,23,0.479,1.2,11.5,0.515,0.0,0.0002,13
5,2026-01-20T17:00,2026-01-20T20:00,4,4,0.375,0.5,1.5,0.255,0.0,0.0,111
6,2026-01-25T12:00,2026-01-25T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,9
7,2026-01-25T22:00,2026-01-25T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,23
8,2026-01-26T22:00,2026-01-26T23:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,44
9,2026-01-28T20:00,2026-01-28T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,15
10,2026-01-29T12:00,2026-01-29T23:00,12,11,0.633,1.9,7.6,0.766,0.167,0.0002,13
11,2026-01-30T13:00,2026-01-30T16:00,4,4,0.4,0.5,1.6,0.204,0.0,0.0,123
12,2026-02-04T20:00,2026-02-04T22:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,15
13,2026-02-05T14:00,2026-02-05T21:00,8,8,0.475,0.7,3.8,0.313,0.0,0.0,27
14,2026-02-07T01:00,2026-02-07T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,4
15,2026-02-07T06:00,2026-02-07T06:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,6
16,2026-02-07T13:00,2026-02-07T13:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,2
17,2026-02-07T16:00,2026-02-07T17:00,2,2,0.8,0.8,1.6,0.0,0.0,0.0,48
18,2026-02-09T18:00,2026-02-09T20:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,4
19,2026-02-10T01:00,2026-02-10T02:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,66
20,2026-02-12T21:00,2026-02-12T23:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,63
21,2026-02-15T15:00,2026-02-15T20:00,6,6,4.683,8.4,28.1,0.603,0.632,0.0238,22
22,2026-02-16T19:00,2026-02-16T19:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,27
23,2026-02-17T23:00,2026-02-17T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,13
24,2026-02-18T13:00,2026-02-18T22:00,10,9,0.54,1.1,5.4,0.625,0.07,0.0006,2
25,2026-02-19T01:00,2026-02-19T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,78
26,2026-02-22T08:00,2026-02-22T11:00,4,3,0.275,0.4,1.1,0.458,0.312,0.0,13
27,2026-02-23T01:00,2026-02-23T03:00,3,3,4.333,7.4,13.0,0.74,0.924,0.126,10
28,2026-02-23T14:00,2026-02-23T18:00,5,5,2.6,4.9,13.0,0.723,0.336,0.1072,24
29,2026-02-24T19:00,2026-02-24T19:00,1,1,1.3,1.3,1.3,0.0,1.0,0.0094,27
30,2026-02-25T23:00,2026-02-26T04:00,6,6,2.367,4.9,14.2,0.673,0.498,0.078,10
31,2026-02-26T15:00,2026-02-26T17:00,3,3,2.533,3.5,7.6,0.661,0.878,0.0594,4
32,2026-02-26T22:00,2026-02-27T03:00,6,4,0.433,1.4,2.6,1.165,0.298,0.0015,34
33,2026-02-28T14:00,2026-02-28T17:00,4,4,0.4,0.7,1.6,0.5,0.0,0.0,6
34,2026-03-01T00:00,2026-03-01T00:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,5
35,2026-03-01T06:00,2026-03-01T06:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,8
36,2026-03-01T15:00,2026-03-01T19:00,5,4,2.7,5.4,13.5,0.843,0.765,0.0481,28
37,2026-03-03T00:00,2026-03-03T02:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,105
38,2026-03-07T12:00,2026-03-07T22:00,11,10,1.118,2.4,12.3,0.699,0.357,0.014,2
39,2026-03-08T01:00,2026-03-08T05:00,5,5,0.76,1.0,3.8,0.356,0.147,0.0,7
40,2026-03-08T13:00,2026-03-08T14:00,2,2,1.0,1.3,2.0,0.424,0.0,0.0034,2
41,2026-03-08T17:00,2026-03-09T07:00,15,15,1.107,2.7,16.6,0.732,0.149,0.0006,132
42,2026-03-14T20:00,2026-03-15T04:00,9,8,0.544,1.3,4.9,0.644,0.012,0.0,9
43,2026-03-15T14:00,2026-03-16T04:00,15,12,0.62,3.0,9.3,1.131,0.183,0.0,11
44,2026-03-16T16:00,2026-03-16T20:00,5,5,0.4,0.7,2.0,0.433,0.0,0.0,5
45,2026-03-17T02:00,2026-03-17T04:00,3,3,1.133,1.6,3.4,0.638,0.0,0.0015,3
46,2026-03-17T08:00,2026-03-17T08:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,6
47,2026-03-17T15:00,2026-03-17T23:00,9,9,1.133,3.5,10.2,0.815,0.083,0.0094,18
