event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-17T01:00,2026-01-17T02:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,1148
1,2026-03-05T23:00,2026-03-06T01:00,3,2,0.367,0.6,1.1,0.877,0.667,0.0,21
2,2026-03-06T23:00,2026-03-07T01:00,3,2,0.4,0.6,1.2,0.5,0.333,0.0,59
3,2026-03-09T13:00,2026-03-09T13:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,148
4,2026-03-15T18:00,2026-03-15T20:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,7
5,2026-03-16T04:00,2026-03-16T07:00,4,4,0.375,0.5,1.5,0.255,0.163,0.0,5
6,2026-03-16T13:00,2026-03-16T19:00,7,6,0.4,0.5,2.8,0.204,0.744,0.0,77
7,2026-03-20T01:00,2026-03-20T01:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,575
8,2026-04-13T01:00,2026-04-13T01:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,143
9,2026-04-19T01:00,2026-04-19T12:00,12,12,0.65,1.0,7.8,0.344,0.144,0.0,580
10,2026-05-13T17:00,2026-05-13T18:00,2,2,1.2,1.3,2.4,0.118,0.846,0.0083,6
11,2026-05-14T01:00,2026-05-14T03:00,3,3,0.733,1.2,2.2,0.568,0.722,0.0112,250
12,2026-05-24T14:00,2026-05-24T14:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,10
13,2026-05-25T01:00,2026-05-25T09:00,9,9,1.844,3.5,16.6,0.514,0.202,0.0128,51
14,2026-05-27T13:00,2026-05-27T13:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,166
15,2026-06-03T12:00,2026-06-03T12:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,11
16,2026-06-04T00:00,2026-06-04T00:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,37
17,2026-06-05T14:00,2026-06-05T15:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,116
18,2026-06-10T12:00,2026-06-10T22:00,11,9,0.855,2.2,9.4,0.833,0.565,0.0956,7
19,2026-06-11T06:00,2026-06-11T06:00,1,1,0.7,0.7,0.7,0.0,0.571,0.0,28
20,2026-06-12T11:00,2026-06-12T13:00,3,3,0.767,1.7,2.3,1.054,0.536,0.0105,70
21,2026-06-15T12:00,2026-06-15T12:00,1,1,2.5,2.5,2.5,0.0,1.0,0.0131,23
22,2026-06-16T12:00,2026-06-16T12:00,1,1,1.4,1.4,1.4,0.0,1.0,0.0035,48
23,2026-06-18T13:00,2026-06-18T13:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,47
24,2026-06-20T13:00,2026-06-20T14:00,2,2,1.05,1.6,2.1,0.741,0.2,0.111,3
25,2026-06-20T18:00,2026-06-20T21:00,4,4,0.7,1.1,2.8,0.467,0.774,0.0153,13
26,2026-06-21T11:00,2026-06-21T16:00,6,6,2.067,4.4,12.4,0.737,0.696,0.3528,21
27,2026-06-22T14:00,2026-06-22T15:00,2,2,2.0,2.7,4.0,0.495,0.731,0.102,44
28,2026-06-24T12:00,2026-06-24T13:00,2,2,0.55,0.7,1.1,0.386,0.928,0.0,425
29,2026-07-12T07:00,2026-07-12T09:00,3,3,0.567,0.8,1.7,0.444,0.0,0.0,6
30,2026-07-12T16:00,2026-07-12T16:00,1,1,0.7,0.7,0.7,0.0,0.571,0.0,38
31,2026-07-14T07:00,2026-07-14T08:00,2,2,0.75,1.2,1.5,0.849,0.541,0.0112,7
32,2026-07-14T16:00,2026-07-14T16:00,1,1,2.1,2.1,2.1,0.0,0.81,0.0633,292
33,2026-07-26T21:00,2026-07-26T21:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,7
34,2026-07-27T05:00,2026-07-27T06:00,2,2,0.85,1.1,1.7,0.416,0.273,0.0098,-1
