time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2025-10-01T00:00,2.2,2.0,0.2,0.0,0.0,,80,120.0,0.0,,15.6,3.41,5.9,184,100,7500.0,1,0.354
2025-10-01T01:00,0.1,0.1,0.0,0.0,0.0,,51,240.0,0.0,,16.6,2.85,9.8,181,100,8800.0,1,0.354
2025-10-01T02:00,0.3,0.1,0.2,0.0,0.0,,51,310.0,0.0,,17.7,3.95,11.4,189,100,9340.0,1,0.354
2025-10-01T03:00,1.0,0.0,1.0,0.0,0.0,,55,480.0,0.0,,18.2,3.52,11.6,187,100,12660.0,1,0.353
2025-10-01T04:00,0.3,0.2,0.1,0.0,0.0,,51,220.0,0.0,,18.8,3.81,11.5,183,100,5780.0,1,0.353
2025-10-01T05:00,0.2,0.2,0.0,0.0,0.0,,51,540.0,0.0,,20.2,4.12,11.4,194,100,11600.0,1,0.352
2025-10-01T06:00,0.0,0.0,0.0,0.0,0.0,,3,280.0,0.0,,21.6,4.3,11.9,200,100,27960.0,1,0.347
2025-10-01T07:00,0.3,0.1,0.2,0.0,0.0,,51,110.0,16.0,,19.7,3.44,13.1,189,84,7780.0,1,0.346
2025-10-01T08:00,0.5,0.2,0.3,0.0,0.0,,53,350.0,0.0,,20.3,3.27,9.1,199,89,9380.0,1,0.348
2025-10-01T09:00,0.1,0.1,0.0,0.0,0.0,,51,330.0,6.0,,20.5,2.34,9.8,200,34,16320.0,1,0.345
2025-10-01T10:00,0.0,0.0,0.0,0.0,0.0,,2,420.0,6.0,,20.0,2.71,8.0,192,64,12400.0,1,0.343
2025-10-01T11:00,0.0,0.0,0.0,0.0,0.0,,3,240.0,20.0,,18.5,2.31,6.5,186,91,25860.0,0,0.342
2025-10-01T12:00,0.1,0.0,0.1,0.0,0.0,,51,620.0,10.0,,17.8,1.88,5.7,197,95,20540.0,0,0.34
2025-10-01T13:00,0.0,0.0,0.0,0.0,0.0,,3,410.0,7.0,,17.1,2.12,5.0,188,100,18560.0,0,0.34
2025-10-01T14:00,0.0,0.0,0.0,0.0,0.0,,3,310.0,8.0,,16.7,1.78,4.9,190,100,20300.0,0,0.34
2025-10-01T15:00,0.0,0.0,0.0,0.0,0.0,,3,160.0,30.0,,16.2,1.75,4.3,193,100,17040.0,0,0.339
