event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-16T06:00,2026-01-16T06:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,16
1,2026-01-16T23:00,2026-01-17T00:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,29
2,2026-01-18T06:00,2026-01-18T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,32
3,2026-01-19T15:00,2026-01-19T15:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,25
4,2026-01-20T17:00,2026-01-20T21:00,5,4,0.28,0.3,1.4,0.16,0.0,0.0,94
5,2026-01-24T20:00,2026-01-25T07:00,12,11,0.45,0.8,5.4,0.385,0.0,0.0,18
6,2026-01-26T02:00,2026-01-26T03:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,99
7,2026-01-30T07:00,2026-01-30T08:00,2,2,0.5,0.7,1.0,0.566,0.452,0.0,112
8,2026-02-04T01:00,2026-02-04T04:00,4,3,0.325,0.6,1.3,0.634,0.0,0.0,18
9,2026-02-04T23:00,2026-02-05T00:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,21
10,2026-02-05T22:00,2026-02-06T00:00,3,3,1.033,1.4,3.1,0.457,0.0,0.0005,4
11,2026-02-06T05:00,2026-02-06T05:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,36
12,2026-02-07T18:00,2026-02-07T22:00,5,4,0.88,1.9,4.4,0.725,0.0,0.0022,18
13,2026-02-08T17:00,2026-02-09T02:00,10,7,0.67,2.6,6.7,1.207,0.266,0.0015,24
14,2026-02-10T03:00,2026-02-10T09:00,7,7,0.643,1.0,4.5,0.282,0.0,0.0,7
15,2026-02-10T17:00,2026-02-10T20:00,4,4,0.575,1.0,2.3,0.519,0.0,0.0,22
16,2026-02-11T19:00,2026-02-11T22:00,4,4,0.375,0.5,1.5,0.255,0.0,0.0,2
17,2026-02-12T01:00,2026-02-12T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,101
18,2026-02-16T07:00,2026-02-16T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,42
19,2026-02-18T02:00,2026-02-18T02:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,17
20,2026-02-18T20:00,2026-02-18T21:00,2,2,0.5,0.7,1.0,0.566,0.0,0.0,6
21,2026-02-19T04:00,2026-02-19T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,64
22,2026-02-21T21:00,2026-02-21T21:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,57
23,2026-02-24T07:00,2026-02-24T08:00,2,2,0.55,0.8,1.1,0.643,0.541,0.0,8
24,2026-02-24T17:00,2026-02-24T22:00,6,5,0.367,0.5,2.2,0.445,0.067,0.0,2
25,2026-02-25T01:00,2026-02-25T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
26,2026-02-25T07:00,2026-02-25T08:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,4
27,2026-02-25T13:00,2026-02-25T14:00,2,2,0.4,0.5,0.8,0.354,0.534,0.0,4
28,2026-02-25T19:00,2026-02-25T20:00,2,2,0.65,1.0,1.3,0.761,0.95,0.0,6
29,2026-02-26T03:00,2026-02-26T08:00,6,6,1.033,2.1,6.2,0.647,0.037,0.0193,2
30,2026-02-26T11:00,2026-02-26T11:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,8
31,2026-02-26T20:00,2026-02-26T20:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,2
32,2026-02-26T23:00,2026-02-27T01:00,3,3,0.467,0.6,1.4,0.247,0.194,0.0,2
33,2026-02-27T04:00,2026-02-27T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
34,2026-02-27T09:00,2026-02-27T10:00,2,2,0.95,1.2,1.9,0.372,0.928,0.003,4
35,2026-02-27T15:00,2026-02-27T15:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,8
36,2026-02-28T00:00,2026-02-28T00:00,1,1,2.2,2.2,2.2,0.0,0.455,0.0225,9
37,2026-02-28T10:00,2026-02-28T17:00,8,7,1.3,7.0,10.4,1.785,0.399,0.075,4
38,2026-02-28T22:00,2026-03-01T05:00,8,7,0.638,2.1,5.1,1.023,0.623,0.0371,22
39,2026-03-02T04:00,2026-03-02T06:00,3,3,0.467,0.8,1.4,0.619,0.403,0.0,46
40,2026-03-04T05:00,2026-03-04T05:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,89
41,2026-03-07T23:00,2026-03-08T00:00,2,2,0.3,0.3,0.6,0.0,0.167,0.0,27
42,2026-03-09T04:00,2026-03-09T11:00,8,6,0.713,2.2,5.7,1.002,0.181,0.0,211
43,2026-03-18T07:00,2026-03-18T08:00,2,2,0.3,0.3,0.6,0.0,0.666,0.0,42
44,2026-03-20T03:00,2026-03-20T04:00,2,2,0.65,0.9,1.3,0.544,0.0,0.0,49
45,2026-03-22T06:00,2026-03-22T06:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,23
46,2026-03-23T06:00,2026-03-23T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,23
47,2026-03-24T06:00,2026-03-24T08:00,3,2,0.333,0.6,1.0,0.755,0.278,0.0,9
48,2026-03-24T18:00,2026-03-24T18:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,3
49,2026-03-24T22:00,2026-03-24T22:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,4
