event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-17T16:00,2026-03-17T17:00,2,2,1.25,1.8,2.5,0.622,0.322,0.002,94
1,2026-03-21T16:00,2026-03-21T17:00,2,2,1.2,1.7,2.4,0.589,0.441,0.0,220
2,2026-03-30T22:00,2026-03-30T23:00,2,2,0.5,0.6,1.0,0.283,1.0,0.0,69
3,2026-04-02T21:00,2026-04-02T23:00,3,3,0.733,1.2,2.2,0.615,0.667,0.0045,134
4,2026-04-08T14:00,2026-04-09T01:00,12,11,1.408,2.6,16.9,0.537,0.083,0.0019,89
5,2026-04-12T19:00,2026-04-12T20:00,2,2,0.55,0.7,1.1,0.386,1.0,0.0,34
6,2026-04-14T07:00,2026-04-14T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,45
7,2026-04-16T05:00,2026-04-16T11:00,7,7,0.9,1.5,6.3,0.467,0.029,0.004,69
8,2026-04-19T09:00,2026-04-19T10:00,2,2,1.15,1.2,2.3,0.061,0.0,0.0,177
9,2026-04-26T20:00,2026-04-26T21:00,2,2,1.35,1.7,2.7,0.367,1.0,0.0,129
10,2026-05-02T07:00,2026-05-02T07:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,4
11,2026-05-02T12:00,2026-05-02T13:00,2,2,1.1,1.1,2.2,0.0,0.0,0.0,163
12,2026-05-09T09:00,2026-05-09T09:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,167
13,2026-05-16T09:00,2026-05-16T10:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,2
14,2026-05-16T13:00,2026-05-16T14:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,2
15,2026-05-16T17:00,2026-05-16T19:00,3,3,0.733,1.0,2.2,0.417,0.45,0.0,5
16,2026-05-17T01:00,2026-05-17T20:00,20,20,3.59,11.7,71.8,0.878,0.195,0.02,57
17,2026-05-20T06:00,2026-05-20T07:00,2,2,0.75,0.8,1.5,0.094,0.0,0.0,35
18,2026-05-21T19:00,2026-05-22T07:00,13,13,3.931,8.1,51.1,0.637,0.351,0.025,66
19,2026-05-25T02:00,2026-05-25T09:00,8,8,1.525,2.5,12.2,0.38,0.111,0.003,217
20,2026-06-03T11:00,2026-06-03T13:00,3,2,0.4,0.6,1.2,0.5,0.556,0.0,14
21,2026-06-04T04:00,2026-06-04T05:00,2,2,1.2,1.4,2.4,0.236,0.843,0.032,2
22,2026-06-04T08:00,2026-06-04T08:00,1,1,0.9,0.9,0.9,0.0,0.778,0.0,5
23,2026-06-04T14:00,2026-06-04T15:00,2,2,0.55,0.6,1.1,0.129,0.834,0.0,32
24,2026-06-06T00:00,2026-06-06T03:00,4,4,1.75,3.1,7.0,0.587,0.348,0.0131,2
25,2026-06-06T06:00,2026-06-06T09:00,4,4,1.225,2.1,4.9,0.518,0.528,0.011,22
26,2026-06-07T08:00,2026-06-07T08:00,1,1,1.1,1.1,1.1,0.0,0.545,0.007,61
27,2026-06-09T22:00,2026-06-09T23:00,2,2,0.45,0.5,0.9,0.157,0.3,0.0,2
28,2026-06-10T02:00,2026-06-10T02:00,1,1,0.6,0.6,0.6,0.0,0.667,0.0,4
29,2026-06-10T07:00,2026-06-10T09:00,3,3,0.733,1.1,2.2,0.438,0.515,0.006,47
30,2026-06-12T09:00,2026-06-12T09:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,21
31,2026-06-13T07:00,2026-06-13T07:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,2
32,2026-06-13T10:00,2026-06-13T11:00,2,2,0.65,0.8,1.3,0.326,0.0,0.0,39
33,2026-06-15T03:00,2026-06-15T03:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,9
34,2026-06-15T13:00,2026-06-15T13:00,1,1,1.7,1.7,1.7,0.0,0.0,0.1295,2
35,2026-06-15T16:00,2026-06-15T17:00,2,2,1.3,1.8,2.6,0.544,0.139,0.102,2
36,2026-06-15T20:00,2026-06-15T22:00,3,3,0.567,1.1,1.7,0.815,0.374,0.0151,10
37,2026-06-16T09:00,2026-06-16T09:00,1,1,1.0,1.0,1.0,0.0,0.9,0.0,3
38,2026-06-16T13:00,2026-06-16T18:00,6,6,1.483,2.9,8.9,0.608,0.446,0.2446,61
39,2026-06-19T08:00,2026-06-19T13:00,6,5,1.283,3.0,7.7,0.928,0.189,0.0805,5
40,2026-06-19T19:00,2026-06-19T20:00,2,2,0.7,1.1,1.4,0.808,0.5,0.0123,87
41,2026-06-23T12:00,2026-06-23T12:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,4
42,2026-06-23T17:00,2026-06-23T19:00,3,3,1.367,2.3,4.1,0.596,0.297,0.0552,4
43,2026-06-24T00:00,2026-06-24T00:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,4
44,2026-06-24T05:00,2026-06-24T06:00,2,2,0.6,0.6,1.2,0.0,0.5,0.0,3
