event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-20T01:00,2026-01-20T01:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1127
1,2026-03-08T01:00,2026-03-08T07:00,7,7,0.657,1.0,4.6,0.361,0.071,0.0,131
2,2026-03-13T19:00,2026-03-13T19:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,308
3,2026-03-26T16:00,2026-03-26T16:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,12
4,2026-03-27T05:00,2026-03-27T10:00,6,6,0.733,1.3,4.4,0.614,0.538,0.0004,41
5,2026-03-29T04:00,2026-03-29T13:00,10,10,0.78,1.2,7.8,0.341,0.06,0.0,18
6,2026-03-30T08:00,2026-03-30T08:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,200
7,2026-04-07T17:00,2026-04-07T18:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,2
8,2026-04-07T21:00,2026-04-07T23:00,3,3,2.233,2.8,6.7,0.439,1.0,0.0,2
9,2026-04-08T02:00,2026-04-08T02:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,171
10,2026-04-15T06:00,2026-04-15T11:00,6,5,0.9,3.4,5.4,1.388,0.458,0.096,84
11,2026-04-19T00:00,2026-04-19T00:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,216
12,2026-04-28T01:00,2026-04-28T03:00,3,3,0.733,1.4,2.2,0.799,0.484,0.0005,69
13,2026-05-01T01:00,2026-05-01T01:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,4
14,2026-05-01T06:00,2026-05-01T07:00,2,2,0.5,0.6,1.0,0.283,0.125,0.0,24
15,2026-05-02T08:00,2026-05-02T08:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,294
16,2026-05-14T15:00,2026-05-14T19:00,5,5,0.44,0.6,2.2,0.345,0.0,0.0,6
17,2026-05-15T02:00,2026-05-15T04:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,8
18,2026-05-15T13:00,2026-05-15T14:00,2,2,1.45,1.8,2.9,0.341,0.972,0.0,27
19,2026-05-16T18:00,2026-05-16T18:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,149
20,2026-05-23T00:00,2026-05-23T00:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,25
21,2026-05-24T02:00,2026-05-24T11:00,10,10,1.22,2.3,12.2,0.45,0.418,0.016,73
22,2026-05-27T13:00,2026-05-27T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,500
23,2026-06-17T10:00,2026-06-17T15:00,6,5,1.933,5.6,11.6,1.232,0.191,0.38,17
24,2026-06-18T09:00,2026-06-18T10:00,2,2,1.25,1.6,2.5,0.396,0.733,0.0405,37
25,2026-06-20T00:00,2026-06-20T00:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,21
26,2026-06-20T22:00,2026-06-21T03:00,6,6,0.75,1.0,4.5,0.301,0.0,0.0,81
27,2026-06-24T13:00,2026-06-24T15:00,3,3,0.533,0.7,1.6,0.39,0.0,0.0,4
28,2026-06-24T20:00,2026-06-24T20:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,86
29,2026-06-28T11:00,2026-06-28T11:00,1,1,0.7,0.7,0.7,0.0,0.143,0.0,261
30,2026-07-09T09:00,2026-07-09T10:00,2,2,0.45,0.5,0.9,0.157,0.675,0.0,11
31,2026-07-09T22:00,2026-07-09T22:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,4
32,2026-07-10T03:00,2026-07-10T05:00,3,3,1.567,2.5,4.7,0.607,0.405,0.0056,13
33,2026-07-10T19:00,2026-07-11T16:00,22,21,0.886,2.1,19.5,0.546,0.172,0.0165,43
34,2026-07-13T12:00,2026-07-14T00:00,13,12,2.669,5.8,34.7,0.82,0.16,0.02,45
35,2026-07-15T22:00,2026-07-16T03:00,6,6,0.383,0.5,2.3,0.256,0.0,0.0,37
36,2026-07-17T17:00,2026-07-17T21:00,5,5,0.6,0.8,3.0,0.333,0.0,0.0,191
37,2026-07-25T21:00,2026-07-26T01:00,5,4,0.56,1.2,2.8,0.743,0.15,0.029,7
38,2026-07-26T09:00,2026-07-26T09:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,3
39,2026-07-26T13:00,2026-07-26T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
40,2026-07-26T16:00,2026-07-26T16:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,2
41,2026-07-26T19:00,2026-07-26T19:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,69
42,2026-07-29T17:00,2026-07-29T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,22
43,2026-07-30T16:00,2026-07-30T18:00,3,3,0.5,0.7,1.5,0.4,0.0,0.0,3
44,2026-07-30T22:00,2026-07-31T02:00,5,5,0.58,0.7,2.9,0.144,0.067,0.0,41
45,2026-08-01T20:00,2026-08-02T02:00,7,6,0.371,0.5,2.6,0.256,0.0,0.0,-1
