event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-08T00:00,2026-02-08T01:00,2,2,0.0,0.0,0.0,0.0,1.0,0.0,181
1,2026-02-15T15:00,2026-02-15T19:00,5,5,0.0,0.0,0.0,0.0,0.329,0.0,142
2,2026-02-21T18:00,2026-02-21T18:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1527
3,2026-04-26T10:00,2026-04-26T20:00,11,7,0.409,1.2,4.5,0.843,0.504,0.0002,7
4,2026-04-27T04:00,2026-04-27T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,8
5,2026-04-27T13:00,2026-04-27T15:00,3,2,0.267,0.3,0.8,0.217,0.963,0.0,42
6,2026-04-29T10:00,2026-04-29T12:00,3,2,0.267,0.4,0.8,0.573,0.778,0.0,17
7,2026-04-30T06:00,2026-04-30T06:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,28
8,2026-05-01T11:00,2026-05-01T21:00,11,9,0.436,1.0,4.8,0.65,0.566,0.0,54
9,2026-05-04T04:00,2026-05-04T05:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,70
10,2026-05-07T04:00,2026-05-07T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,54
11,2026-05-09T11:00,2026-05-09T16:00,6,5,0.367,0.5,2.2,0.282,0.3,0.0,93
12,2026-05-13T14:00,2026-05-13T15:00,2,2,1.0,1.2,2.0,0.283,0.688,0.0002,29
13,2026-05-14T21:00,2026-05-14T22:00,2,2,1.1,1.3,2.2,0.257,0.778,0.0034,31
14,2026-05-16T06:00,2026-05-16T09:00,4,4,0.3,0.3,1.2,0.0,0.417,0.0,3
15,2026-05-16T13:00,2026-05-17T00:00,12,11,1.108,2.5,13.3,0.634,0.817,0.0135,10
16,2026-05-17T11:00,2026-05-17T11:00,1,1,1.9,1.9,1.9,0.0,0.9,0.0,116
17,2026-05-22T08:00,2026-05-22T08:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
18,2026-05-22T11:00,2026-05-22T11:00,1,1,1.7,1.7,1.7,0.0,1.0,0.014,13
19,2026-05-23T01:00,2026-05-23T01:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,7
20,2026-05-23T09:00,2026-05-23T09:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,68
21,2026-05-26T06:00,2026-05-26T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,53
22,2026-05-28T12:00,2026-05-28T22:00,11,10,0.409,0.9,4.5,0.457,0.672,0.0,6
23,2026-05-29T05:00,2026-05-29T08:00,4,4,0.325,0.4,1.3,0.154,0.917,0.0,127
24,2026-06-03T16:00,2026-06-03T18:00,3,2,0.3,0.4,0.9,0.333,0.472,0.0,6
25,2026-06-04T01:00,2026-06-04T01:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,6
26,2026-06-04T08:00,2026-06-04T08:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,3
27,2026-06-04T12:00,2026-06-04T12:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,9
28,2026-06-04T22:00,2026-06-04T23:00,2,2,0.45,0.5,0.9,0.157,0.65,0.0,12
29,2026-06-05T12:00,2026-06-05T12:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,22
30,2026-06-06T11:00,2026-06-06T11:00,1,1,0.8,0.8,0.8,0.0,0.375,0.0,70
31,2026-06-09T10:00,2026-06-09T10:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,47
32,2026-06-11T10:00,2026-06-11T12:00,3,2,0.267,0.3,0.8,0.217,0.389,0.0,90
33,2026-06-15T07:00,2026-06-15T08:00,2,2,0.3,0.3,0.6,0.0,0.5,0.0,44
34,2026-06-17T05:00,2026-06-17T05:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,8
35,2026-06-17T14:00,2026-06-17T14:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,7
36,2026-06-17T22:00,2026-06-18T01:00,4,4,0.675,1.3,2.7,0.667,0.68,0.0008,11
37,2026-06-18T13:00,2026-06-18T15:00,3,3,0.5,0.9,1.5,0.693,0.556,0.0,7
38,2026-06-18T23:00,2026-06-18T23:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,13
39,2026-06-19T13:00,2026-06-19T18:00,6,5,0.967,1.8,5.8,0.731,0.618,0.064,16
40,2026-06-20T11:00,2026-06-20T13:00,3,3,0.7,1.4,2.1,0.869,0.671,0.0035,44
41,2026-06-22T10:00,2026-06-22T11:00,2,2,0.4,0.4,0.8,0.0,0.625,0.0,23
42,2026-06-23T11:00,2026-06-23T11:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,71
43,2026-06-26T11:00,2026-06-26T13:00,3,2,0.233,0.4,0.7,0.892,0.167,0.0,6
44,2026-06-26T20:00,2026-06-26T20:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,4
45,2026-06-27T01:00,2026-06-27T01:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,11
46,2026-06-27T13:00,2026-06-27T23:00,11,10,0.855,2.5,9.4,0.816,0.586,0.0263,2
47,2026-06-28T02:00,2026-06-28T04:00,3,3,0.467,0.6,1.4,0.247,0.722,0.0,4
48,2026-06-28T09:00,2026-06-28T09:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,3
49,2026-06-28T13:00,2026-06-28T15:00,3,3,0.8,1.2,2.4,0.451,0.752,0.0255,3
50,2026-06-28T19:00,2026-06-28T19:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,2
51,2026-06-28T22:00,2026-06-29T01:00,4,4,1.05,2.4,4.2,0.881,0.512,0.0035,3
52,2026-06-29T05:00,2026-06-29T07:00,3,2,0.233,0.3,0.7,0.495,0.778,0.0,3
53,2026-06-29T11:00,2026-06-29T14:00,4,4,0.525,0.8,2.1,0.422,0.479,0.0,4
54,2026-06-29T19:00,2026-06-29T20:00,2,2,1.55,1.9,3.1,0.319,0.875,0.009,3
55,2026-06-30T00:00,2026-06-30T01:00,2,2,0.4,0.5,0.8,0.354,0.567,0.0,9
56,2026-06-30T11:00,2026-06-30T14:00,4,4,1.25,3.2,5.0,1.046,0.52,0.121,5
57,2026-06-30T20:00,2026-06-30T20:00,1,1,1.4,1.4,1.4,0.0,0.929,0.004,157
58,2026-07-07T10:00,2026-07-07T10:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,14
59,2026-07-08T01:00,2026-07-08T01:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,6
60,2026-07-08T08:00,2026-07-08T08:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,25
61,2026-07-09T10:00,2026-07-09T13:00,4,4,0.525,0.8,2.1,0.422,0.375,0.0,5
62,2026-07-09T19:00,2026-07-10T08:00,14,13,0.464,1.0,6.5,0.538,0.43,0.0,3
63,2026-07-10T12:00,2026-07-11T02:00,15,15,1.4,2.6,21.0,0.571,0.185,0.1365,7
64,2026-07-11T10:00,2026-07-11T11:00,2,2,0.9,1.1,1.8,0.314,0.506,0.0113,4
65,2026-07-11T16:00,2026-07-11T17:00,2,2,0.4,0.4,0.8,0.0,0.375,0.0,4
66,2026-07-11T22:00,2026-07-12T00:00,3,3,0.933,1.2,2.8,0.327,0.0,0.0075,6
67,2026-07-12T07:00,2026-07-12T07:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
68,2026-07-12T10:00,2026-07-12T14:00,5,5,0.52,0.9,2.6,0.459,0.617,0.0,15
69,2026-07-13T06:00,2026-07-13T06:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,2
70,2026-07-13T09:00,2026-07-13T12:00,4,4,0.925,1.6,3.7,0.554,0.369,0.0015,2
71,2026-07-13T15:00,2026-07-13T15:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,19
72,2026-07-14T11:00,2026-07-14T11:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,4
73,2026-07-14T16:00,2026-07-14T16:00,1,1,0.8,0.8,0.8,0.0,0.875,0.0,20
74,2026-07-15T13:00,2026-07-15T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,19
75,2026-07-16T09:00,2026-07-16T10:00,2,2,0.35,0.4,0.7,0.202,0.709,0.0,26
76,2026-07-17T13:00,2026-07-18T00:00,12,12,0.85,1.8,10.2,0.63,0.51,0.066,4
77,2026-07-18T05:00,2026-07-18T12:00,8,8,0.463,1.0,3.7,0.529,0.3,0.0,5
78,2026-07-18T18:00,2026-07-18T18:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,18
79,2026-07-19T13:00,2026-07-19T14:00,2,2,0.55,0.8,1.1,0.643,0.875,0.0,12
80,2026-07-20T03:00,2026-07-20T04:00,2,2,1.2,1.8,2.4,0.707,0.528,0.003,8
81,2026-07-20T13:00,2026-07-20T13:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,2
82,2026-07-20T16:00,2026-07-20T23:00,8,6,0.825,2.6,6.6,1.18,0.648,0.0041,12
83,2026-07-21T12:00,2026-07-21T18:00,7,6,0.643,1.3,4.5,0.74,0.629,0.003,3
84,2026-07-21T22:00,2026-07-21T22:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,14
85,2026-07-22T13:00,2026-07-22T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
86,2026-07-22T16:00,2026-07-22T18:00,3,3,0.467,0.8,1.4,0.619,0.583,0.0,17
87,2026-07-23T12:00,2026-07-23T13:00,2,2,1.25,2.0,2.5,0.849,0.45,0.0063,10
88,2026-07-24T00:00,2026-07-24T01:00,2,2,0.35,0.4,0.7,0.202,0.875,0.0,6
89,2026-07-24T08:00,2026-07-24T08:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
90,2026-07-24T11:00,2026-07-24T11:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,2
91,2026-07-24T14:00,2026-07-24T14:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,44
92,2026-07-26T11:00,2026-07-26T11:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,24
93,2026-07-27T12:00,2026-07-27T13:00,2,2,1.75,2.3,3.5,0.444,0.79,0.0959,20
94,2026-07-28T10:00,2026-07-28T10:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,5
95,2026-07-28T16:00,2026-07-28T18:00,3,3,0.7,1.4,2.1,0.869,0.754,0.041,12
