event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-23T06:00,2026-02-23T11:00,6,6,0.5,0.9,3.0,0.456,0.0,0.0,56
1,2026-02-25T20:00,2026-02-26T00:00,5,5,0.96,1.5,4.8,0.439,0.175,0.0,56
2,2026-02-28T09:00,2026-02-28T12:00,4,4,0.325,0.4,1.3,0.154,0.0,0.0,2
3,2026-02-28T15:00,2026-02-28T21:00,7,7,0.729,1.1,5.1,0.386,0.026,0.0,5
4,2026-03-01T03:00,2026-03-01T14:00,12,12,0.542,0.9,6.5,0.319,0.0,0.0,297
5,2026-03-14T00:00,2026-03-14T10:00,11,10,0.455,0.7,5.0,0.36,0.0,0.0,2
6,2026-03-14T13:00,2026-03-14T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,174
7,2026-03-21T20:00,2026-03-21T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,201
8,2026-03-30T06:00,2026-03-30T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,56
9,2026-04-01T15:00,2026-04-01T18:00,4,4,0.425,0.7,1.7,0.445,0.75,0.0,39
10,2026-04-03T10:00,2026-04-03T10:00,1,1,5.7,5.7,5.7,0.0,1.0,0.185,115
11,2026-04-08T06:00,2026-04-08T18:00,13,11,0.969,2.3,12.6,0.755,0.315,0.0006,180
12,2026-04-16T07:00,2026-04-16T09:00,3,3,1.1,1.5,3.3,0.481,0.439,0.0004,72
13,2026-04-19T10:00,2026-04-19T16:00,7,7,2.214,3.4,15.5,0.263,0.187,0.0035,40
14,2026-04-21T09:00,2026-04-21T15:00,7,7,0.714,1.1,5.0,0.431,0.0,0.0,240
15,2026-05-01T16:00,2026-05-01T19:00,4,4,0.425,0.5,1.7,0.225,0.0,0.0,14
16,2026-05-02T10:00,2026-05-02T10:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,3
17,2026-05-02T14:00,2026-05-02T16:00,3,3,0.667,0.8,2.0,0.173,0.32,0.0,89
18,2026-05-06T10:00,2026-05-06T15:00,6,6,1.517,2.4,9.1,0.474,0.537,0.0735,236
19,2026-05-16T12:00,2026-05-16T12:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,6
20,2026-05-16T19:00,2026-05-16T23:00,5,5,1.02,2.4,5.1,0.821,0.508,0.0087,7
21,2026-05-17T07:00,2026-05-17T08:00,2,2,0.5,0.7,1.0,0.566,0.5,0.0,3
22,2026-05-17T12:00,2026-05-18T03:00,16,16,1.5,4.6,24.0,0.802,0.352,0.0135,16
23,2026-05-18T20:00,2026-05-18T21:00,2,2,0.5,0.6,1.0,0.283,1.0,0.0,21
24,2026-05-19T19:00,2026-05-20T00:00,6,6,1.15,2.0,6.9,0.485,0.222,0.0112,50
25,2026-05-22T03:00,2026-05-22T09:00,7,6,0.686,1.8,4.8,0.932,0.608,0.005,54
26,2026-05-24T16:00,2026-05-24T16:00,1,1,0.7,0.7,0.7,0.0,0.571,0.0,4
27,2026-05-24T21:00,2026-05-24T22:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,3
28,2026-05-25T02:00,2026-05-25T18:00,17,15,1.229,4.0,20.9,0.847,0.271,0.0112,5
29,2026-05-26T00:00,2026-05-26T08:00,9,9,0.589,0.9,5.3,0.344,0.101,0.0,194
30,2026-06-03T11:00,2026-06-03T18:00,8,6,2.513,8.1,20.1,1.171,0.415,0.304,23
31,2026-06-04T18:00,2026-06-04T18:00,1,1,1.1,1.1,1.1,0.0,1.0,0.0034,2
32,2026-06-04T21:00,2026-06-04T21:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,3
33,2026-06-05T01:00,2026-06-05T02:00,2,2,0.65,0.7,1.3,0.109,0.5,0.0,6
34,2026-06-05T09:00,2026-06-05T09:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,7
35,2026-06-05T17:00,2026-06-05T21:00,5,5,1.16,2.3,5.8,0.664,0.378,0.0,2
36,2026-06-06T00:00,2026-06-06T05:00,6,6,2.0,4.4,12.0,0.831,0.558,0.0425,2
37,2026-06-06T08:00,2026-06-06T08:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,85
38,2026-06-09T22:00,2026-06-09T22:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,16
39,2026-06-10T15:00,2026-06-10T15:00,1,1,0.6,0.6,0.6,0.0,0.333,0.0,4
