time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,45.0,-0.7,1.78,2.2,32,100,5160.0,1,0.053
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,75.0,1.4,1.28,3.6,31,100,9620.0,1,0.053
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,100.0,3.0,0.25,3.0,180,100,12920.0,1,0.053
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,145.0,5.4,0.45,2.8,117,100,14460.0,1,0.053
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,205.0,7.9,1.06,3.8,199,100,15780.0,1,0.053
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,220.0,8.4,0.67,4.1,228,100,15800.0,1,0.053
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,250.0,9.4,0.59,3.3,250,100,15820.0,1,0.053
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,270.0,10.3,0.85,3.0,242,100,15820.0,1,0.053
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,240.0,10.3,1.06,3.0,221,99,15840.0,1,0.053
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,95.0,9.2,1.22,2.5,199,100,15840.0,1,0.053
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,120.0,8.6,2.64,4.6,195,100,14540.0,0,0.053
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,185.0,8.4,3.3,5.7,202,100,14540.0,0,0.053
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,225.0,8.3,3.75,7.5,201,100,14540.0,0,0.059
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,215.0,8.1,2.94,6.8,235,100,14540.0,0,0.059
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,210.0,7.6,2.62,5.3,252,53,12980.0,0,0.059
