event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-26T19:00,2026-01-26T21:00,3,3,0.533,0.6,1.6,0.108,0.0,0.0,3
1,2026-01-27T01:00,2026-01-27T03:00,3,3,0.433,0.5,1.3,0.133,0.0,0.0,6
2,2026-01-27T10:00,2026-01-27T11:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,76
3,2026-01-30T16:00,2026-01-31T01:00,10,9,0.67,1.4,6.7,0.63,0.0,0.001,4
4,2026-01-31T06:00,2026-01-31T09:00,4,3,0.35,0.5,1.4,0.369,0.062,0.0,135
5,2026-02-06T01:00,2026-02-06T04:00,4,4,0.65,1.0,2.6,0.387,0.0,0.0,2
6,2026-02-06T07:00,2026-02-06T16:00,10,9,0.58,1.1,5.8,0.544,0.109,0.0001,67
7,2026-02-09T12:00,2026-02-09T12:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,3
8,2026-02-09T16:00,2026-02-09T16:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,23
9,2026-02-10T16:00,2026-02-10T17:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,51
10,2026-02-12T21:00,2026-02-12T22:00,2,2,0.55,0.8,1.1,0.643,0.0,0.0,17
11,2026-02-13T16:00,2026-02-13T19:00,4,4,3.05,6.4,12.2,0.741,0.97,0.0,49
12,2026-02-15T21:00,2026-02-16T03:00,7,7,0.957,1.4,6.7,0.381,0.228,0.0004,4
13,2026-02-16T08:00,2026-02-16T10:00,3,3,0.9,1.6,2.7,0.694,0.0,0.0,2
14,2026-02-16T13:00,2026-02-16T15:00,3,3,0.7,1.0,2.1,0.378,0.0,0.0,66
15,2026-02-19T10:00,2026-02-19T11:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,112
16,2026-02-24T04:00,2026-02-24T05:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,5
17,2026-02-24T11:00,2026-02-24T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,35
18,2026-02-25T23:00,2026-02-26T00:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,3
19,2026-02-26T04:00,2026-02-26T21:00,18,17,1.389,4.2,25.0,0.776,0.07,0.016,36
20,2026-02-28T10:00,2026-02-28T13:00,4,4,0.35,0.5,1.4,0.286,0.05,0.0,8
21,2026-02-28T22:00,2026-03-01T08:00,11,11,1.018,2.3,11.2,0.619,0.045,0.0032,4
22,2026-03-01T13:00,2026-03-01T14:00,2,2,0.75,1.2,1.5,0.849,0.0,0.0,55
23,2026-03-03T22:00,2026-03-03T22:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,27
24,2026-03-05T02:00,2026-03-05T06:00,5,5,0.58,1.0,2.9,0.478,0.0,0.0,3
25,2026-03-05T10:00,2026-03-05T10:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,79
26,2026-03-08T18:00,2026-03-08T20:00,3,3,0.433,0.5,1.3,0.133,0.0,0.0,167
27,2026-03-15T20:00,2026-03-15T20:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,59
28,2026-03-18T08:00,2026-03-18T17:00,10,9,1.33,6.0,13.3,1.317,0.235,0.005,18
29,2026-03-19T12:00,2026-03-19T13:00,2,2,2.15,2.3,4.3,0.099,0.611,0.0016,21
30,2026-03-20T11:00,2026-03-20T15:00,5,5,1.4,2.9,7.0,0.721,0.224,0.0047,39
31,2026-03-22T07:00,2026-03-22T09:00,3,3,0.867,1.2,2.6,0.569,0.285,0.0002,5
32,2026-03-22T15:00,2026-03-22T18:00,4,3,0.325,0.5,1.3,0.525,0.133,0.0,10
33,2026-03-23T05:00,2026-03-23T05:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
34,2026-03-23T08:00,2026-03-23T12:00,5,5,0.66,1.3,3.3,0.573,0.6,0.0,9
35,2026-03-23T22:00,2026-03-23T23:00,2,2,1.25,1.6,2.5,0.396,0.945,0.0,4
36,2026-03-24T04:00,2026-03-24T07:00,4,3,1.025,3.3,4.1,1.493,0.511,0.0,2
37,2026-03-24T10:00,2026-03-24T10:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,38
38,2026-03-26T01:00,2026-03-26T05:00,5,5,2.22,4.0,11.1,0.64,0.04,0.0112,3
39,2026-03-26T09:00,2026-03-26T10:00,2,2,0.7,1.0,1.4,0.606,0.1,0.0,31
40,2026-03-27T18:00,2026-03-27T19:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,15
41,2026-03-28T11:00,2026-03-28T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,29
42,2026-03-29T17:00,2026-03-29T19:00,3,3,1.5,2.6,4.5,0.636,0.428,0.02,17
43,2026-03-30T13:00,2026-03-30T16:00,4,3,1.025,2.0,4.1,0.888,0.717,0.0038,13
44,2026-03-31T06:00,2026-03-31T17:00,12,12,2.867,8.8,34.4,0.819,0.135,0.015,12
45,2026-04-01T06:00,2026-04-01T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,39
46,2026-04-02T22:00,2026-04-03T03:00,6,4,0.533,1.1,3.2,0.678,0.167,0.0,2
47,2026-04-03T06:00,2026-04-03T15:00,10,10,1.66,3.9,16.6,0.801,0.212,0.0115,52
48,2026-04-05T20:00,2026-04-06T05:00,10,9,1.22,2.6,12.2,0.703,0.286,0.0,3
49,2026-04-06T09:00,2026-04-06T09:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
50,2026-04-06T12:00,2026-04-06T12:00,1,1,0.8,0.8,0.8,0.0,0.625,0.0,5
51,2026-04-06T18:00,2026-04-06T21:00,4,3,0.55,0.9,2.2,0.639,0.25,0.0,3
52,2026-04-07T01:00,2026-04-07T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,35
53,2026-04-08T13:00,2026-04-08T14:00,2,2,0.55,0.6,1.1,0.129,1.0,0.0,29
54,2026-04-09T20:00,2026-04-09T20:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,2
55,2026-04-09T23:00,2026-04-10T00:00,2,2,0.55,0.8,1.1,0.643,0.604,0.0,13
56,2026-04-10T14:00,2026-04-11T01:00,12,11,1.15,3.0,13.8,0.792,0.019,0.026,5
57,2026-04-11T07:00,2026-04-11T10:00,4,3,0.225,0.3,0.9,0.667,0.167,0.0,3
58,2026-04-11T14:00,2026-04-11T19:00,6,6,1.25,3.9,7.5,1.072,0.268,0.0254,4
59,2026-04-12T00:00,2026-04-12T02:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,22
60,2026-04-13T01:00,2026-04-13T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,29
61,2026-04-14T07:00,2026-04-14T08:00,2,2,4.3,6.0,8.6,0.559,0.962,0.255,25
62,2026-04-15T10:00,2026-04-15T13:00,4,3,1.15,2.2,4.6,0.877,0.256,0.006,17
63,2026-04-16T07:00,2026-04-16T12:00,6,6,1.733,3.0,10.4,0.567,0.351,0.035,15
64,2026-04-17T04:00,2026-04-17T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
65,2026-04-17T10:00,2026-04-17T11:00,2,2,0.45,0.6,0.9,0.471,0.0,0.0,4
66,2026-04-17T16:00,2026-04-18T01:00,10,10,1.46,4.1,14.6,0.677,0.53,0.0009,68
67,2026-04-20T22:00,2026-04-21T03:00,6,6,0.733,1.1,4.4,0.373,0.0,0.0001,6
68,2026-04-21T10:00,2026-04-21T12:00,3,3,1.2,1.9,3.6,0.507,0.963,0.0,5
69,2026-04-21T18:00,2026-04-22T01:00,8,8,1.45,3.6,11.6,0.791,0.571,0.0045,2
70,2026-04-22T04:00,2026-04-22T10:00,7,7,1.7,2.6,11.9,0.442,0.415,0.042,2
71,2026-04-22T13:00,2026-04-22T13:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,4
72,2026-04-22T18:00,2026-04-22T20:00,3,2,0.3,0.4,0.9,0.333,0.0,0.0,8
