time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2025-10-08T12:00,0.0,0.0,0.0,0.0,15.8,1.78,5.0,322,100,47680.0,1,0.227,0.0,545.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T13:00,0.2,1.0,0.0,0.0,15.9,1.62,4.4,326,99,31700.0,1,0.229,20.0,465.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T14:00,0.1,1.0,0.0,0.0,16.2,1.36,4.2,332,42,27700.0,1,0.228,30.0,530.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T15:00,0.1,1.0,0.0,0.0,16.8,1.3,4.0,328,24,47720.0,1,0.228,30.0,770.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T16:00,0.0,0.0,0.0,0.0,16.7,1.34,4.0,315,29,47720.0,1,0.227,20.0,900.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T17:00,0.0,0.0,0.0,0.0,16.0,1.4,2.9,325,19,47740.0,1,0.227,20.0,295.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T18:00,0.0,0.0,0.0,0.0,14.5,0.92,2.8,331,5,45800.0,0,0.227,10.0,65.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T19:00,0.0,0.0,0.0,0.0,14.8,1.7,2.6,332,13,43160.0,0,0.227,10.0,70.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T20:00,0.0,0.0,0.0,0.0,14.2,1.94,3.5,342,90,43180.0,0,0.227,0.0,125.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T21:00,0.0,0.0,0.0,0.0,13.3,2.27,4.6,8,100,43200.0,0,0.227,0.0,210.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T22:00,0.0,0.0,0.0,0.0,12.6,1.93,4.6,17,100,43200.0,0,0.227,0.0,235.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T23:00,0.0,0.0,0.0,0.0,12.1,1.58,3.8,18,88,43220.0,0,0.227,0.0,215.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T00:00,0.0,0.0,0.0,0.0,11.2,1.15,3.0,358,31,47840.0,0,0.225,0.0,215.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T01:00,0.0,0.0,0.0,0.0,10.8,0.74,2.2,332,51,47840.0,0,0.225,0.0,130.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T02:00,0.0,0.0,0.0,0.0,10.5,0.79,1.5,288,20,47860.0,0,0.225,0.0,75.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T03:00,0.0,0.0,0.0,0.0,10.0,1.19,2.2,285,23,43260.0,0,0.226,0.0,85.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T04:00,0.0,0.0,0.0,0.0,9.5,1.2,2.3,270,10,43280.0,0,0.226,0.0,70.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T05:00,0.0,0.0,0.0,0.0,9.1,1.24,2.3,256,5,43300.0,0,0.226,0.0,70.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T06:00,0.0,0.0,0.0,0.0,8.8,1.13,2.7,257,100,40260.0,0,0.226,0.0,80.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T07:00,0.0,0.0,0.0,0.0,8.9,1.76,3.4,255,19,40260.0,1,0.226,0.0,115.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T08:00,0.0,0.0,0.0,0.0,9.8,1.39,3.6,249,4,40280.0,1,0.226,0.0,175.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T09:00,0.0,0.0,0.0,0.0,11.3,1.42,4.1,260,0,43340.0,1,0.225,0.0,265.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
