event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T06:00,2026-01-18T06:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,464
1,2026-02-06T15:00,2026-02-06T15:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,261
2,2026-02-17T13:00,2026-02-17T13:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,118
3,2026-02-22T12:00,2026-02-22T12:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,65
4,2026-02-25T06:00,2026-02-25T08:00,3,3,0.467,0.7,1.4,0.446,0.786,0.0,58
5,2026-02-27T19:00,2026-02-27T23:00,5,5,0.44,0.7,2.2,0.345,0.067,0.0,12
6,2026-02-28T12:00,2026-02-28T21:00,10,10,0.56,0.8,5.6,0.282,0.0,0.0,32
7,2026-03-02T06:00,2026-03-02T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,55
8,2026-03-04T14:00,2026-03-04T14:00,1,1,1.6,1.6,1.6,0.0,1.0,0.0113,55
9,2026-03-06T22:00,2026-03-07T05:00,8,8,0.438,0.7,3.5,0.298,0.443,0.0,19
10,2026-03-08T01:00,2026-03-08T03:00,3,3,0.8,1.3,2.4,0.573,0.734,0.0023,2
11,2026-03-08T06:00,2026-03-08T08:00,3,2,0.533,1.2,1.6,1.099,1.0,0.0,85
12,2026-03-11T22:00,2026-03-12T03:00,6,6,0.6,1.5,3.6,0.753,0.342,0.0,2
13,2026-03-12T06:00,2026-03-12T06:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,4
14,2026-03-12T11:00,2026-03-13T07:00,21,21,0.657,1.0,13.8,0.31,0.049,0.0,3
15,2026-03-13T11:00,2026-03-13T14:00,4,4,0.375,0.5,1.5,0.255,0.0,0.0,74
16,2026-03-16T17:00,2026-03-16T21:00,5,4,0.3,0.4,1.5,0.236,0.0,0.0,3
17,2026-03-17T01:00,2026-03-17T03:00,3,3,0.367,0.5,1.1,0.315,0.0,0.0,133
18,2026-03-22T17:00,2026-03-23T01:00,9,7,0.444,0.6,4.0,0.375,0.185,0.0,44
19,2026-03-24T22:00,2026-03-24T23:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,13
20,2026-03-25T13:00,2026-03-25T15:00,3,2,0.267,0.4,0.8,0.573,0.25,0.0,82
