event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-20T03:00,2026-01-20T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,3
1,2026-01-20T07:00,2026-01-20T07:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,3
2,2026-01-20T11:00,2026-01-20T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,39
3,2026-01-22T03:00,2026-01-22T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,181
4,2026-01-29T17:00,2026-01-29T19:00,3,2,0.6,1.2,1.8,0.882,0.0,0.001,5
5,2026-01-30T01:00,2026-01-30T01:00,1,1,0.9,0.9,0.9,0.0,0.0,0.0,6
6,2026-01-30T08:00,2026-01-30T09:00,2,2,0.4,0.4,0.8,0.0,0.125,0.0,4
7,2026-01-30T14:00,2026-01-30T14:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,6
8,2026-01-30T21:00,2026-01-31T03:00,7,5,0.557,1.0,3.9,0.603,0.435,0.0,3
9,2026-01-31T07:00,2026-01-31T07:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,153
10,2026-02-06T17:00,2026-02-06T18:00,2,2,0.55,0.6,1.1,0.129,0.084,0.0,120
11,2026-02-11T19:00,2026-02-11T19:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,116
12,2026-02-16T16:00,2026-02-16T22:00,7,6,0.757,1.5,5.3,0.628,0.261,0.0031,164
13,2026-02-23T19:00,2026-02-23T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
14,2026-02-23T22:00,2026-02-24T04:00,7,7,1.329,2.5,9.3,0.519,0.473,0.0025,25
15,2026-02-25T06:00,2026-02-25T06:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,21
16,2026-02-26T04:00,2026-02-27T03:00,24,22,0.879,4.2,21.1,0.964,0.226,0.008,15
17,2026-02-27T19:00,2026-02-28T15:00,21,19,0.981,2.1,20.6,0.61,0.108,0.0069,4
18,2026-02-28T20:00,2026-02-28T20:00,1,1,0.7,0.7,0.7,0.0,0.571,0.0,4
19,2026-03-01T01:00,2026-03-01T02:00,2,2,2.95,5.6,5.9,1.27,0.753,0.055,4
20,2026-03-01T07:00,2026-03-01T07:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,15
21,2026-03-01T23:00,2026-03-02T04:00,6,6,1.417,3.2,8.5,0.73,0.259,0.0303,8
22,2026-03-02T13:00,2026-03-03T00:00,12,11,1.167,6.8,14.0,1.567,0.227,0.01,7
23,2026-03-03T08:00,2026-03-03T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
24,2026-03-03T11:00,2026-03-03T15:00,5,5,0.9,1.3,4.5,0.437,0.077,0.0,3
25,2026-03-03T19:00,2026-03-03T19:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,23
26,2026-03-04T19:00,2026-03-04T21:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,116
27,2026-03-09T18:00,2026-03-09T18:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,264
28,2026-03-20T19:00,2026-03-20T20:00,2,2,2.05,3.0,4.1,0.655,0.68,0.0004,2
29,2026-03-20T23:00,2026-03-20T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,131
30,2026-03-26T11:00,2026-03-26T18:00,8,7,1.312,4.1,10.5,1.077,0.463,0.0238,2
31,2026-03-26T21:00,2026-03-27T00:00,4,4,0.475,0.7,1.9,0.434,0.393,0.0,9
32,2026-03-27T10:00,2026-03-27T10:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,2
33,2026-03-27T13:00,2026-03-27T13:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,21
34,2026-03-28T11:00,2026-03-28T12:00,2,2,4.65,5.2,9.3,0.167,0.593,0.0077,25
35,2026-03-29T14:00,2026-03-29T16:00,3,3,0.867,1.2,2.6,0.333,0.0,0.011,11
36,2026-03-30T04:00,2026-03-30T06:00,3,3,1.2,2.1,3.6,0.75,0.174,0.0316,8
37,2026-03-30T15:00,2026-03-30T15:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,15
38,2026-03-31T07:00,2026-03-31T07:00,1,1,1.0,1.0,1.0,0.0,0.5,0.0,3
39,2026-03-31T11:00,2026-03-31T14:00,4,4,0.975,1.5,3.9,0.396,0.042,0.0006,32
40,2026-04-01T23:00,2026-04-02T00:00,2,2,3.4,6.1,6.8,1.123,1.0,0.0,4
41,2026-04-02T05:00,2026-04-02T08:00,4,4,3.175,8.8,12.7,1.182,0.912,0.0037,4
42,2026-04-02T13:00,2026-04-02T16:00,4,4,2.025,4.0,8.1,0.867,0.501,0.075,3
43,2026-04-02T20:00,2026-04-02T20:00,1,1,1.0,1.0,1.0,0.0,0.9,0.0,6
44,2026-04-03T03:00,2026-04-03T13:00,11,11,2.945,10.3,32.4,0.997,0.592,0.12,48
45,2026-04-05T14:00,2026-04-05T19:00,6,5,2.017,6.8,12.1,1.297,0.06,0.145,2
46,2026-04-05T22:00,2026-04-05T22:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,2
47,2026-04-06T01:00,2026-04-06T12:00,12,10,1.075,5.8,12.9,1.427,0.414,0.425,4
48,2026-04-06T17:00,2026-04-06T18:00,2,2,0.55,0.8,1.1,0.643,0.0,0.0,8
49,2026-04-07T03:00,2026-04-07T04:00,2,2,0.35,0.4,0.7,0.202,0.834,0.0,3
50,2026-04-07T08:00,2026-04-07T10:00,3,3,1.3,2.5,3.9,0.814,0.59,0.1106,2
51,2026-04-07T13:00,2026-04-07T16:00,4,4,0.375,0.5,1.5,0.255,0.05,0.0,183
52,2026-04-15T08:00,2026-04-15T12:00,5,5,2.3,6.9,11.5,1.242,0.58,0.165,6
53,2026-04-15T19:00,2026-04-15T19:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,23
54,2026-04-16T19:00,2026-04-16T22:00,4,4,2.05,3.5,8.2,0.643,0.23,0.2313,4
55,2026-04-17T03:00,2026-04-17T09:00,7,6,1.771,9.2,12.4,1.863,0.396,0.285,3
56,2026-04-17T13:00,2026-04-17T13:00,1,1,2.9,2.9,2.9,0.0,0.897,0.0784,86
57,2026-04-21T04:00,2026-04-21T05:00,2,2,1.3,2.3,2.6,1.088,0.645,0.0179,5
58,2026-04-21T11:00,2026-04-21T12:00,2,2,2.0,3.3,4.0,0.919,0.526,0.0,21
59,2026-04-22T10:00,2026-04-22T12:00,3,3,0.667,0.8,2.0,0.229,0.156,0.0,17
60,2026-04-23T06:00,2026-04-23T09:00,4,4,1.8,3.3,7.2,0.677,0.068,0.0201,4
61,2026-04-23T14:00,2026-04-23T16:00,3,3,1.267,2.0,3.8,0.555,0.383,0.0125,15
62,2026-04-24T08:00,2026-04-24T11:00,4,4,0.525,0.7,2.1,0.325,0.0,0.0,3
63,2026-04-24T15:00,2026-04-24T15:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,88
64,2026-04-28T08:00,2026-04-28T08:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,16
65,2026-04-29T01:00,2026-04-29T01:00,1,1,4.1,4.1,4.1,0.0,0.927,0.3177,3
66,2026-04-29T05:00,2026-04-29T13:00,9,9,1.067,2.0,9.6,0.613,0.317,0.06,82
67,2026-05-03T00:00,2026-05-03T09:00,10,9,1.0,2.0,10.0,0.596,0.123,0.0288,8
68,2026-05-03T18:00,2026-05-03T18:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,12
69,2026-05-04T07:00,2026-05-04T11:00,5,5,0.52,0.8,2.6,0.417,0.142,0.0,18
70,2026-05-05T06:00,2026-05-05T06:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,58
71,2026-05-07T17:00,2026-05-07T21:00,5,5,0.8,1.4,4.0,0.538,0.237,0.0065,9
72,2026-05-08T07:00,2026-05-08T17:00,11,11,3.618,15.1,39.8,1.252,0.38,0.195,13
73,2026-05-09T07:00,2026-05-09T07:00,1,1,1.7,1.7,1.7,0.0,0.941,0.0,2
74,2026-05-09T10:00,2026-05-09T10:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,60
75,2026-05-11T23:00,2026-05-11T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,8
76,2026-05-12T08:00,2026-05-12T10:00,3,3,0.9,1.5,2.7,0.619,0.769,0.0625,7
77,2026-05-12T18:00,2026-05-12T18:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,7
78,2026-05-13T02:00,2026-05-14T06:00,29,27,2.766,11.4,80.2,1.015,0.475,0.3372,2
79,2026-05-14T09:00,2026-05-14T12:00,4,4,1.0,2.2,4.0,0.837,0.508,0.1095,14
80,2026-05-15T03:00,2026-05-15T12:00,10,10,1.65,3.4,16.5,0.558,0.6,0.154,4
81,2026-05-15T17:00,2026-05-15T18:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,9
82,2026-05-16T04:00,2026-05-16T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
83,2026-05-16T07:00,2026-05-16T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,93
84,2026-05-20T05:00,2026-05-20T12:00,8,7,0.525,1.2,4.2,0.673,0.025,0.0085,4
85,2026-05-20T17:00,2026-05-21T01:00,9,9,1.089,2.9,9.8,0.727,0.033,0.0784,2
86,2026-05-21T04:00,2026-05-21T14:00,11,10,1.536,4.7,16.9,0.857,0.337,0.2313,2
87,2026-05-21T17:00,2026-05-22T06:00,14,13,0.514,1.2,7.2,0.554,0.095,0.0045,4
88,2026-05-22T11:00,2026-05-22T11:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,14
89,2026-05-23T02:00,2026-05-23T03:00,2,2,0.55,0.8,1.1,0.643,0.229,0.0,3
90,2026-05-23T07:00,2026-05-23T08:00,2,2,0.95,1.4,1.9,0.67,0.465,0.059,10
91,2026-05-23T19:00,2026-05-23T20:00,2,2,0.8,1.3,1.6,0.884,0.512,0.0323,80
92,2026-05-27T05:00,2026-05-27T05:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,13
93,2026-05-27T19:00,2026-05-27T20:00,2,2,0.55,0.8,1.1,0.643,0.188,0.0,10
94,2026-05-28T07:00,2026-05-28T09:00,3,3,0.533,0.6,1.6,0.217,0.472,0.0,20
95,2026-05-29T06:00,2026-05-29T19:00,14,14,1.729,8.4,24.2,1.133,0.273,1.0,8
96,2026-05-30T04:00,2026-05-30T05:00,2,2,1.0,1.4,2.0,0.566,0.428,0.034,2
97,2026-05-30T08:00,2026-05-30T10:00,3,3,1.367,2.0,4.1,0.416,0.354,0.085,4
98,2026-05-30T15:00,2026-05-30T17:00,3,3,0.767,1.0,2.3,0.527,0.3,0.0,11
99,2026-05-31T05:00,2026-05-31T10:00,6,5,1.817,5.3,10.9,1.06,0.47,0.305,11
100,2026-05-31T22:00,2026-05-31T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,26
101,2026-06-02T01:00,2026-06-02T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
102,2026-06-02T07:00,2026-06-02T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
103,2026-06-02T13:00,2026-06-02T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,19
104,2026-06-03T09:00,2026-06-03T09:00,1,1,0.7,0.7,0.7,0.0,0.429,0.0,33
105,2026-06-04T19:00,2026-06-04T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,11
106,2026-06-05T07:00,2026-06-05T11:00,5,5,2.14,6.2,10.7,1.176,0.327,0.255,3
107,2026-06-05T15:00,2026-06-05T15:00,1,1,1.7,1.7,1.7,0.0,0.647,0.0315,11
108,2026-06-06T03:00,2026-06-06T03:00,1,1,0.7,0.7,0.7,0.0,0.571,0.0,2
109,2026-06-06T06:00,2026-06-06T12:00,7,6,0.4,0.6,2.8,0.382,0.524,0.0,4
110,2026-06-06T17:00,2026-06-06T17:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,13
111,2026-06-07T07:00,2026-06-07T11:00,5,4,0.8,1.9,4.0,0.901,0.489,0.1586,2
112,2026-06-07T14:00,2026-06-07T14:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,2
113,2026-06-07T17:00,2026-06-07T19:00,3,3,1.833,3.7,5.5,0.908,0.39,0.0304,10
114,2026-06-08T06:00,2026-06-08T06:00,1,1,1.4,1.4,1.4,0.0,0.929,0.058,2
115,2026-06-08T09:00,2026-06-09T15:00,31,31,1.674,9.9,51.9,1.016,0.316,0.38,13
116,2026-06-10T05:00,2026-06-10T16:00,12,12,0.875,2.4,10.5,0.786,0.192,0.0052,8
117,2026-06-11T01:00,2026-06-11T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,33
118,2026-06-12T11:00,2026-06-12T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,20
119,2026-06-13T08:00,2026-06-13T11:00,4,4,1.25,1.8,5.0,0.548,0.642,0.056,4
120,2026-06-13T16:00,2026-06-14T06:00,15,13,1.08,4.4,16.2,1.147,0.408,0.2179,2
121,2026-06-14T09:00,2026-06-14T17:00,9,9,1.422,3.4,12.8,0.722,0.244,0.15,2
122,2026-06-14T20:00,2026-06-15T01:00,6,6,1.55,3.5,9.3,0.831,0.792,0.0844,2
123,2026-06-15T04:00,2026-06-15T11:00,8,8,2.775,8.0,22.2,0.959,0.656,0.4,12
124,2026-06-16T00:00,2026-06-16T07:00,8,7,0.737,1.9,5.9,0.721,0.524,0.1057,2
125,2026-06-16T10:00,2026-06-16T13:00,4,4,0.775,2.0,3.1,1.061,0.583,0.0862,7
126,2026-06-16T21:00,2026-06-17T00:00,4,4,0.85,1.7,3.4,0.696,0.293,0.0682,4
127,2026-06-17T05:00,2026-06-17T11:00,7,7,1.057,3.0,7.4,0.946,0.449,0.1025,3
128,2026-06-17T15:00,2026-06-17T16:00,2,2,0.9,1.2,1.8,0.471,1.0,0.002,6
129,2026-06-17T23:00,2026-06-18T00:00,2,2,0.45,0.5,0.9,0.157,0.775,0.0,3
130,2026-06-18T04:00,2026-06-18T12:00,9,9,0.7,1.8,6.3,0.763,0.438,0.087,13
131,2026-06-19T02:00,2026-06-19T02:00,1,1,0.7,0.7,0.7,0.0,0.571,0.0,2
132,2026-06-19T05:00,2026-06-19T07:00,3,2,0.633,1.3,1.9,0.925,0.231,0.033,97
133,2026-06-23T09:00,2026-06-23T11:00,3,2,0.3,0.4,0.9,0.333,0.222,0.0,19
134,2026-06-24T07:00,2026-06-24T11:00,5,4,0.74,1.7,3.7,0.825,0.475,0.0875,8
135,2026-06-24T20:00,2026-06-24T21:00,2,2,0.9,1.1,1.8,0.314,0.857,0.025,6
136,2026-06-25T04:00,2026-06-25T11:00,8,7,1.325,5.0,10.6,1.195,0.571,0.43,6
137,2026-06-25T18:00,2026-06-25T20:00,3,3,0.367,0.4,1.1,0.157,0.25,0.0,5
138,2026-06-26T02:00,2026-06-26T20:00,19,18,1.832,6.9,34.8,1.076,0.563,0.61,3
139,2026-06-27T00:00,2026-06-27T01:00,2,2,0.35,0.4,0.7,0.202,0.709,0.0,3
140,2026-06-27T05:00,2026-06-27T12:00,8,8,3.562,9.2,28.5,0.763,0.66,0.2194,16
141,2026-06-28T05:00,2026-06-28T05:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
142,2026-06-28T08:00,2026-06-28T11:00,4,4,1.075,2.0,4.3,0.655,0.438,0.1875,7
143,2026-06-28T19:00,2026-06-28T19:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,11
144,2026-06-29T07:00,2026-06-29T11:00,5,5,0.78,2.0,3.9,0.908,0.528,0.2437,13
145,2026-06-30T01:00,2026-06-30T05:00,5,5,0.66,1.4,3.3,0.691,0.377,0.054,3
146,2026-06-30T09:00,2026-06-30T10:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,16
147,2026-07-01T03:00,2026-07-01T06:00,4,3,0.325,0.5,1.3,0.387,0.308,0.0,22
148,2026-07-02T05:00,2026-07-02T08:00,4,3,0.5,0.9,2.0,0.73,0.452,0.0,23
149,2026-07-03T08:00,2026-07-03T08:00,1,1,1.2,1.2,1.2,0.0,0.583,0.02,21
150,2026-07-04T06:00,2026-07-04T07:00,2,2,1.65,1.8,3.3,0.129,0.595,0.172,2
151,2026-07-04T10:00,2026-07-04T11:00,2,2,1.35,2.4,2.7,1.1,0.312,0.1872,14
152,2026-07-05T02:00,2026-07-05T02:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,3
153,2026-07-05T06:00,2026-07-05T07:00,2,2,1.0,1.5,2.0,0.707,0.134,0.0819,19
154,2026-07-06T03:00,2026-07-06T05:00,3,3,0.333,0.4,1.0,0.173,0.194,0.0,6
155,2026-07-06T12:00,2026-07-06T13:00,2,2,0.35,0.4,0.7,0.202,0.834,0.0,13
156,2026-07-07T03:00,2026-07-07T05:00,3,3,0.7,0.9,2.1,0.495,0.593,0.0,25
157,2026-07-08T07:00,2026-07-08T07:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,71
158,2026-07-11T07:00,2026-07-11T09:00,3,3,0.8,1.1,2.4,0.451,0.747,0.0039,18
159,2026-07-12T04:00,2026-07-12T06:00,3,2,0.9,1.7,2.7,0.889,0.479,0.077,22
160,2026-07-13T05:00,2026-07-13T07:00,3,2,0.433,0.9,1.3,0.961,0.333,0.0,18
161,2026-07-14T02:00,2026-07-14T09:00,8,7,0.537,0.9,4.3,0.506,0.29,0.0,15
162,2026-07-15T01:00,2026-07-15T04:00,4,4,0.375,0.6,1.5,0.4,0.584,0.0,4
163,2026-07-15T09:00,2026-07-15T10:00,2,2,1.25,2.0,2.5,0.849,0.625,0.2037,15
164,2026-07-16T02:00,2026-07-16T10:00,9,8,1.167,6.3,10.5,1.665,0.361,0.84,20
165,2026-07-17T07:00,2026-07-17T12:00,6,5,0.617,1.5,3.7,0.75,0.248,0.0506,17
166,2026-07-18T06:00,2026-07-18T11:00,6,4,0.617,1.1,3.7,0.644,0.559,0.0085,2
167,2026-07-18T14:00,2026-07-18T14:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,6
168,2026-07-18T21:00,2026-07-18T22:00,2,2,0.55,0.8,1.1,0.643,0.75,0.0,8
169,2026-07-19T07:00,2026-07-19T12:00,6,4,0.65,1.6,3.9,0.89,0.583,0.0848,2
170,2026-07-19T15:00,2026-07-19T17:00,3,3,0.8,1.1,2.4,0.545,0.333,0.0049,14
171,2026-07-20T08:00,2026-07-20T10:00,3,3,0.4,0.6,1.2,0.433,0.222,0.0,117
172,2026-07-25T08:00,2026-07-25T08:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,2
173,2026-07-25T11:00,2026-07-25T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
174,2026-07-25T14:00,2026-07-25T14:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,6
