event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-10T21:00,2025-10-10T22:00,2,2,7.7,8.5,15.4,0.147,1.0,0.22,78
1,2025-10-14T05:00,2025-10-14T07:00,3,2,0.267,0.4,0.8,0.573,0.722,0.0,3
2,2025-10-14T11:00,2025-10-14T20:00,10,10,3.61,6.2,36.1,0.443,0.139,0.0471,9
3,2025-10-15T06:00,2025-10-15T08:00,3,3,1.2,1.7,3.6,0.417,0.56,0.0017,716
4,2025-11-14T05:00,2025-11-15T11:00,31,27,2.348,6.3,72.8,0.728,0.314,0.02,2
5,2025-11-15T14:00,2025-11-16T10:00,21,20,2.648,6.1,55.6,0.613,0.409,0.19,2
6,2025-11-16T13:00,2025-11-16T20:00,8,7,0.8,1.1,6.4,0.366,0.383,0.0001,8
7,2025-11-17T05:00,2025-11-17T10:00,6,6,0.533,1.0,3.2,0.454,0.375,0.0,11
8,2025-11-17T22:00,2025-11-18T04:00,7,7,2.443,4.2,17.1,0.536,0.273,0.012,62
9,2025-11-20T19:00,2025-11-21T16:00,22,20,2.091,6.8,46.0,0.926,0.63,0.0945,770
10,2025-12-23T19:00,2025-12-23T21:00,3,3,0.767,1.0,2.3,0.419,0.502,0.0,10
11,2025-12-24T08:00,2025-12-25T00:00,17,17,3.924,13.8,66.7,0.806,0.308,0.12,5
12,2025-12-25T06:00,2025-12-25T07:00,2,2,1.9,2.0,3.8,0.074,1.0,0.0175,4
13,2025-12-25T12:00,2025-12-25T16:00,5,4,0.78,1.8,3.9,0.798,0.955,0.009,2
14,2025-12-25T19:00,2025-12-25T22:00,4,3,0.725,2.2,2.9,1.363,0.644,0.003,2
15,2025-12-26T01:00,2025-12-26T03:00,3,3,0.7,0.8,2.1,0.247,0.808,0.0,3
16,2025-12-26T07:00,2025-12-27T04:00,22,21,2.659,7.3,58.5,0.861,0.587,0.055,83
17,2025-12-30T16:00,2025-12-30T16:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
18,2025-12-30T19:00,2025-12-30T19:00,1,1,1.6,1.6,1.6,0.0,0.0,0.0,22
19,2025-12-31T18:00,2026-01-01T09:00,16,15,1.462,4.2,23.4,0.845,0.027,0.0024,3
20,2026-01-01T13:00,2026-01-01T18:00,6,6,3.65,5.7,21.9,0.594,0.522,0.08,26
21,2026-01-02T21:00,2026-01-03T01:00,5,5,0.92,2.0,4.6,0.714,0.33,0.0013,2
22,2026-01-03T04:00,2026-01-03T06:00,3,2,0.267,0.3,0.8,0.217,0.556,0.0,15
23,2026-01-03T22:00,2026-01-04T01:00,4,4,3.125,6.4,12.5,0.805,0.485,0.0405,12
24,2026-01-04T14:00,2026-01-04T19:00,6,6,0.783,1.5,4.7,0.568,0.429,0.0025,2
25,2026-01-04T22:00,2026-01-05T01:00,4,3,0.475,0.7,1.9,0.554,0.786,0.0,8
26,2026-01-05T10:00,2026-01-05T10:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,20
27,2026-01-06T07:00,2026-01-06T11:00,5,4,0.66,1.4,3.3,0.707,0.852,0.002,385
28,2026-01-22T13:00,2026-01-22T15:00,3,2,0.333,0.5,1.0,0.624,1.0,0.0,3
29,2026-01-22T19:00,2026-01-22T21:00,3,3,1.867,4.1,5.6,1.053,1.0,0.0039,39
30,2026-01-24T13:00,2026-01-24T14:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,419
31,2026-02-11T02:00,2026-02-11T04:00,3,3,0.633,1.1,1.9,0.657,0.576,0.0005,3
32,2026-02-11T08:00,2026-02-11T15:00,8,7,1.512,4.8,12.1,1.106,0.41,0.171,3
33,2026-02-11T19:00,2026-02-11T21:00,3,3,0.367,0.4,1.1,0.157,0.806,0.0,92
34,2026-02-15T18:00,2026-02-15T18:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,21
35,2026-02-16T16:00,2026-02-17T01:00,10,9,3.3,11.7,33.0,1.042,0.213,0.0481,4
36,2026-02-17T06:00,2026-02-17T10:00,5,5,1.18,3.0,5.9,0.873,0.793,0.0,6
37,2026-02-17T17:00,2026-02-17T17:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,5
38,2026-02-17T23:00,2026-02-17T23:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,3
39,2026-02-18T03:00,2026-02-18T10:00,8,8,0.912,2.2,7.3,0.621,0.636,0.0002,31
40,2026-02-19T18:00,2026-02-19T22:00,5,5,2.44,4.2,12.2,0.412,0.047,0.004,964
41,2026-04-01T03:00,2026-04-01T08:00,6,6,1.083,1.9,6.5,0.5,0.195,0.0281,241
42,2026-04-11T10:00,2026-04-11T10:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,3
43,2026-04-11T14:00,2026-04-11T14:00,1,1,0.7,0.7,0.7,0.0,0.714,0.0,16
44,2026-04-12T07:00,2026-04-12T09:00,3,2,0.433,0.6,1.3,0.48,0.944,0.0,2
45,2026-04-12T12:00,2026-04-12T16:00,5,5,2.12,4.9,10.6,0.919,0.325,0.0195,221
46,2026-04-21T22:00,2026-04-21T22:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,320
47,2026-05-05T07:00,2026-05-05T07:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,513
48,2026-05-26T17:00,2026-05-26T17:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,937
49,2026-07-04T19:00,2026-07-04T19:00,1,1,1.8,1.8,1.8,0.0,0.0,0.0,194
50,2026-07-12T22:00,2026-07-12T22:00,1,1,0.9,0.9,0.9,0.0,0.0,0.0,-1
