time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,14.8,1.84,4.3,41,2,4800.0,1,0.049
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,400.0,17.6,2.48,5.5,81,0,15620.0,1,0.049
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,580.0,19.2,4.02,9.3,96,1,17180.0,1,0.049
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,610.0,20.0,4.13,9.9,97,0,17180.0,1,0.049
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,670.0,20.5,4.49,10.7,98,3,18560.0,1,0.049
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,685.0,21.0,4.33,10.7,101,6,18560.0,1,0.049
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,705.0,21.4,3.83,10.5,105,2,19800.0,1,0.049
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,575.0,21.1,3.95,9.5,112,1,19800.0,1,0.049
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,430.0,20.2,3.96,9.5,111,0,18560.0,1,0.049
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,340.0,19.3,3.58,9.1,115,3,17200.0,1,0.049
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,280.0,18.1,2.8,7.9,109,2,15640.0,1,0.049
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,220.0,17.5,1.96,5.7,96,4,15640.0,0,0.049
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,40.0,2.0,180.0,17.3,1.62,3.9,99,2,15660.0,0,0.049
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,2.0,195.0,17.3,2.08,4.0,100,13,15660.0,0,0.049
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,70.0,4.0,180.0,17.2,1.95,4.1,89,5,15660.0,0,0.049
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,80.0,6.0,155.0,16.5,1.54,3.7,77,2,15660.0,0,0.049
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,80.0,6.0,165.0,16.3,1.75,3.3,90,1,15660.0,0,0.049
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,80.0,9.0,185.0,16.7,2.1,4.3,93,2,13400.0,0,0.049
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,9.0,110.0,15.9,1.29,4.0,77,8,13400.0,0,0.049
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,70.0,15.0,125.0,16.1,1.95,3.7,90,0,11900.0,0,0.049
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,26.0,75.0,14.8,1.35,3.6,31,1,13400.0,0,0.049
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,40.0,29.0,45.0,13.9,1.48,2.7,348,2,11940.0,0,0.049
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,41.0,50.0,13.6,2.04,3.9,338,1,11940.0,0,0.049
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,34.0,45.0,12.7,1.63,3.8,337,0,7980.0,0,0.049
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,56.0,70.0,13.9,2.2,3.7,1,4,1280.0,1,0.049
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,59.0,120.0,16.8,1.51,4.4,8,0,13420.0,1,0.049
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,62.0,245.0,19.8,1.56,4.9,40,0,16520.0,1,0.049
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,67.0,475.0,21.8,1.98,6.0,56,1,9660.0,1,0.049
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,73.0,640.0,23.0,2.3,6.7,66,0,19860.0,1,0.049
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,78.0,805.0,23.8,2.63,7.3,81,0,19860.0,1,0.049
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,83.0,345.0,23.3,3.43,8.9,109,5,19860.0,1,0.049
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,87.0,275.0,21.8,4.12,9.6,126,17,18620.0,1,0.049
