event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-07T12:00,2026-02-07T13:00,2,2,0.55,0.7,1.1,0.386,0.071,0.0,65
1,2026-02-10T07:00,2026-02-10T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,327
2,2026-02-23T23:00,2026-02-24T00:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,71
3,2026-02-27T00:00,2026-02-27T00:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,3
4,2026-02-27T04:00,2026-02-27T05:00,2,2,0.3,0.3,0.6,0.0,0.167,0.0,3
5,2026-02-27T09:00,2026-02-27T09:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,9
6,2026-02-27T19:00,2026-02-27T19:00,1,1,0.7,0.7,0.7,0.0,0.143,0.0,3
7,2026-02-27T23:00,2026-02-27T23:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,2
8,2026-02-28T02:00,2026-02-28T03:00,2,2,0.6,0.7,1.2,0.236,0.629,0.0,4
9,2026-02-28T08:00,2026-02-28T08:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,5
10,2026-02-28T14:00,2026-02-28T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,11
11,2026-03-01T02:00,2026-03-01T04:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,2
12,2026-03-01T07:00,2026-03-01T07:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,2
13,2026-03-01T10:00,2026-03-01T10:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,21
14,2026-03-02T08:00,2026-03-02T09:00,2,2,0.8,1.2,1.6,0.707,0.334,0.0105,3
15,2026-03-02T13:00,2026-03-02T16:00,4,3,0.425,0.9,1.7,0.801,0.972,0.0,8
16,2026-03-03T01:00,2026-03-03T04:00,4,4,2.2,4.4,8.8,0.776,0.294,0.0978,4
17,2026-03-03T09:00,2026-03-03T16:00,8,7,2.5,6.6,20.0,0.888,0.438,0.095,10
18,2026-03-04T03:00,2026-03-04T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,19
19,2026-03-04T23:00,2026-03-04T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,116
20,2026-03-09T20:00,2026-03-09T21:00,2,2,0.95,1.4,1.9,0.67,0.0,0.0,5
21,2026-03-10T03:00,2026-03-10T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,406
