time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,12.4,1.97,3.5,63,0,15940.0,1,0.18
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,90.0,16.0,1.7,4.5,87,0,19120.0,1,0.18
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,355.0,19.7,1.71,5.3,97,0,20440.0,1,0.18
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,820.0,22.1,3.19,8.3,107,0,20440.0,1,0.18
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1065.0,23.4,3.67,9.7,114,0,20460.0,1,0.18
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1265.0,24.1,3.64,9.7,122,1,20460.0,1,0.18
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1410.0,24.5,3.65,9.7,132,0,20460.0,1,0.18
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,1505.0,24.4,3.8,10.0,140,45,20460.0,1,0.18
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,1125.0,23.1,4.05,10.0,145,84,19140.0,1,0.18
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,850.0,21.8,4.1,10.1,146,11,19160.0,1,0.18
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,595.0,20.6,3.44,9.6,152,10,17680.0,1,0.18
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,370.0,19.4,3.24,6.9,146,1,17680.0,0,0.18
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,290.0,18.9,2.98,6.3,119,0,15980.0,0,0.18
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,250.0,18.3,2.81,5.6,102,0,15980.0,0,0.18
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,175.0,17.6,2.65,5.5,89,0,13560.0,0,0.18
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,35.0,155.0,17.1,2.7,5.2,88,0,12060.0,0,0.18
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,40.0,31.0,135.0,16.9,2.62,5.2,83,13,12060.0,0,0.18
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,31.0,105.0,16.7,2.34,5.0,79,77,12060.0,0,0.18
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,2,80.0,29.0,60.0,16.4,2.07,4.5,58,65,12060.0,0,0.18
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,80.0,28.0,55.0,16.3,1.65,3.9,35,100,12060.0,0,0.18
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,80.0,30.0,40.0,16.3,1.25,3.1,29,95,13560.0,0,0.18
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,2,70.0,35.0,30.0,15.5,1.22,2.4,35,65,12060.0,0,0.18
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,1,60.0,36.0,30.0,14.9,1.21,2.3,38,29,10160.0,0,0.18
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,40.0,48.0,30.0,14.1,1.24,2.4,50,2,10160.0,0,0.18
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,40.0,90.0,20.0,14.7,1.23,2.5,78,21,12080.0,1,0.18
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,105.0,70.0,18.0,0.5,3.2,53,2,16020.0,1,0.18
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,,215.0,20.9,0.76,3.8,293,0,17740.0,1,0.18
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,23.0,455.0,23.2,1.0,4.8,307,0,19240.0,1,0.18
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,735.0,25.0,0.57,4.8,315,0,20560.0,1,0.18
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.0,1340.0,26.3,0.49,4.5,294,1,23880.0,1,0.18
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18.0,1615.0,26.6,0.9,4.5,289,4,23900.0,1,0.18
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15.0,1850.0,27.3,1.19,5.1,255,2,23900.0,1,0.18
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,13.0,935.0,25.9,2.91,7.6,196,6,20580.0,1,0.18
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,12.0,375.0,23.1,4.15,9.8,178,6,19260.0,1,0.18
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,280.0,21.6,3.29,9.6,156,1,17780.0,1,0.18
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,285.0,19.9,3.22,7.3,144,0,16060.0,0,0.18
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,190.0,18.8,2.42,6.7,128,0,16060.0,0,0.18
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,155.0,18.2,1.94,4.6,125,0,13620.0,0,0.18
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,130.0,17.8,1.86,3.7,121,0,12100.0,0,0.18
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,110.0,17.2,2.02,3.8,113,0,12120.0,0,0.18
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,16.6,2.17,4.2,116,0,10180.0,0,0.18
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,95.0,16.1,2.21,4.3,115,0,6780.0,0,0.18
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,37.0,70.0,16.0,2.09,4.3,107,0,6780.0,0,0.18
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,15.7,1.61,3.8,95,0,6780.0,0,0.18
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,15.5,1.55,3.1,105,0,6780.0,0,0.18
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,15.4,1.86,3.5,104,1,6780.0,0,0.18
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,50.0,15.3,1.6,3.5,90,1,6780.0,0,0.18
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,15.1,0.97,3.0,69,0,10200.0,0,0.18
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,115.0,35.0,15.7,1.33,2.5,20,0,12140.0,1,0.18
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,109.0,80.0,18.3,0.95,3.4,342,1,16100.0,1,0.18
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,95.0,360.0,20.6,0.6,3.8,312,2,17840.0,1,0.18
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,77.0,500.0,22.5,0.35,3.9,270,2,19340.0,1,0.18
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,57.0,790.0,24.3,0.6,4.4,204,2,19340.0,1,0.18
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40.0,1125.0,25.7,1.26,5.5,198,5,20680.0,1,0.18
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1410.0,26.2,1.83,6.6,215,2,20680.0,1,0.18
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1460.0,26.4,2.46,7.3,207,6,24040.0,1,0.18
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1425.0,25.9,2.71,7.5,205,5,24040.0,1,0.18
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,815.0,24.9,2.66,7.4,196,15,24060.0,1,0.18
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,285.0,23.4,2.6,6.7,164,10,24060.0,1,0.18
2026-01-16T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,165.0,21.8,2.88,5.6,154,11,20700.0,0,0.18
2026-01-16T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,34.0,145.0,20.4,2.62,5.5,135,6,19380.0,0,0.18
2026-01-16T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,150.0,19.3,2.53,5.1,115,11,17880.0,0,0.18
2026-01-16T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,130.0,18.7,2.15,4.8,115,2,17880.0,0,0.18
2026-01-16T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,95.0,18.0,1.77,4.1,98,0,16160.0,0,0.18
2026-01-16T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,90.0,17.4,1.97,3.9,99,1,16160.0,0,0.18
2026-01-16T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,75.0,17.1,1.96,3.8,94,4,16160.0,0,0.18
2026-01-16T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,45.0,16.9,1.13,3.8,45,16,16160.0,0,0.18
2026-01-16T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,16.6,1.06,2.6,19,2,16160.0,0,0.18
2026-01-16T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,16.0,0.76,2.1,11,14,16160.0,0,0.18
2026-01-16T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,30.0,15.7,0.6,1.7,5,100,16160.0,0,0.18
2026-01-16T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,35.0,16.6,0.46,1.3,13,90,17900.0,0,0.18
2026-01-16T23:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,40.0,16.6,0.86,1.7,10,79,16180.0,0,0.18
2026-01-17T00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,69.0,55.0,16.6,1.61,1.9,344,20,16180.0,1,0.18
2026-01-17T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,,110.0,19.1,1.04,3.6,343,12,17920.0,1,0.18
2026-01-17T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,265.0,22.0,1.12,4.4,339,31,19420.0,1,0.18
2026-01-17T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,,535.0,23.8,1.43,5.3,335,34,20760.0,1,0.18
