event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T22:00,2026-01-18T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,421
1,2026-02-05T12:00,2026-02-05T12:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,31
2,2026-02-06T20:00,2026-02-06T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
3,2026-02-07T04:00,2026-02-07T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,8
4,2026-02-07T13:00,2026-02-08T05:00,17,17,0.547,1.1,9.3,0.493,0.029,0.0001,252
5,2026-02-18T18:00,2026-02-18T18:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,122
6,2026-02-23T21:00,2026-02-23T21:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,64
7,2026-02-26T14:00,2026-02-26T16:00,3,3,1.133,1.6,3.4,0.638,1.0,0.0,22
8,2026-02-27T15:00,2026-02-27T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,22
9,2026-02-28T14:00,2026-02-28T19:00,6,6,0.5,0.6,3.0,0.219,0.0,0.0,46
10,2026-03-02T18:00,2026-03-03T03:00,10,10,0.84,1.3,8.4,0.405,0.05,0.0023,38
11,2026-03-04T18:00,2026-03-04T23:00,6,6,0.517,1.3,3.1,0.759,0.013,0.0015,61
12,2026-03-07T13:00,2026-03-07T14:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,20
13,2026-03-08T11:00,2026-03-08T15:00,5,5,0.48,0.7,2.4,0.309,0.0,0.0,3
14,2026-03-08T19:00,2026-03-08T20:00,2,2,0.6,0.6,1.2,0.0,0.0,0.0,75
15,2026-03-12T00:00,2026-03-12T03:00,4,4,0.475,0.6,1.9,0.265,0.0,0.0,11
16,2026-03-12T15:00,2026-03-12T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,24
17,2026-03-13T16:00,2026-03-13T23:00,8,8,0.562,0.9,4.5,0.342,0.0,0.0,41
18,2026-03-15T17:00,2026-03-15T21:00,5,5,0.64,0.9,3.2,0.489,0.183,0.0,14
19,2026-03-16T12:00,2026-03-16T12:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,26
20,2026-03-17T15:00,2026-03-17T17:00,3,3,0.333,0.4,1.0,0.173,0.278,0.0,163
21,2026-03-24T13:00,2026-03-24T13:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,73
22,2026-03-27T15:00,2026-03-27T21:00,7,7,0.643,1.0,4.5,0.358,0.094,0.0,15
23,2026-03-28T13:00,2026-03-28T13:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,5
24,2026-03-28T19:00,2026-03-29T02:00,8,8,0.425,1.1,3.4,0.65,0.011,0.0005,33
