event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-21T20:00,2026-01-21T21:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,112
1,2026-01-26T14:00,2026-01-26T16:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,6
2,2026-01-26T23:00,2026-01-26T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,10
3,2026-01-27T10:00,2026-01-27T11:00,2,2,0.5,0.7,1.0,0.566,0.595,0.0,5
4,2026-01-27T17:00,2026-01-27T19:00,3,2,0.3,0.5,0.9,0.667,0.311,0.0,68
5,2026-01-30T16:00,2026-01-30T17:00,2,2,0.5,0.5,1.0,0.0,0.7,0.0,3
6,2026-01-30T21:00,2026-01-30T22:00,2,2,0.6,0.9,1.2,0.707,0.389,0.0,11
7,2026-01-31T10:00,2026-01-31T12:00,3,3,0.433,0.6,1.3,0.353,0.389,0.0,6
8,2026-01-31T19:00,2026-01-31T21:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,5
9,2026-02-01T03:00,2026-02-01T04:00,2,2,0.6,0.9,1.2,0.707,0.611,0.0,2
10,2026-02-01T07:00,2026-02-01T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,5
11,2026-02-01T13:00,2026-02-01T21:00,9,6,0.289,0.6,2.6,0.532,0.0,0.0,139
12,2026-02-07T17:00,2026-02-07T18:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,290
13,2026-02-19T21:00,2026-02-19T22:00,2,2,0.6,0.9,1.2,0.707,0.056,0.0,117
14,2026-02-24T20:00,2026-02-24T21:00,2,2,0.7,0.9,1.4,0.404,0.845,0.0,43
15,2026-02-26T17:00,2026-02-26T21:00,5,5,1.72,3.5,8.6,0.647,0.553,0.0531,3
16,2026-02-27T01:00,2026-02-27T02:00,2,2,0.95,1.4,1.9,0.67,0.0,0.003,9
17,2026-02-27T12:00,2026-02-27T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,9
18,2026-02-27T22:00,2026-02-28T00:00,3,3,0.967,1.2,2.9,0.26,0.25,0.0,4
19,2026-02-28T05:00,2026-02-28T05:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
20,2026-02-28T08:00,2026-02-28T08:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
21,2026-02-28T12:00,2026-02-28T13:00,2,2,0.5,0.7,1.0,0.566,0.643,0.0,2
22,2026-02-28T16:00,2026-02-28T17:00,2,2,1.0,1.2,2.0,0.283,1.0,0.0,2
23,2026-02-28T20:00,2026-02-28T21:00,2,2,1.6,2.6,3.2,0.884,0.346,0.0,2
24,2026-03-01T00:00,2026-03-01T00:00,1,1,1.6,1.6,1.6,0.0,0.625,0.0,14
25,2026-03-01T15:00,2026-03-01T20:00,6,6,1.617,3.8,9.7,0.912,0.428,0.0455,7
