time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,15.0,11.9,1.43,3.1,155,0,29900.0,1,0.231
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,170.0,18.9,1.01,3.6,261,0,37580.0,1,0.231
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,315.0,20.8,2.25,6.5,287,0,31860.0,1,0.231
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,425.0,21.5,2.51,7.5,305,0,31860.0,1,0.23
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,555.0,22.7,2.04,7.4,298,0,31860.0,1,0.229
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,660.0,23.6,2.21,6.9,295,0,31860.0,1,0.229
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,555.0,22.8,2.66,7.0,290,0,31860.0,1,0.228
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,495.0,22.6,2.33,7.5,285,0,31880.0,1,0.228
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,310.0,21.6,1.82,6.7,291,0,29900.0,1,0.227
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,50.0,19.5,0.61,5.0,261,0,29900.0,1,0.227
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,35.0,16.4,1.0,2.0,198,0,25200.0,0,0.227
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,35.0,15.8,1.87,3.5,171,0,25200.0,0,0.227
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,50.0,16.5,2.89,3.9,166,0,27760.0,0,0.219
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,55.0,16.8,2.66,5.2,175,0,29920.0,0,0.219
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,95.0,16.9,3.21,5.8,176,2,29920.0,0,0.219
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,150.0,17.1,3.67,6.7,185,0,31880.0,0,0.219
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,195.0,16.7,4.1,7.7,196,0,29920.0,0,0.219
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,200.0,16.2,4.14,8.1,198,0,29920.0,0,0.219
