time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2025-10-08T12:00,0.0,0.0,0.0,0.0,24.8,3.22,6.4,83,5,15480.0,0,0.285,340.0,400.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T13:00,0.0,0.0,0.0,0.0,24.3,3.16,6.5,86,22,13600.0,0,0.286,310.0,415.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T14:00,0.0,0.0,0.0,0.0,23.9,3.4,7.0,90,33,13600.0,0,0.286,190.0,440.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T15:00,0.0,0.0,0.0,0.0,23.3,3.16,7.0,94,5,13600.0,0,0.287,10.0,410.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T16:00,0.0,0.0,0.0,0.0,22.7,3.02,6.6,97,6,13600.0,0,0.287,0.0,385.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T17:00,0.0,0.0,0.0,0.0,22.1,2.97,6.4,103,2,12400.0,0,0.287,0.0,335.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T18:00,0.0,0.0,0.0,0.0,22.0,3.02,6.2,109,1,10740.0,0,0.288,0.0,330.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T19:00,0.0,0.0,0.0,0.0,21.7,2.91,6.3,109,0,10740.0,0,0.288,0.0,345.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T20:00,0.0,0.0,0.0,0.0,21.5,2.74,6.0,99,0,10740.0,0,0.289,0.0,335.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T21:00,0.0,0.0,0.0,0.0,21.3,2.58,5.7,99,0,10740.0,0,0.29,0.0,310.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T22:00,0.0,0.0,0.0,0.0,21.1,2.77,5.7,107,0,10740.0,0,0.29,0.0,295.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T23:00,0.0,0.0,0.0,0.0,21.4,2.47,5.9,108,0,12380.0,1,0.29,0.0,295.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T00:00,0.0,0.0,0.0,0.0,22.8,2.63,5.8,111,0,13560.0,1,0.29,0.0,340.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
