event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-20T13:00,2026-01-20T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
1,2026-01-20T16:00,2026-01-20T18:00,3,3,0.4,0.6,1.2,0.433,0.0,0.0,2
2,2026-01-20T21:00,2026-01-20T22:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,14
3,2026-01-21T13:00,2026-01-21T13:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,140
4,2026-01-27T10:00,2026-01-27T11:00,2,2,0.35,0.4,0.7,0.202,0.459,0.0,49
5,2026-01-29T13:00,2026-01-29T14:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,21
6,2026-01-30T12:00,2026-01-30T15:00,4,3,0.275,0.4,1.1,0.688,0.167,0.0,163
7,2026-02-06T11:00,2026-02-06T15:00,5,5,0.94,1.7,4.7,0.479,0.319,0.0009,67
8,2026-02-09T11:00,2026-02-09T11:00,1,1,2.5,2.5,2.5,0.0,1.0,0.0019,4
9,2026-02-09T16:00,2026-02-09T16:00,1,1,3.5,3.5,3.5,0.0,1.0,0.0,26
10,2026-02-10T19:00,2026-02-10T19:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,48
11,2026-02-12T20:00,2026-02-12T20:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,33
12,2026-02-14T06:00,2026-02-14T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,41
13,2026-02-16T00:00,2026-02-16T02:00,3,3,0.367,0.4,1.1,0.157,0.806,0.0,7
14,2026-02-16T10:00,2026-02-16T17:00,8,7,0.888,2.7,7.1,0.976,0.182,0.0149,164
15,2026-02-23T14:00,2026-02-23T15:00,2,2,0.5,0.6,1.0,0.283,1.0,0.0,2
16,2026-02-23T18:00,2026-02-23T22:00,5,5,1.02,2.8,5.1,1.003,0.257,0.0,2
17,2026-02-24T01:00,2026-02-24T03:00,3,3,0.8,1.4,2.4,0.65,0.0,0.001,9
18,2026-02-24T13:00,2026-02-24T14:00,2,2,0.3,0.3,0.6,0.0,0.334,0.0,26
19,2026-02-25T17:00,2026-02-25T21:00,5,5,0.34,0.4,1.7,0.161,0.0,0.0,3
20,2026-02-26T01:00,2026-02-26T22:00,22,20,1.136,3.3,25.0,0.738,0.109,0.0022,12
21,2026-02-27T11:00,2026-02-27T11:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,4
22,2026-02-27T16:00,2026-02-27T16:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,10
23,2026-02-28T03:00,2026-02-28T15:00,13,12,0.462,0.7,6.0,0.381,0.0,0.0,7
24,2026-02-28T23:00,2026-03-01T02:00,4,3,0.825,1.6,3.3,0.769,0.555,0.0,4
25,2026-03-01T07:00,2026-03-01T13:00,7,7,1.314,2.9,9.2,0.712,0.175,0.0047,11
26,2026-03-02T01:00,2026-03-02T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,13
27,2026-03-02T15:00,2026-03-02T21:00,7,7,1.086,2.0,7.6,0.603,0.295,0.0063,15
28,2026-03-03T13:00,2026-03-03T16:00,4,4,0.575,0.7,2.3,0.219,0.0,0.0,2
29,2026-03-03T19:00,2026-03-03T23:00,5,4,0.88,3.1,4.4,1.42,0.687,0.0,61
30,2026-03-06T13:00,2026-03-06T14:00,2,2,0.45,0.5,0.9,0.157,0.675,0.0,50
31,2026-03-08T17:00,2026-03-08T21:00,5,5,0.96,1.6,4.8,0.534,0.079,0.0,3
32,2026-03-09T01:00,2026-03-09T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,9
33,2026-03-09T11:00,2026-03-09T13:00,3,3,0.367,0.5,1.1,0.315,0.0,0.0,218
34,2026-03-18T16:00,2026-03-18T17:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,35
35,2026-03-20T05:00,2026-03-20T05:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
36,2026-03-20T09:00,2026-03-20T20:00,12,12,1.767,3.8,21.2,0.652,0.518,0.014,41
37,2026-03-22T14:00,2026-03-22T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,16
38,2026-03-23T07:00,2026-03-23T18:00,12,11,2.008,7.0,24.1,1.01,0.554,0.187,9
39,2026-03-24T04:00,2026-03-24T09:00,6,5,3.0,10.9,18.0,1.353,0.56,0.24,41
40,2026-03-26T03:00,2026-03-26T06:00,4,4,3.975,10.1,15.9,1.069,0.312,0.02,12
41,2026-03-26T19:00,2026-03-26T20:00,2,2,1.3,1.4,2.6,0.109,0.655,0.0045,30
42,2026-03-28T03:00,2026-03-28T04:00,2,2,0.8,1.2,1.6,0.707,0.709,0.0,3
43,2026-03-28T08:00,2026-03-28T10:00,3,3,0.6,0.8,1.8,0.333,0.681,0.0,13
44,2026-03-29T00:00,2026-03-29T00:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,13
45,2026-03-29T14:00,2026-03-29T18:00,5,4,1.06,3.1,5.3,1.129,0.394,0.0656,9
46,2026-03-30T04:00,2026-03-30T06:00,3,3,2.7,6.1,8.1,1.113,0.661,0.3,9
47,2026-03-30T16:00,2026-03-30T17:00,2,2,0.6,0.7,1.2,0.236,0.514,0.0,12
48,2026-03-31T06:00,2026-03-31T13:00,8,8,6.412,16.3,51.3,0.754,0.237,0.545,36
49,2026-04-02T02:00,2026-04-02T02:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,5
50,2026-04-02T08:00,2026-04-02T11:00,4,4,1.45,2.3,5.8,0.452,0.655,0.0,7
51,2026-04-02T19:00,2026-04-02T22:00,4,4,2.45,3.3,9.8,0.435,0.35,0.0248,8
52,2026-04-03T07:00,2026-04-03T11:00,5,5,2.0,4.0,10.0,0.685,0.049,0.0638,51
53,2026-04-05T15:00,2026-04-06T16:00,26,24,2.177,7.9,56.6,0.964,0.475,0.0736,5
54,2026-04-06T22:00,2026-04-06T22:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,3
55,2026-04-07T02:00,2026-04-07T04:00,3,3,0.533,0.6,1.6,0.108,0.456,0.0,2
56,2026-04-07T07:00,2026-04-07T07:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,77
57,2026-04-10T13:00,2026-04-10T14:00,2,2,1.15,2.0,2.3,1.045,0.375,0.025,15
58,2026-04-11T06:00,2026-04-11T06:00,1,1,4.8,4.8,4.8,0.0,1.0,0.3515,19
59,2026-04-12T02:00,2026-04-12T02:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,10
60,2026-04-12T13:00,2026-04-12T18:00,6,6,2.85,6.4,17.1,0.891,0.165,0.04,12
61,2026-04-13T07:00,2026-04-13T07:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,22
62,2026-04-14T06:00,2026-04-14T07:00,2,2,0.3,0.3,0.6,0.0,0.334,0.0,3
63,2026-04-14T11:00,2026-04-14T14:00,4,3,1.4,3.6,5.6,1.099,0.772,0.1365,2
64,2026-04-14T17:00,2026-04-14T17:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,11
65,2026-04-15T05:00,2026-04-15T12:00,8,7,3.087,10.2,24.7,1.044,0.741,0.3589,2
66,2026-04-15T15:00,2026-04-15T17:00,3,3,3.467,7.4,10.4,0.983,0.893,0.15,7
67,2026-04-16T01:00,2026-04-16T16:00,16,13,1.569,8.2,25.1,1.579,0.6,0.19,7
68,2026-04-17T00:00,2026-04-17T00:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,10
69,2026-04-17T11:00,2026-04-17T17:00,7,5,1.243,4.0,8.7,1.29,0.629,0.0893,7
70,2026-04-18T01:00,2026-04-18T01:00,1,1,0.9,0.9,0.9,0.0,0.667,0.0,76
71,2026-04-21T06:00,2026-04-21T06:00,1,1,2.1,2.1,2.1,0.0,0.857,0.0,21
72,2026-04-22T04:00,2026-04-22T14:00,11,10,1.673,3.8,18.4,0.652,0.477,0.119,7
73,2026-04-22T22:00,2026-04-22T23:00,2,2,0.35,0.4,0.7,0.202,1.0,0.0,6
74,2026-04-23T06:00,2026-04-23T12:00,7,6,0.571,1.1,4.0,0.612,0.669,0.0001,122
75,2026-04-28T15:00,2026-04-28T18:00,4,4,0.975,1.6,3.9,0.498,0.344,0.0005,7
76,2026-04-29T02:00,2026-04-29T11:00,10,10,1.99,6.0,19.9,1.066,0.277,0.05,8
77,2026-04-29T20:00,2026-04-29T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,74
78,2026-05-02T23:00,2026-05-03T04:00,6,6,2.2,4.2,13.2,0.585,0.079,0.06,15
79,2026-05-03T20:00,2026-05-03T21:00,2,2,0.7,0.8,1.4,0.202,0.0,0.0,32
80,2026-05-05T06:00,2026-05-05T09:00,4,4,1.15,1.6,4.6,0.337,0.532,0.0,48
81,2026-05-07T10:00,2026-05-07T15:00,6,6,1.8,5.5,10.8,1.062,0.587,0.0884,2
82,2026-05-07T18:00,2026-05-07T20:00,3,3,0.8,1.1,2.4,0.545,0.211,0.0036,2
83,2026-05-07T23:00,2026-05-08T14:00,16,15,1.0,2.3,16.0,0.609,0.503,0.0975,14
84,2026-05-09T05:00,2026-05-09T07:00,3,2,0.833,1.9,2.5,1.134,0.596,0.0,27
85,2026-05-10T11:00,2026-05-10T13:00,3,3,0.6,0.9,1.8,0.441,0.296,0.0,55
86,2026-05-12T21:00,2026-05-12T21:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,3
87,2026-05-13T01:00,2026-05-13T12:00,12,12,3.6,6.2,43.2,0.457,0.473,0.06,2
88,2026-05-13T15:00,2026-05-14T02:00,12,12,1.192,2.5,14.3,0.591,0.121,0.0263,3
89,2026-05-14T06:00,2026-05-14T08:00,3,2,0.9,2.0,2.7,1.094,0.856,0.1525,3
90,2026-05-14T12:00,2026-05-14T13:00,2,2,1.25,2.1,2.5,0.962,0.285,0.0523,13
91,2026-05-15T03:00,2026-05-15T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,96
92,2026-05-19T04:00,2026-05-19T07:00,4,4,0.525,1.0,2.1,0.629,0.0,0.0,16
93,2026-05-20T00:00,2026-05-20T00:00,1,1,0.6,0.6,0.6,0.0,0.333,0.0,5
94,2026-05-20T06:00,2026-05-20T07:00,2,2,1.7,2.8,3.4,0.915,0.393,0.252,11
95,2026-05-20T19:00,2026-05-21T00:00,6,5,0.7,1.3,4.2,0.619,0.473,0.0105,4
96,2026-05-21T05:00,2026-05-21T13:00,9,9,3.122,8.6,28.1,0.923,0.509,0.33,5
97,2026-05-21T19:00,2026-05-22T08:00,14,14,1.086,6.6,15.2,1.481,0.322,0.67,2
98,2026-05-22T11:00,2026-05-22T12:00,2,2,2.35,3.9,4.7,0.933,0.193,0.5655,10
99,2026-05-22T23:00,2026-05-22T23:00,1,1,1.1,1.1,1.1,0.0,0.0,0.012,5
100,2026-05-23T05:00,2026-05-23T07:00,3,3,2.033,3.8,6.1,0.838,0.36,0.364,14
101,2026-05-23T22:00,2026-05-23T23:00,2,2,0.8,1.3,1.6,0.884,0.0,0.0473,7
102,2026-05-24T07:00,2026-05-24T08:00,2,2,0.75,0.8,1.5,0.094,0.723,0.0,69
103,2026-05-27T06:00,2026-05-27T07:00,2,2,2.95,5.6,5.9,1.27,0.666,1.0,19
104,2026-05-28T03:00,2026-05-28T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
105,2026-05-28T06:00,2026-05-28T07:00,2,2,1.45,1.9,2.9,0.439,0.842,0.225,7
106,2026-05-28T15:00,2026-05-28T15:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,6
107,2026-05-28T22:00,2026-05-29T06:00,9,8,0.478,0.9,4.3,0.499,0.648,0.0,2
108,2026-05-29T09:00,2026-05-29T17:00,9,9,1.756,3.1,15.8,0.543,0.477,0.1759,60
109,2026-06-01T06:00,2026-06-01T08:00,3,3,0.367,0.5,1.1,0.315,0.0,0.0,17
110,2026-06-02T02:00,2026-06-02T02:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,32
111,2026-06-03T11:00,2026-06-03T15:00,5,4,1.58,5.7,7.9,1.474,0.578,0.54,15
112,2026-06-04T07:00,2026-06-04T07:00,1,1,0.8,0.8,0.8,0.0,0.625,0.0,11
113,2026-06-04T19:00,2026-06-04T20:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,2
114,2026-06-04T23:00,2026-06-04T23:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,7
115,2026-06-05T07:00,2026-06-05T16:00,10,10,1.8,5.7,18.0,0.883,0.347,0.34,15
116,2026-06-06T08:00,2026-06-06T08:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,2
117,2026-06-06T11:00,2026-06-06T11:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,13
118,2026-06-07T01:00,2026-06-07T01:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,3
119,2026-06-07T05:00,2026-06-07T06:00,2,2,1.55,2.2,3.1,0.593,0.808,0.3,2
120,2026-06-07T09:00,2026-06-07T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
121,2026-06-07T12:00,2026-06-07T22:00,11,9,1.109,3.4,12.2,0.952,0.476,0.309,3
122,2026-06-08T02:00,2026-06-08T02:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,2
123,2026-06-08T05:00,2026-06-09T14:00,34,33,1.585,7.9,53.9,0.934,0.251,0.36,10
124,2026-06-10T01:00,2026-06-10T03:00,3,3,0.367,0.4,1.1,0.157,0.111,0.0,3
125,2026-06-10T07:00,2026-06-10T13:00,7,7,0.557,0.8,3.9,0.357,0.0,0.0,7
126,2026-06-10T21:00,2026-06-10T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,23
127,2026-06-11T21:00,2026-06-11T22:00,2,2,1.75,2.5,3.5,0.606,0.95,0.0,14
128,2026-06-12T13:00,2026-06-12T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,14
129,2026-06-13T04:00,2026-06-14T07:00,28,27,1.186,3.5,33.2,0.749,0.302,0.0819,5
130,2026-06-14T13:00,2026-06-14T13:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,10
131,2026-06-15T00:00,2026-06-15T00:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,5
132,2026-06-15T06:00,2026-06-15T06:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,2
133,2026-06-15T09:00,2026-06-15T13:00,5,4,0.56,1.4,2.8,0.924,0.071,0.038,17
134,2026-06-16T07:00,2026-06-16T11:00,5,5,1.6,3.4,8.0,0.745,0.197,0.255,13
135,2026-06-17T01:00,2026-06-17T12:00,12,12,1.9,13.1,22.8,1.876,0.513,0.495,4
136,2026-06-17T17:00,2026-06-17T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
137,2026-06-18T01:00,2026-06-18T01:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,3
138,2026-06-18T05:00,2026-06-18T12:00,8,8,2.75,5.0,22.0,0.572,0.584,1.0,16
139,2026-06-19T05:00,2026-06-19T05:00,1,1,2.6,2.6,2.6,0.0,0.769,0.358,26
140,2026-06-20T08:00,2026-06-20T08:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,94
141,2026-06-24T07:00,2026-06-24T13:00,7,6,0.557,1.3,3.9,0.732,0.419,0.075,8
