event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-25T19:00,2026-01-26T08:00,14,14,0.807,1.8,11.3,0.553,0.0,0.0004,81
1,2026-01-29T18:00,2026-01-29T21:00,4,4,0.6,0.8,2.4,0.408,0.0,0.0,2
2,2026-01-30T00:00,2026-01-30T08:00,9,9,0.544,0.8,4.9,0.32,0.016,0.0,2
3,2026-01-30T11:00,2026-01-30T19:00,9,9,0.411,0.6,3.7,0.226,0.0,0.0,146
4,2026-02-05T22:00,2026-02-05T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,9
5,2026-02-06T08:00,2026-02-06T12:00,5,5,0.38,0.5,1.9,0.22,0.0,0.0,76
6,2026-02-09T17:00,2026-02-09T18:00,2,2,0.5,0.5,1.0,0.0,0.0,0.0,143
7,2026-02-15T18:00,2026-02-15T22:00,5,5,1.22,1.7,6.1,0.447,0.13,0.0009,2
8,2026-02-16T01:00,2026-02-16T03:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,180
9,2026-02-23T16:00,2026-02-24T00:00,9,9,0.767,2.8,6.9,1.019,0.121,0.0067,45
10,2026-02-25T22:00,2026-02-26T16:00,19,19,0.884,1.7,16.8,0.495,0.018,0.0044,4
11,2026-02-26T21:00,2026-02-26T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,39
12,2026-02-28T13:00,2026-02-28T13:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,9
13,2026-02-28T23:00,2026-03-01T16:00,18,17,1.65,3.8,29.7,0.81,0.149,0.0081,327
14,2026-03-15T08:00,2026-03-15T09:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,3
15,2026-03-15T13:00,2026-03-15T20:00,8,7,0.3,0.4,2.4,0.178,0.0,0.0,6
16,2026-03-16T03:00,2026-03-16T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
17,2026-03-16T08:00,2026-03-16T20:00,13,13,0.608,1.1,7.9,0.371,0.265,0.0,3
18,2026-03-17T00:00,2026-03-17T01:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,6
19,2026-03-17T08:00,2026-03-17T15:00,8,8,0.85,1.3,6.8,0.471,0.098,0.0004,14
20,2026-03-18T06:00,2026-03-18T10:00,5,5,1.6,2.7,8.0,0.464,0.073,0.0022,139
21,2026-03-24T06:00,2026-03-24T11:00,6,6,1.017,1.8,6.1,0.611,0.095,0.0005,47
22,2026-03-26T11:00,2026-03-26T11:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,9
23,2026-03-26T21:00,2026-03-26T22:00,2,2,0.6,0.6,1.2,0.0,1.0,0.0,70
24,2026-03-29T21:00,2026-03-30T07:00,11,10,1.2,3.3,13.2,0.884,0.132,0.006,3
25,2026-03-30T11:00,2026-03-30T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,21
26,2026-03-31T09:00,2026-03-31T11:00,3,2,0.433,0.7,1.3,0.581,0.0,0.0,63
27,2026-04-03T03:00,2026-04-03T13:00,11,10,1.109,1.9,12.2,0.555,0.173,0.0034,136
