time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,13.2,1.85,4.7,92,1,32080.0,1,0.259
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,105.0,19.2,0.7,4.6,90,0,34200.0,1,0.258
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,435.0,21.8,0.8,4.0,266,0,40560.0,1,0.258
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,650.0,23.2,1.74,6.0,258,0,40640.0,1,0.257
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,985.0,24.2,2.01,6.7,266,0,40760.0,1,0.256
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1115.0,24.6,2.27,7.2,278,0,40860.0,1,0.255
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1270.0,24.7,2.2,7.3,282,0,40920.0,1,0.252
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1225.0,24.5,2.29,6.9,286,1,40940.0,1,0.252
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,685.0,23.4,2.39,6.7,299,0,40920.0,1,0.251
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,240.0,21.3,1.43,6.3,295,0,34380.0,1,0.251
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,18.0,1.15,3.1,252,0,32200.0,0,0.251
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,17.1,0.35,2.2,180,0,32180.0,0,0.251
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,16.6,0.36,1.5,146,3,32180.0,0,0.252
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,15.2,0.52,1.5,107,0,29840.0,0,0.251
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,14.3,0.76,2.2,101,1,27080.0,0,0.251
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,12.9,0.72,2.3,102,5,27080.0,0,0.251
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,12.1,0.86,2.6,97,7,7340.0,0,0.251
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,11.4,1.41,3.3,96,5,17120.0,0,0.251
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,10.8,1.35,3.9,75,5,21020.0,0,0.252
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,11.3,1.9,4.0,87,7,23320.0,0,0.252
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,11.7,1.85,4.0,88,5,23320.0,0,0.252
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,11.7,2.21,4.6,85,6,23320.0,0,0.252
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,11.6,1.8,4.7,77,18,27120.0,0,0.252
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,11.6,1.66,3.9,69,12,27100.0,1,0.251
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,14.9,1.38,4.0,44,16,29860.0,1,0.256
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,185.0,19.3,1.12,4.0,21,9,32180.0,1,0.256
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,365.0,21.8,1.84,5.8,331,22,34340.0,1,0.256
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,610.0,23.0,2.26,7.0,335,80,34380.0,1,0.255
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,770.0,23.6,2.26,7.1,354,30,34440.0,1,0.254
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,940.0,24.9,2.56,7.3,354,38,41080.0,1,0.253
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,1030.0,25.1,2.49,7.8,330,94,41380.0,1,0.264
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,940.0,24.2,2.55,6.8,312,100,41200.0,1,0.263
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,480.0,22.4,1.91,6.7,315,100,34580.0,1,0.262
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,415.0,21.2,1.55,4.5,327,80,34560.0,1,0.262
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,,140.0,19.7,0.92,3.3,338,23,32380.0,0,0.262
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,,15.0,18.4,0.18,1.9,56,16,32380.0,0,0.262
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,,20.0,18.4,0.46,0.6,41,50,32360.0,0,0.245
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,15.0,16.9,0.45,1.3,90,89,32360.0,0,0.245
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,25.0,16.6,1.56,3.1,97,100,30020.0,0,0.245
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,,15.0,17.2,0.5,3.9,90,66,30020.0,0,0.245
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,20.0,16.5,0.95,2.3,87,100,30040.0,0,0.245
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,20.0,16.2,1.42,3.3,108,81,27240.0,0,0.244
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,,20.0,15.4,1.51,3.4,98,39,27240.0,0,0.24
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,2,20.0,,20.0,14.5,1.66,3.8,85,78,16040.0,0,0.24
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,,20.0,13.9,1.43,3.6,65,98,23420.0,0,0.24
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,15.0,14.3,1.25,3.2,74,100,27280.0,0,0.24
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,15.0,15.8,0.91,3.0,84,100,27260.0,0,0.24
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,15.3,0.55,2.0,90,100,27240.0,1,0.24
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,35.0,17.4,0.9,2.3,34,100,30020.0,1,0.236
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,,90.0,19.1,0.51,2.3,79,100,32400.0,1,0.236
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,30.0,0.0,190.0,20.3,0.75,2.6,356,46,32400.0,1,0.236
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,530.0,23.0,1.88,6.3,331,94,34620.0,1,0.236
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,675.0,23.4,2.06,6.5,337,100,34680.0,1,0.236
