event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-13T11:00,2025-10-13T12:00,2,2,0.4,0.4,0.8,0.0,0.625,0.0,12
1,2025-10-14T01:00,2025-10-14T01:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,29
2,2025-10-15T07:00,2025-10-15T07:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,10
3,2025-10-15T18:00,2025-10-15T18:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,7
4,2025-10-16T02:00,2025-10-16T02:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,3
5,2025-10-16T06:00,2025-10-16T09:00,4,4,0.6,0.9,2.4,0.408,0.497,0.0,18
6,2025-10-17T04:00,2025-10-17T04:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,4
7,2025-10-17T09:00,2025-10-17T09:00,1,1,0.9,0.9,0.9,0.0,0.0,0.0,15
8,2025-10-18T01:00,2025-10-18T03:00,3,3,3.033,6.2,9.1,0.908,0.475,0.25,9
9,2025-10-18T13:00,2025-10-18T15:00,3,2,0.467,1.0,1.4,1.013,0.9,0.0,29
10,2025-10-19T21:00,2025-10-20T03:00,7,7,0.643,0.8,4.5,0.235,0.309,0.0,24
11,2025-10-21T04:00,2025-10-21T06:00,3,3,0.333,0.4,1.0,0.173,0.083,0.0,213
12,2025-10-30T04:00,2025-10-30T17:00,14,14,1.657,3.3,23.2,0.441,0.064,0.0112,108
13,2025-11-04T06:00,2025-11-04T09:00,4,4,0.425,0.5,1.7,0.118,0.0,0.0,6
14,2025-11-04T16:00,2025-11-04T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
15,2025-11-04T19:00,2025-11-05T00:00,6,5,0.583,1.1,3.5,0.568,0.0,0.0,2
16,2025-11-05T03:00,2025-11-05T04:00,2,2,0.55,0.6,1.1,0.129,0.716,0.0,23
17,2025-11-06T04:00,2025-11-06T11:00,8,6,0.762,3.0,6.1,1.224,0.428,0.0175,9
18,2025-11-06T21:00,2025-11-07T01:00,5,4,0.36,0.6,1.8,0.639,0.0,0.0,29
19,2025-11-08T07:00,2025-11-08T11:00,5,4,0.54,0.9,2.7,0.565,0.0,0.0,2
20,2025-11-08T14:00,2025-11-08T17:00,4,4,1.05,1.5,4.2,0.422,0.0,0.0004,2
21,2025-11-08T20:00,2025-11-08T20:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,14
22,2025-11-09T11:00,2025-11-09T15:00,5,5,0.44,0.6,2.2,0.259,0.3,0.0,2
23,2025-11-09T18:00,2025-11-09T19:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,26
24,2025-11-10T22:00,2025-11-10T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
25,2025-11-11T01:00,2025-11-11T02:00,2,2,0.65,0.8,1.3,0.326,0.0,0.0,16
26,2025-11-11T19:00,2025-11-11T20:00,2,2,0.35,0.4,0.7,0.202,0.834,0.0,2
27,2025-11-11T23:00,2025-11-12T20:00,22,20,1.045,2.8,23.0,0.627,0.053,0.0022,101
28,2025-11-17T02:00,2025-11-17T05:00,4,4,0.525,0.7,2.1,0.325,0.2,0.0,621
29,2025-12-13T03:00,2025-12-13T03:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,268
30,2025-12-24T08:00,2025-12-24T09:00,2,2,0.7,0.9,1.4,0.404,0.0,0.0,3
31,2025-12-24T13:00,2025-12-24T21:00,9,9,0.711,1.1,6.4,0.382,0.0,0.0003,169
32,2025-12-31T23:00,2026-01-01T02:00,4,4,0.575,0.7,2.3,0.167,0.0,0.0,85
33,2026-01-04T16:00,2026-01-04T19:00,4,4,0.775,1.0,3.1,0.266,0.275,0.0,520
34,2026-01-26T12:00,2026-01-26T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,83
35,2026-01-30T00:00,2026-01-30T09:00,10,10,0.62,1.1,6.2,0.408,0.0,0.0001,3
36,2026-01-30T13:00,2026-01-30T23:00,11,11,0.809,1.2,8.9,0.381,0.0,0.0001,8
37,2026-01-31T08:00,2026-01-31T08:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,109
38,2026-02-04T22:00,2026-02-04T22:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,7
39,2026-02-05T06:00,2026-02-05T06:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,13
40,2026-02-05T20:00,2026-02-05T20:00,1,1,0.9,0.9,0.9,0.0,0.0,0.0,4
41,2026-02-06T01:00,2026-02-06T03:00,3,2,0.267,0.4,0.8,0.573,0.167,0.0,5
42,2026-02-06T09:00,2026-02-06T15:00,7,7,1.271,2.1,8.9,0.497,0.0,0.0002,72
43,2026-02-09T16:00,2026-02-09T18:00,3,3,1.7,3.3,5.1,0.824,0.587,0.0,97
44,2026-02-13T20:00,2026-02-13T20:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,47
45,2026-02-15T20:00,2026-02-16T16:00,21,19,0.9,3.5,18.9,0.964,0.026,0.004,67
46,2026-02-19T12:00,2026-02-19T12:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,98
47,2026-02-23T15:00,2026-02-23T18:00,4,4,2.775,3.9,11.1,0.595,0.61,0.029,2
48,2026-02-23T21:00,2026-02-23T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
49,2026-02-24T01:00,2026-02-24T01:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,3
50,2026-02-24T05:00,2026-02-24T06:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,48
51,2026-02-26T07:00,2026-02-26T20:00,14,14,1.307,2.9,18.3,0.603,0.0,0.0052,47
52,2026-02-28T20:00,2026-02-28T22:00,3,2,0.267,0.3,0.8,0.217,0.0,0.0,2
53,2026-03-01T01:00,2026-03-01T16:00,16,15,0.887,2.6,14.2,0.885,0.148,0.0017,75
54,2026-03-04T20:00,2026-03-04T21:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,3
55,2026-03-05T01:00,2026-03-05T14:00,14,11,0.436,1.0,6.1,0.601,0.0,0.0,4
56,2026-03-05T19:00,2026-03-05T19:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,260
57,2026-03-16T16:00,2026-03-17T03:00,12,10,0.467,1.0,5.6,0.535,0.0,0.0,11
58,2026-03-17T15:00,2026-03-17T15:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,18
59,2026-03-18T10:00,2026-03-18T16:00,7,7,1.114,1.6,7.8,0.419,0.019,0.0008,43
60,2026-03-20T12:00,2026-03-20T15:00,4,4,2.075,4.3,8.3,0.786,0.064,0.0041,46
61,2026-03-22T14:00,2026-03-22T19:00,6,5,0.767,1.7,4.6,0.902,0.284,0.0017,11
