time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2026-01-14T00:00,0.0,0.0,0.0,0.01,-7.0,3.78,6.9,172,100,21700.0,1,0.138,0.0,405.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T01:00,0.0,0.0,0.0,0.01,-5.0,4.45,9.0,181,100,20220.0,1,0.138,0.0,535.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T02:00,0.0,0.0,0.0,0.01,-3.0,4.57,9.6,186,100,18060.0,1,0.138,0.0,630.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T03:00,0.0,0.0,0.0,0.01,-1.2,4.38,11.7,187,100,11800.0,1,0.138,0.0,725.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T04:00,0.0,0.0,0.0,0.01,-0.6,3.05,9.9,178,100,11360.0,1,0.138,0.0,730.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T05:00,0.0,0.0,0.0,0.01,0.3,5.24,10.7,187,100,2160.0,1,0.138,0.0,745.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T06:00,0.0,0.0,0.0,0.01,0.4,4.52,11.1,186,100,14200.0,1,0.138,0.0,705.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T07:00,0.0,0.0,0.0,0.01,1.1,4.46,10.2,184,100,13900.0,1,0.138,0.0,680.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T08:00,0.0,0.0,0.0,0.01,0.8,4.35,9.4,183,100,9440.0,1,0.138,0.0,620.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T09:00,0.0,0.0,0.0,0.01,0.7,4.55,9.3,181,100,18100.0,0,0.138,0.0,575.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T10:00,0.0,0.0,0.0,0.01,0.7,4.16,9.7,183,100,16560.0,0,0.138,0.0,565.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T11:00,0.0,0.0,0.0,0.01,0.2,3.43,8.5,188,100,17040.0,0,0.138,0.0,455.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T12:00,0.0,0.0,0.0,0.01,-0.3,3.41,7.0,176,100,16140.0,0,0.138,0.0,440.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T13:00,0.0,1.0,0.07,0.01,-0.4,3.8,7.7,178,100,13060.0,0,0.138,0.0,425.0,1,0.0,85,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T14:00,0.0,0.0,0.07,0.01,-0.2,4.25,8.7,182,100,8200.0,0,0.138,0.0,450.0,1,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T15:00,0.0,0.0,0.07,0.01,-0.2,3.87,8.9,197,100,11240.0,0,0.138,0.0,465.0,1,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T16:00,0.0,0.0,0.0,0.01,-0.4,3.29,7.9,200,100,10020.0,0,0.138,0.0,390.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T17:00,0.0,0.0,0.0,0.01,-0.5,3.24,6.7,193,100,9360.0,0,0.138,0.0,315.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T18:00,0.0,0.0,0.0,0.01,-1.2,3.06,6.4,208,100,10500.0,0,0.138,10.0,295.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T19:00,0.0,0.0,0.0,0.01,-1.1,2.37,6.1,222,100,10540.0,0,0.138,0.0,260.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T20:00,0.0,0.0,0.0,0.01,-1.3,1.81,4.5,276,100,10200.0,0,0.138,0.0,155.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T21:00,0.0,0.0,0.0,0.01,-1.5,2.05,3.9,315,77,10540.0,0,0.138,0.0,270.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T22:00,0.0,0.0,0.0,0.01,-2.6,4.43,9.1,349,34,15060.0,0,0.138,0.0,400.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T23:00,0.0,0.0,0.0,0.01,-4.8,4.73,10.2,354,9,18900.0,0,0.138,0.0,400.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T00:00,0.0,0.0,0.0,0.0,-6.1,4.3,10.1,360,42,18700.0,1,0.138,0.0,440.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T01:00,0.0,0.0,0.0,0.0,-5.8,4.55,10.2,3,16,21260.0,1,0.138,0.0,500.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T02:00,0.0,0.0,0.0,0.0,-5.1,4.31,10.6,9,1,22900.0,1,0.138,0.0,520.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T03:00,0.0,0.0,0.0,0.0,-4.2,4.09,10.4,8,20,24180.0,1,0.138,0.0,575.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T04:00,0.0,0.0,0.0,0.0,-3.5,3.86,10.1,4,27,25220.0,1,0.138,0.0,655.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T05:00,0.0,0.0,0.0,0.0,-2.9,3.97,9.9,6,5,25220.0,1,0.138,0.0,740.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T06:00,0.0,0.0,0.0,0.0,-3.5,4.24,10.0,12,14,25220.0,1,0.138,0.0,730.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T07:00,0.0,0.0,0.0,0.0,-4.1,4.63,10.9,20,0,25220.0,1,0.138,0.0,715.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T08:00,0.0,0.0,0.0,0.0,-5.1,4.77,11.0,24,0,25220.0,1,0.138,0.0,680.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T09:00,0.0,0.0,0.0,0.0,-6.3,4.12,10.7,29,71,24160.0,0,0.138,0.0,635.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T10:00,0.0,0.0,0.0,0.0,-7.4,4.65,9.8,39,54,24160.0,0,0.138,0.0,565.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T11:00,0.0,0.0,0.0,0.0,-8.4,4.39,9.9,41,52,24160.0,0,0.138,0.0,535.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T12:00,0.0,0.0,0.0,0.0,-9.4,4.33,9.3,36,74,24140.0,0,0.138,0.0,515.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T13:00,0.0,0.0,0.0,0.0,-10.2,4.24,9.6,34,59,24140.0,0,0.138,0.0,500.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T14:00,0.0,0.0,0.0,0.0,-10.8,3.97,9.3,31,61,24140.0,0,0.138,0.0,480.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T15:00,0.0,0.0,0.0,0.0,-11.3,3.42,8.4,25,77,24140.0,0,0.138,0.0,460.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T16:00,0.0,0.0,0.0,0.0,-11.8,3.72,8.0,22,96,24140.0,0,0.138,0.0,420.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T17:00,0.0,0.0,0.0,0.0,-12.1,3.65,8.4,19,100,24140.0,0,0.138,0.0,405.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T18:00,0.0,0.0,0.0,0.0,-11.9,3.79,8.5,23,99,24140.0,0,0.138,0.0,390.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T19:00,0.0,0.0,0.0,0.0,-11.9,3.83,8.6,24,98,24100.0,0,0.138,0.0,400.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T20:00,0.0,0.0,0.0,0.0,-11.8,3.97,8.9,19,100,23140.0,0,0.138,0.0,420.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T21:00,0.0,0.0,0.0,0.0,-11.9,4.12,9.2,14,100,19580.0,0,0.138,0.0,425.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T22:00,0.0,0.0,0.0,0.0,-12.1,4.09,9.3,15,100,14660.0,0,0.138,0.0,430.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T23:00,0.0,0.0,0.0,0.0,-12.2,4.13,9.2,17,100,11880.0,0,0.138,0.0,440.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T00:00,0.0,0.0,0.0,0.0,-12.3,4.03,9.4,11,100,12700.0,1,0.138,0.0,440.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T01:00,0.0,0.0,0.0,0.0,-11.7,4.16,9.6,13,95,16720.0,1,0.138,0.0,475.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
