event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-21T16:00,2026-01-21T16:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,98
1,2026-01-25T19:00,2026-01-25T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,32
2,2026-01-27T04:00,2026-01-27T05:00,2,2,0.45,0.6,0.9,0.471,0.0,0.0,60
3,2026-01-29T18:00,2026-01-29T21:00,4,3,0.625,1.6,2.5,1.072,0.0,0.0,3
4,2026-01-30T01:00,2026-01-30T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
5,2026-01-30T05:00,2026-01-30T05:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,179
6,2026-02-06T17:00,2026-02-06T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,261
7,2026-02-17T15:00,2026-02-17T15:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,150
8,2026-02-23T22:00,2026-02-24T06:00,9,8,0.7,1.6,6.3,0.67,0.54,0.0083,52
9,2026-02-26T11:00,2026-02-26T18:00,8,7,2.587,10.2,20.7,1.296,0.471,0.02,2
10,2026-02-26T21:00,2026-02-26T21:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,12
11,2026-02-27T10:00,2026-02-27T12:00,3,3,1.233,2.0,3.7,0.65,0.386,0.0019,21
12,2026-02-28T10:00,2026-02-28T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
13,2026-02-28T13:00,2026-02-28T20:00,8,8,1.325,3.8,10.6,0.883,0.167,0.0,3
14,2026-03-01T00:00,2026-03-01T07:00,8,8,1.6,4.7,12.8,0.927,0.478,0.0093,18
15,2026-03-02T02:00,2026-03-02T04:00,3,3,0.567,0.9,1.7,0.539,0.2,0.0,5
16,2026-03-02T10:00,2026-03-02T10:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,4
17,2026-03-02T15:00,2026-03-02T18:00,4,4,0.775,1.4,3.1,0.627,0.0,0.0,2
18,2026-03-02T21:00,2026-03-03T00:00,4,4,0.9,1.7,3.6,0.791,0.416,0.0026,13
19,2026-03-03T14:00,2026-03-03T17:00,4,3,0.35,0.5,1.4,0.369,0.5,0.0,15
20,2026-03-04T09:00,2026-03-04T13:00,5,4,0.64,1.3,3.2,0.846,0.8,0.0003,8
21,2026-03-04T22:00,2026-03-05T00:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,94
22,2026-03-08T23:00,2026-03-08T23:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,19
23,2026-03-09T19:00,2026-03-09T20:00,2,2,0.7,0.9,1.4,0.404,0.0,0.0,213
24,2026-03-18T18:00,2026-03-18T21:00,4,4,1.6,3.3,6.4,0.727,0.577,0.0172,175
25,2026-03-26T05:00,2026-03-26T05:00,1,1,1.3,1.3,1.3,0.0,1.0,0.0,40
26,2026-03-27T22:00,2026-03-28T00:00,3,3,0.567,0.9,1.7,0.539,0.533,0.0,18
27,2026-03-28T19:00,2026-03-28T19:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,36
28,2026-03-30T08:00,2026-03-30T08:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,28
