event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-04-07T12:00,2026-04-07T15:00,4,3,0.375,0.6,1.5,0.591,0.708,0.0,3
1,2026-04-07T19:00,2026-04-07T22:00,4,4,0.925,1.3,3.7,0.47,0.972,0.0,5
2,2026-04-08T04:00,2026-04-08T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,482
3,2026-04-28T07:00,2026-04-28T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,53
4,2026-04-30T13:00,2026-04-30T23:00,11,11,1.2,2.9,13.2,0.644,0.005,0.0,111
5,2026-05-05T15:00,2026-05-05T22:00,8,8,0.662,1.5,5.3,0.655,0.008,0.0006,3
6,2026-05-06T02:00,2026-05-06T04:00,3,3,0.567,0.9,1.7,0.509,0.204,0.0,55
7,2026-05-08T12:00,2026-05-08T13:00,2,2,0.8,1.1,1.6,0.53,1.0,0.0,21
8,2026-05-09T11:00,2026-05-09T11:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,101
9,2026-05-13T17:00,2026-05-14T00:00,8,8,0.95,1.9,7.6,0.68,0.007,0.0045,5
10,2026-05-14T06:00,2026-05-14T06:00,1,1,0.9,0.9,0.9,0.0,0.778,0.0,4
11,2026-05-14T11:00,2026-05-14T11:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,22
12,2026-05-15T10:00,2026-05-15T11:00,2,2,1.3,2.2,2.6,0.979,0.853,0.003,174
13,2026-05-22T18:00,2026-05-22T19:00,2,2,0.45,0.5,0.9,0.157,0.525,0.0,24
14,2026-05-23T20:00,2026-05-24T00:00,5,5,1.1,1.5,5.5,0.308,0.41,0.0,32
15,2026-05-25T09:00,2026-05-25T09:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,3
16,2026-05-25T13:00,2026-05-25T14:00,2,2,0.35,0.4,0.7,0.202,1.0,0.0,28
17,2026-05-26T19:00,2026-05-27T08:00,14,14,0.843,1.5,11.8,0.428,0.006,0.0006,82
18,2026-05-30T19:00,2026-05-31T04:00,10,10,0.83,1.8,8.3,0.551,0.0,0.0001,50
19,2026-06-02T07:00,2026-06-02T07:00,1,1,0.9,0.9,0.9,0.0,0.444,0.0,209
20,2026-06-11T01:00,2026-06-11T04:00,4,4,0.425,0.6,1.7,0.353,0.0,0.0,8
21,2026-06-11T13:00,2026-06-11T15:00,3,3,0.533,0.9,1.6,0.603,0.0,0.0,57
22,2026-06-14T01:00,2026-06-14T03:00,3,3,0.467,0.6,1.4,0.247,0.0,0.0,65
23,2026-06-16T21:00,2026-06-16T22:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,2
24,2026-06-17T01:00,2026-06-17T05:00,5,5,0.74,1.1,3.7,0.339,0.0,0.0005,13
25,2026-06-17T19:00,2026-06-17T19:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,36
26,2026-06-19T08:00,2026-06-19T08:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,2
27,2026-06-19T11:00,2026-06-19T13:00,3,3,0.433,0.7,1.3,0.533,0.445,0.0,17
28,2026-06-20T07:00,2026-06-20T07:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
29,2026-06-20T10:00,2026-06-20T13:00,4,4,0.4,0.6,1.6,0.354,0.583,0.0,5
30,2026-06-20T19:00,2026-06-21T02:00,8,6,0.45,0.9,3.6,0.518,0.256,0.0,2
31,2026-06-21T05:00,2026-06-21T07:00,3,3,0.6,0.8,1.8,0.289,0.3,0.0,32
32,2026-06-22T16:00,2026-06-22T18:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,34
33,2026-06-24T05:00,2026-06-24T07:00,3,3,0.567,0.7,1.7,0.408,0.0,0.0,22
34,2026-06-25T06:00,2026-06-25T11:00,6,5,0.3,0.4,1.8,0.516,0.319,0.0,94
35,2026-06-29T10:00,2026-06-29T10:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,38
36,2026-07-01T01:00,2026-07-01T14:00,14,14,0.9,1.6,12.6,0.471,0.271,0.009,111
37,2026-07-06T06:00,2026-07-06T09:00,4,3,0.475,0.7,1.9,0.605,0.357,0.0,21
38,2026-07-07T07:00,2026-07-07T08:00,2,2,0.3,0.3,0.6,0.0,0.333,0.0,52
39,2026-07-09T13:00,2026-07-09T20:00,8,8,1.413,2.3,11.3,0.497,0.648,0.225,9
40,2026-07-10T06:00,2026-07-10T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
41,2026-07-10T11:00,2026-07-11T06:00,20,19,1.605,3.7,32.1,0.664,0.317,0.1238,50
42,2026-07-13T09:00,2026-07-13T16:00,8,8,1.938,3.9,15.5,0.693,0.793,0.0101,3
43,2026-07-13T20:00,2026-07-13T21:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,4
44,2026-07-14T02:00,2026-07-14T04:00,3,3,0.733,1.2,2.2,0.568,0.361,0.0017,23
45,2026-07-15T04:00,2026-07-15T08:00,5,5,1.14,1.7,5.7,0.491,0.085,0.0,4
46,2026-07-15T13:00,2026-07-15T18:00,6,6,0.933,2.1,5.6,0.7,0.103,0.0041,9
47,2026-07-16T04:00,2026-07-16T06:00,3,3,0.667,1.4,2.0,0.953,0.532,0.012,24
48,2026-07-17T07:00,2026-07-17T10:00,4,3,0.425,0.7,1.7,0.588,0.545,0.0,4
49,2026-07-17T15:00,2026-07-17T15:00,1,1,2.0,2.0,2.0,0.0,0.95,0.0288,66
50,2026-07-20T10:00,2026-07-20T10:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,116
51,2026-07-25T07:00,2026-07-25T08:00,2,2,0.3,0.3,0.6,0.0,0.167,0.0,122
52,2026-07-30T11:00,2026-07-30T12:00,2,2,1.1,1.7,2.2,0.771,0.388,0.0044,2
53,2026-07-30T15:00,2026-07-30T21:00,7,7,0.771,1.2,5.4,0.387,0.054,0.0002,9
54,2026-07-31T07:00,2026-07-31T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,11
55,2026-07-31T19:00,2026-08-01T07:00,13,13,1.115,2.5,14.5,0.592,0.287,0.0188,-1
