time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,-7.1,0.93,6.5,254,88,68520.0,0,0.281
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,15.0,-5.9,1.14,5.6,255,52,69500.0,1,0.281
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,65.0,0.2,1.56,6.8,276,70,71580.0,1,0.281
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,1520.0,4.9,2.97,9.9,324,41,72780.0,1,0.281
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,1790.0,6.2,3.02,10.7,326,31,72780.0,1,0.281
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,1930.0,7.3,2.65,10.4,328,73,72760.0,1,0.281
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1950.0,6.7,2.58,9.5,338,24,72760.0,1,0.281
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2350.0,8.0,2.37,9.1,342,31,72740.0,1,0.281
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2595.0,8.2,2.15,8.7,335,9,72740.0,1,0.281
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,2705.0,8.0,2.17,7.8,345,0,72720.0,1,0.281
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,190.0,6.4,1.2,7.6,355,0,72720.0,1,0.281
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,20.0,2.9,0.28,5.2,45,0,72700.0,0,0.281
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1.0,20.0,3.1,0.18,2.0,304,100,72700.0,0,0.281
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,15.0,2.6,0.27,2.2,292,100,72680.0,0,0.281
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,20.0,1.7,0.43,2.2,291,100,71980.0,0,0.281
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,20.0,0.4,0.66,2.6,279,92,71960.0,0,0.281
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,20.0,-0.4,0.8,2.7,270,34,71960.0,0,0.281
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,-2.2,0.8,2.9,266,11,71440.0,0,0.281
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,5.0,15.0,-3.1,0.45,2.9,243,26,71420.0,0,0.281
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,15.0,-4.4,0.6,2.7,246,35,71420.0,0,0.281
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,10.0,-5.4,0.59,2.7,250,55,70700.0,0,0.281
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,10.0,-5.5,0.6,3.0,246,52,69280.0,0,0.281
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,-5.8,0.54,3.3,236,13,69280.0,0,0.281
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,10.0,-6.4,0.54,3.5,248,26,68280.0,0,0.281
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,10.0,-7.8,0.49,3.6,246,22,67040.0,0,0.281
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,,10.0,-6.7,0.84,3.1,253,0,67020.0,1,0.281
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,125.0,-0.0,0.67,3.5,297,13,70640.0,1,0.281
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,,670.0,3.4,0.41,3.9,346,67,71340.0,1,0.281
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,1290.0,5.8,0.11,4.0,117,60,71340.0,1,0.281
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1755.0,7.7,0.7,4.7,201,0,71320.0,1,0.281
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,3265.0,8.4,0.78,5.5,285,13,71820.0,1,0.281
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,90.0,0.0,4070.0,9.7,1.95,6.4,267,100,71820.0,1,0.281
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,2.0,2950.0,8.7,3.06,8.9,281,98,69820.0,1,0.281
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,2.0,2695.0,8.0,3.16,10.5,299,76,71800.0,1,0.281
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,40.0,5.0,1070.0,6.8,2.07,9.7,262,95,37520.0,1,0.281
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,21.0,135.0,2.9,1.3,6.6,212,42,66080.0,0,0.281
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.01,2,70.0,19.0,30.0,2.3,0.72,5.4,236,78,71260.0,0,0.281
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.01,1,70.0,48.0,45.0,1.2,1.53,6.6,238,42,70540.0,0,0.281
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.01,3,50.0,52.0,40.0,0.0,1.39,6.1,240,100,70520.0,0,0.281
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.01,3,50.0,57.0,40.0,0.2,1.23,5.5,243,100,69100.0,0,0.281
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.01,2,50.0,58.0,40.0,-0.5,1.23,4.6,243,61,69080.0,0,0.281
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.01,0,50.0,53.0,35.0,-1.8,1.21,4.1,246,1,68080.0,0,0.281
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.01,0,20.0,53.0,30.0,-4.0,1.26,4.7,263,3,66820.0,0,0.281
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.01,1,40.0,6.0,25.0,-4.4,1.33,5.3,250,31,66820.0,0,0.281
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.01,3,30.0,27.0,20.0,-5.0,1.18,5.2,258,85,65400.0,0,0.281
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.01,1,20.0,21.0,15.0,-5.6,1.21,4.8,263,45,65380.0,0,0.281
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.01,1,20.0,66.0,15.0,-6.3,1.12,4.8,260,21,65360.0,0,0.281
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.01,0,40.0,47.0,20.0,-6.8,1.22,5.0,261,9,65360.0,0,0.281
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.01,0,50.0,66.0,15.0,-8.1,0.92,5.0,257,16,65340.0,0,0.281
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.01,1,50.0,69.0,15.0,-7.0,1.51,5.2,262,37,65340.0,1,0.281
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.01,2,40.0,74.0,135.0,-0.9,1.23,5.7,291,68,68980.0,1,0.281
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,77.0,565.0,2.6,1.16,5.8,335,7,70400.0,1,0.281
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,8.0,3415.0,5.3,1.92,7.9,332,5,71620.0,1,0.281
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,0.0,3900.0,6.9,3.34,11.1,321,35,72320.0,1,0.281
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,3985.0,6.9,3.65,12.0,319,48,72300.0,1,0.281
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4045.0,7.6,3.22,12.0,312,5,72300.0,1,0.281
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,4125.0,7.7,2.73,10.7,310,79,72280.0,1,0.28
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1.0,4155.0,7.1,2.52,9.1,321,89,72280.0,1,0.28
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,115.0,5.6,0.43,8.3,324,1,72260.0,1,0.28
2026-01-16T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,50.0,1.2,0.71,4.3,309,0,72260.0,0,0.28
2026-01-16T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,145.0,0.9,1.05,6.2,267,0,72240.0,0,0.28
2026-01-16T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,85.0,-0.1,1.26,7.1,263,0,72220.0,0,0.28
2026-01-16T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,40.0,-0.9,1.18,7.0,234,0,71500.0,0,0.28
2026-01-16T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,30.0,-2.1,1.27,6.0,228,0,71480.0,0,0.28
2026-01-16T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,15.0,-4.2,0.89,4.8,232,0,70960.0,0,0.28
2026-01-16T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,10.0,-5.9,0.81,3.9,227,0,70940.0,0,0.28
2026-01-16T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,10.0,-7.5,0.75,3.9,233,0,70200.0,0,0.28
2026-01-16T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,-8.1,0.49,3.8,246,0,70180.0,0,0.28
2026-01-16T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,-8.6,0.49,3.9,246,0,70180.0,0,0.28
2026-01-16T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,-9.1,0.34,4.0,243,0,68720.0,0,0.28
2026-01-16T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,-9.5,0.18,4.1,236,0,68720.0,0,0.28
2026-01-16T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,-9.7,0.27,4.0,248,0,68700.0,0,0.28
2026-01-17T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,-10.1,0.27,4.1,248,0,68680.0,0,0.28
2026-01-17T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,-9.0,0.41,4.3,256,0,68660.0,1,0.28
2026-01-17T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,85.0,-1.7,0.18,4.4,236,0,70800.0,1,0.28
2026-01-17T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,420.0,2.3,1.0,4.2,108,0,71300.0,1,0.28
2026-01-17T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,785.0,5.4,1.66,6.1,115,1,71280.0,1,0.28
2026-01-17T05:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1620.0,8.3,1.6,7.0,148,52,71980.0,1,0.28
2026-01-17T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4420.0,9.4,2.15,7.8,208,3,71980.0,1,0.28
2026-01-17T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,0.0,5055.0,11.1,5.15,15.0,268,0,71960.0,1,0.28
2026-01-17T08:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,4265.0,10.5,5.02,16.3,260,50,71940.0,1,0.28
2026-01-17T09:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,4185.0,9.4,4.19,16.1,262,51,71920.0,1,0.28
