event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-17T20:00,2026-01-17T21:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,882
1,2026-02-23T16:00,2026-02-23T21:00,6,6,0.717,0.9,4.3,0.298,0.0,0.0,109
2,2026-02-28T11:00,2026-02-28T11:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,6
3,2026-02-28T18:00,2026-02-28T18:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,8
4,2026-03-01T03:00,2026-03-02T03:00,25,25,0.652,1.0,16.3,0.36,0.009,0.0,69
5,2026-03-05T01:00,2026-03-05T01:00,1,1,0.8,0.8,0.8,0.0,0.375,0.0,233
6,2026-03-14T19:00,2026-03-14T21:00,3,3,0.4,0.4,1.2,0.0,0.0,0.0,66
7,2026-03-17T16:00,2026-03-17T18:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,334
8,2026-03-31T17:00,2026-03-31T19:00,3,3,2.567,6.0,7.7,1.163,0.614,0.0,26
9,2026-04-01T22:00,2026-04-01T22:00,1,1,2.5,2.5,2.5,0.0,1.0,0.0,159
10,2026-04-08T14:00,2026-04-08T14:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,4
11,2026-04-08T19:00,2026-04-08T23:00,5,5,0.96,2.5,4.8,0.976,0.343,0.0005,177
12,2026-04-16T09:00,2026-04-16T10:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,4
13,2026-04-16T15:00,2026-04-16T15:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,77
14,2026-04-19T21:00,2026-04-19T23:00,3,3,0.733,1.0,2.2,0.516,0.0,0.0,38
15,2026-04-21T14:00,2026-04-21T21:00,8,7,0.463,0.6,3.7,0.326,0.0,0.0,124
16,2026-04-27T02:00,2026-04-27T03:00,2,2,3.55,6.5,7.1,1.175,1.0,0.005,124
17,2026-05-02T08:00,2026-05-02T12:00,5,5,0.88,1.7,4.4,0.66,0.0,0.0,13
18,2026-05-03T02:00,2026-05-03T03:00,2,2,0.9,1.0,1.8,0.157,0.25,0.0,90
19,2026-05-06T22:00,2026-05-07T00:00,3,3,0.667,1.1,2.0,0.606,0.551,0.0,95
20,2026-05-11T00:00,2026-05-11T00:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,172
21,2026-05-18T05:00,2026-05-19T03:00,23,23,2.97,7.2,68.3,0.708,0.276,0.0193,16
22,2026-05-19T20:00,2026-05-20T01:00,6,5,0.4,0.8,2.4,0.548,0.289,0.0,2
23,2026-05-20T04:00,2026-05-20T04:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,2
24,2026-05-20T07:00,2026-05-20T07:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,53
25,2026-05-22T13:00,2026-05-22T14:00,2,2,2.25,3.6,4.5,0.849,0.375,0.0,63
26,2026-05-25T06:00,2026-05-25T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
27,2026-05-25T14:00,2026-05-25T21:00,8,8,1.45,2.3,11.6,0.549,0.005,0.0032,214
28,2026-06-03T20:00,2026-06-03T21:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,67
29,2026-06-06T17:00,2026-06-06T23:00,7,6,0.614,1.2,4.3,0.605,0.0,0.0,289
30,2026-06-19T01:00,2026-06-19T08:00,8,8,0.562,0.9,4.5,0.379,0.0,0.0,4
31,2026-06-19T13:00,2026-06-19T14:00,2,2,0.65,0.8,1.3,0.326,0.062,0.0,62
32,2026-06-22T05:00,2026-06-22T06:00,2,2,0.3,0.3,0.6,0.0,0.5,0.0,71
33,2026-06-25T06:00,2026-06-25T06:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,152
34,2026-07-01T15:00,2026-07-01T17:00,3,2,0.2,0.3,0.6,0.866,0.0,0.0,33
35,2026-07-03T03:00,2026-07-03T04:00,2,2,0.55,0.8,1.1,0.643,0.188,0.0,61
36,2026-07-05T18:00,2026-07-05T20:00,3,2,0.433,0.7,1.3,0.581,0.0,0.0,16
37,2026-07-06T13:00,2026-07-06T17:00,5,5,3.96,10.9,19.8,1.163,0.379,1.0,2
38,2026-07-06T20:00,2026-07-07T10:00,15,15,4.273,9.2,64.1,0.539,0.19,0.125,38
39,2026-07-09T01:00,2026-07-09T01:00,1,1,0.8,0.8,0.8,0.0,0.625,0.0,21
40,2026-07-09T23:00,2026-07-09T23:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,56
41,2026-07-12T08:00,2026-07-12T08:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,5
42,2026-07-12T14:00,2026-07-12T18:00,5,5,0.32,0.4,1.6,0.14,0.617,0.0,3
43,2026-07-12T22:00,2026-07-13T02:00,5,4,0.34,0.5,1.7,0.335,0.867,0.0,2
44,2026-07-13T05:00,2026-07-14T00:00,20,17,1.215,5.3,24.3,1.231,0.371,0.48,31
45,2026-07-15T08:00,2026-07-15T08:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,2
46,2026-07-15T11:00,2026-07-15T18:00,8,8,4.6,17.0,36.8,1.213,0.362,0.485,9
47,2026-07-16T04:00,2026-07-16T04:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,24
48,2026-07-17T05:00,2026-07-17T14:00,10,10,1.54,3.1,15.4,0.565,0.148,0.0236,146
49,2026-07-23T17:00,2026-07-23T17:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,4
50,2026-07-23T22:00,2026-07-23T22:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,38
51,2026-07-25T13:00,2026-07-25T14:00,2,2,1.05,1.8,2.1,1.01,0.111,0.115,16
52,2026-07-26T07:00,2026-07-26T07:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,6
53,2026-07-26T14:00,2026-07-26T14:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,10
54,2026-07-27T01:00,2026-07-27T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,-1
