event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-25T20:00,2026-02-25T22:00,3,3,1.033,1.3,3.1,0.244,0.0,0.0,472
1,2026-03-17T15:00,2026-03-17T19:00,5,5,0.86,1.4,4.3,0.416,0.217,0.0005,97
2,2026-03-21T21:00,2026-03-22T00:00,4,4,1.075,3.0,4.3,1.199,0.492,0.0,159
3,2026-03-28T16:00,2026-03-28T16:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,15
4,2026-03-29T08:00,2026-03-29T08:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,2
5,2026-03-29T11:00,2026-03-29T12:00,2,2,0.35,0.4,0.7,0.202,0.834,0.0,40
6,2026-03-31T05:00,2026-03-31T05:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,67
7,2026-04-03T01:00,2026-04-03T03:00,3,3,2.4,6.0,7.2,1.3,1.0,0.02,134
8,2026-04-08T18:00,2026-04-09T04:00,11,10,0.482,1.0,5.3,0.515,0.03,0.0,6
9,2026-04-09T11:00,2026-04-09T12:00,2,2,0.5,0.5,1.0,0.0,0.2,0.0,117
10,2026-04-14T10:00,2026-04-14T11:00,2,2,3.85,5.9,7.7,0.753,0.916,0.0,42
11,2026-04-16T06:00,2026-04-16T07:00,2,2,1.45,2.4,2.9,0.927,0.979,0.014,8
12,2026-04-16T16:00,2026-04-16T17:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,66
13,2026-04-19T12:00,2026-04-19T15:00,4,3,0.8,1.5,3.2,0.896,0.0,0.0,149
14,2026-04-25T21:00,2026-04-25T23:00,3,3,3.333,5.5,10.0,0.631,0.873,0.08,22
15,2026-04-26T22:00,2026-04-27T01:00,4,4,2.525,4.5,10.1,0.59,0.964,0.0,27
16,2026-04-28T05:00,2026-04-28T05:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,98
17,2026-05-02T08:00,2026-05-02T09:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,2
18,2026-05-02T12:00,2026-05-02T18:00,7,7,1.371,2.3,9.6,0.525,0.042,0.0,10
