time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,45.0,11.3,2.21,3.3,84,0,10380.0,1,0.123
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,95.0,14.4,1.75,4.1,87,0,13860.0,1,0.123
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,205.0,17.8,1.42,4.4,108,0,16340.0,1,0.123
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,505.0,20.6,1.77,5.5,137,0,18080.0,1,0.123
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,905.0,22.4,2.25,6.3,159,0,19560.0,1,0.122
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1190.0,23.4,3.27,8.1,173,0,20860.0,1,0.121
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1255.0,23.7,3.81,9.4,177,0,20860.0,1,0.12
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1180.0,23.7,4.16,9.7,176,0,23920.0,1,0.119
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1050.0,23.3,3.9,9.7,178,0,23940.0,1,0.118
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,670.0,22.2,3.44,8.7,172,8,23940.0,1,0.117
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,275.0,20.1,2.21,7.3,176,0,20900.0,1,0.117
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,110.0,18.1,2.11,4.0,175,1,19600.0,0,0.117
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,50.0,17.2,1.36,3.8,197,14,18120.0,0,0.11
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,45.0,16.9,1.25,2.3,217,28,18140.0,0,0.11
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,30.0,16.7,0.78,2.1,225,99,16400.0,0,0.11
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,35.0,17.0,0.92,1.2,119,100,16400.0,0,0.11
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,60.0,17.5,1.65,2.8,104,100,16420.0,0,0.11
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,3.0,110.0,17.4,2.26,3.9,121,86,16420.0,0,0.11
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,2.0,65.0,16.8,1.03,4.0,141,52,16420.0,0,0.106
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,41.0,30.0,16.8,0.55,1.3,175,15,11220.0,0,0.107
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,1,70.0,40.0,15.0,16.7,0.18,0.8,214,37,12560.0,0,0.107
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,70.0,43.0,10.0,16.0,0.05,0.3,360,87,13200.0,0,0.108
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,39.0,30.0,15.4,0.82,1.2,76,4,12360.0,0,0.108
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,38.0,45.0,14.9,1.6,3.1,51,0,6780.0,0,0.108
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,70.0,17.0,65.0,15.8,1.69,2.9,56,9,6920.0,1,0.107
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,1,60.0,25.0,115.0,17.9,1.08,3.3,68,25,12420.0,1,0.108
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,60.0,31.0,265.0,20.0,0.95,3.8,90,32,13960.0,1,0.108
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,80.0,10.0,590.0,22.0,0.54,3.8,158,3,16460.0,1,0.107
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,70.0,3.0,830.0,23.6,1.55,5.3,195,19,18220.0,1,0.107
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,8.0,875.0,24.1,2.37,6.7,198,59,18000.0,1,0.107
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,17.0,925.0,24.5,2.67,7.2,197,7,16360.0,1,0.11
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,930.0,24.9,2.82,7.3,197,15,19720.0,1,0.109
