event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-12T07:00,2025-10-12T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,22
1,2025-10-13T06:00,2025-10-13T08:00,3,3,2.633,6.4,7.9,1.24,0.736,0.915,21
2,2025-10-14T06:00,2025-10-14T08:00,3,3,2.1,5.6,6.3,1.444,0.911,0.895,139
3,2025-10-20T04:00,2025-10-20T09:00,6,5,0.467,0.9,2.8,0.536,0.398,0.0,3
4,2025-10-20T13:00,2025-10-20T13:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,44
5,2025-10-22T10:00,2025-10-22T10:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,8
6,2025-10-22T19:00,2025-10-22T19:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,23
7,2025-10-23T19:00,2025-10-23T20:00,2,2,1.2,1.3,2.4,0.118,0.678,0.0,3
8,2025-10-24T00:00,2025-10-24T00:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,90
9,2025-10-27T19:00,2025-10-27T20:00,2,2,0.7,0.9,1.4,0.404,1.0,0.0,47
10,2025-10-29T20:00,2025-10-29T21:00,2,2,0.95,1.0,1.9,0.074,0.895,0.0,120
11,2025-11-03T22:00,2025-11-04T01:00,4,4,0.85,1.2,3.4,0.456,0.639,0.0,3
12,2025-11-04T05:00,2025-11-04T05:00,1,1,1.1,1.1,1.1,0.0,1.0,0.0,4
13,2025-11-04T10:00,2025-11-04T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,153
14,2025-11-10T20:00,2025-11-10T20:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,7
15,2025-11-11T04:00,2025-11-11T05:00,2,2,0.95,1.1,1.9,0.223,1.0,0.0,10
16,2025-11-11T16:00,2025-11-12T05:00,14,12,1.05,4.2,14.7,1.184,0.143,0.008,133
17,2025-11-17T19:00,2025-11-17T21:00,3,3,0.433,0.6,1.3,0.353,0.0,0.0,11
18,2025-11-18T09:00,2025-11-18T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
19,2025-11-18T12:00,2025-11-18T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,338
20,2025-12-02T15:00,2025-12-02T19:00,5,4,0.3,0.5,1.5,0.471,0.0,0.0,221
21,2025-12-12T01:00,2025-12-12T01:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,12
22,2025-12-12T14:00,2025-12-12T22:00,9,8,1.067,4.0,9.6,1.145,0.211,0.0037,143
23,2025-12-18T22:00,2025-12-18T23:00,2,2,0.75,1.1,1.5,0.66,1.0,0.0,2
24,2025-12-19T02:00,2025-12-19T04:00,3,2,0.4,0.9,1.2,1.146,0.333,0.0,4
25,2025-12-19T09:00,2025-12-19T10:00,2,2,1.55,2.4,3.1,0.776,0.979,0.0,130
26,2025-12-24T21:00,2025-12-25T04:00,8,8,0.963,2.5,7.7,0.732,0.084,0.0019,788
27,2026-01-27T01:00,2026-01-27T02:00,2,2,0.4,0.5,0.8,0.354,0.9,0.0,61
28,2026-01-29T16:00,2026-01-30T02:00,11,8,0.382,0.6,4.2,0.48,0.182,0.0,23
29,2026-01-31T02:00,2026-01-31T05:00,4,4,0.675,1.2,2.7,0.532,0.021,0.0,21
30,2026-02-01T03:00,2026-02-01T08:00,6,4,0.233,0.4,1.4,0.645,0.0,0.0,544
