time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,-4.4,0.25,1.2,323,0,42560.0,0,0.131
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,-4.7,0.22,1.1,333,0,42560.0,1,0.131
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,-2.6,0.7,1.1,339,0,42540.0,1,0.131
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,155.0,0.4,0.81,3.3,30,0,42540.0,1,0.131
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,340.0,3.2,0.83,3.9,65,0,43420.0,1,0.131
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,555.0,5.4,0.92,4.3,103,0,43420.0,1,0.131
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1445.0,6.9,1.0,4.4,252,0,43400.0,1,0.131
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,2390.0,8.4,2.43,6.3,278,0,43400.0,1,0.131
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,4155.0,9.4,3.68,8.2,307,69,43380.0,1,0.131
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,4435.0,9.7,4.57,9.1,318,86,43380.0,1,0.131
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1245.0,7.8,4.81,11.2,312,0,43360.0,1,0.131
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,460.0,2.6,1.97,9.5,306,1,43360.0,1,0.131
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.0,40.0,1.6,0.7,4.7,266,0,43340.0,0,0.131
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,0.3,0.54,2.3,236,0,43340.0,0,0.131
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,145.0,-1.0,1.34,3.6,225,0,43320.0,0,0.131
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,45.0,-1.3,0.64,4.1,231,0,42420.0,0,0.131
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,-2.0,0.11,2.5,333,0,42420.0,0,0.131
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,-2.7,0.18,1.6,34,0,42400.0,0,0.131
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,-3.3,0.25,1.4,11,0,42400.0,0,0.131
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,-3.9,0.41,1.3,14,0,42380.0,0,0.131
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,-4.1,0.32,1.3,18,0,42380.0,0,0.131
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,-4.4,0.21,1.2,14,0,42360.0,0,0.131
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,-4.8,0.15,1.1,360,0,41720.0,0,0.131
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,-5.1,0.16,1.0,18,0,41720.0,0,0.131
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,-5.6,0.07,1.0,225,0,41700.0,0,0.131
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,-5.8,0.16,1.1,288,0,41700.0,1,0.131
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,50.0,-3.8,0.2,1.1,270,0,41680.0,1,0.131
