event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-13T05:00,2025-10-13T07:00,3,2,0.867,2.2,2.6,1.337,0.879,0.1185,47
1,2025-10-15T07:00,2025-10-15T07:00,1,1,3.4,3.4,3.4,0.0,0.912,0.333,4
2,2025-10-15T12:00,2025-10-15T16:00,5,4,1.22,1.9,6.1,0.689,0.709,0.1462,6
3,2025-10-15T23:00,2025-10-15T23:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,5
4,2025-10-16T05:00,2025-10-16T06:00,2,2,0.35,0.4,0.7,0.202,0.25,0.0,24
5,2025-10-17T07:00,2025-10-17T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,10
6,2025-10-17T18:00,2025-10-17T22:00,5,5,2.84,5.2,14.2,0.634,0.749,0.35,38
7,2025-10-19T13:00,2025-10-19T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,151
8,2025-10-25T21:00,2025-10-25T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,101
9,2025-10-30T03:00,2025-10-30T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
10,2025-10-30T07:00,2025-10-30T08:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,3
11,2025-10-30T12:00,2025-10-30T16:00,5,4,0.28,0.4,1.4,0.391,0.0,0.0,130
12,2025-11-05T03:00,2025-11-05T04:00,2,2,0.35,0.4,0.7,0.202,0.709,0.0,27
13,2025-11-06T08:00,2025-11-06T09:00,2,2,0.5,0.5,1.0,0.0,0.0,0.0,3
14,2025-11-06T13:00,2025-11-06T16:00,4,3,0.3,0.4,1.2,0.272,0.0,0.0,2
15,2025-11-06T19:00,2025-11-06T19:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,10
16,2025-11-07T06:00,2025-11-07T07:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,8
17,2025-11-07T16:00,2025-11-07T16:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,6
18,2025-11-07T23:00,2025-11-08T00:00,2,2,0.75,0.9,1.5,0.283,0.0,0.0,12
19,2025-11-08T13:00,2025-11-08T13:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,53
