event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-22T13:00,2026-02-22T13:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
1,2026-02-22T16:00,2026-02-22T16:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,14
2,2026-02-23T07:00,2026-02-23T08:00,2,2,0.6,0.7,1.2,0.236,0.017,0.0,49
3,2026-02-25T10:00,2026-02-25T16:00,7,7,1.043,1.5,7.3,0.391,0.265,0.0,56
4,2026-02-28T01:00,2026-02-28T01:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,6
5,2026-02-28T08:00,2026-02-28T09:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,3
6,2026-02-28T13:00,2026-02-28T18:00,6,4,0.3,0.4,1.8,0.298,0.0,0.0,3
7,2026-02-28T22:00,2026-02-28T23:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,2
8,2026-03-01T02:00,2026-03-01T06:00,5,5,0.34,0.4,1.7,0.161,0.0,0.0,115
9,2026-03-06T02:00,2026-03-06T05:00,4,4,1.725,2.9,6.9,0.625,0.323,0.0013,163
10,2026-03-13T01:00,2026-03-13T01:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,7
11,2026-03-13T09:00,2026-03-13T10:00,2,2,0.6,0.6,1.2,0.0,1.0,0.0,11
12,2026-03-13T22:00,2026-03-14T04:00,7,6,0.343,0.6,2.4,0.371,0.0,0.0,63
13,2026-03-16T20:00,2026-03-17T05:00,10,9,0.39,0.5,3.9,0.255,0.0,0.0,47
14,2026-03-19T05:00,2026-03-19T05:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,99
15,2026-03-23T09:00,2026-03-23T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
16,2026-03-23T13:00,2026-03-23T15:00,3,3,0.5,0.6,1.5,0.2,0.0,0.0,2
17,2026-03-23T18:00,2026-03-23T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,138
18,2026-03-29T13:00,2026-03-30T01:00,13,13,1.185,2.3,15.4,0.53,0.057,0.0045,75
19,2026-04-02T05:00,2026-04-02T05:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,2
20,2026-04-02T08:00,2026-04-02T09:00,2,2,0.35,0.4,0.7,0.202,0.834,0.0,134
21,2026-04-08T00:00,2026-04-08T00:00,1,1,0.7,0.7,0.7,0.0,0.714,0.0,6
22,2026-04-08T07:00,2026-04-08T07:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,79
23,2026-04-11T15:00,2026-04-11T15:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
24,2026-04-11T19:00,2026-04-11T20:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,61
25,2026-04-14T10:00,2026-04-14T10:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,20
26,2026-04-15T07:00,2026-04-15T07:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,9
27,2026-04-15T17:00,2026-04-15T17:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,95
28,2026-04-19T17:00,2026-04-19T23:00,7,6,0.5,1.0,3.5,0.589,0.19,0.0,8
29,2026-04-20T08:00,2026-04-20T09:00,2,2,0.45,0.5,0.9,0.157,0.875,0.0,3
30,2026-04-20T13:00,2026-04-20T14:00,2,2,0.7,1.1,1.4,0.808,0.955,0.0,2
31,2026-04-20T17:00,2026-04-20T18:00,2,2,0.45,0.5,0.9,0.157,0.2,0.0,4
32,2026-04-20T23:00,2026-04-21T09:00,11,11,1.118,2.8,12.3,0.717,0.065,0.0067,232
33,2026-05-01T02:00,2026-05-01T12:00,11,9,0.445,0.8,4.9,0.475,0.034,0.0,2
34,2026-05-01T15:00,2026-05-01T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
35,2026-05-01T23:00,2026-05-02T02:00,4,4,0.725,0.9,2.9,0.326,0.091,0.0,247
36,2026-05-12T10:00,2026-05-12T11:00,2,2,0.65,0.8,1.3,0.326,0.9,0.0,3
37,2026-05-12T15:00,2026-05-12T15:00,1,1,0.7,0.7,0.7,0.0,0.714,0.0,11
38,2026-05-13T03:00,2026-05-13T15:00,13,12,1.008,2.3,13.1,0.702,0.365,0.0146,11
39,2026-05-14T03:00,2026-05-14T03:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,3
40,2026-05-14T07:00,2026-05-14T16:00,10,7,0.53,1.1,5.3,0.666,0.386,0.0088,8
41,2026-05-15T01:00,2026-05-15T01:00,1,1,1.0,1.0,1.0,0.0,0.8,0.0,19
42,2026-05-15T21:00,2026-05-15T23:00,3,3,1.0,1.3,3.0,0.265,0.518,0.0,3
43,2026-05-16T03:00,2026-05-16T07:00,5,5,0.62,0.9,3.1,0.368,0.5,0.0,11
44,2026-05-16T19:00,2026-05-16T20:00,2,2,0.4,0.4,0.8,0.0,0.625,0.0,7
45,2026-05-17T04:00,2026-05-17T13:00,10,10,3.01,7.7,30.1,0.919,0.409,0.08,36
46,2026-05-19T02:00,2026-05-19T02:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
47,2026-05-19T06:00,2026-05-19T07:00,2,2,0.45,0.5,0.9,0.157,0.225,0.0,4
48,2026-05-19T12:00,2026-05-19T13:00,2,2,0.3,0.3,0.6,0.0,0.666,0.0,54
49,2026-05-21T20:00,2026-05-21T22:00,3,3,0.7,1.2,2.1,0.655,0.222,0.0025,39
50,2026-05-23T14:00,2026-05-23T14:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,5
51,2026-05-23T20:00,2026-05-23T21:00,2,2,0.7,1.1,1.4,0.808,0.621,0.0021,7
52,2026-05-24T05:00,2026-05-24T06:00,2,2,0.35,0.4,0.7,0.202,0.416,0.0,8
53,2026-05-24T15:00,2026-05-25T01:00,11,9,1.373,5.4,15.1,1.324,0.143,0.085,52
54,2026-05-27T06:00,2026-05-27T07:00,2,2,0.55,0.6,1.1,0.129,0.35,0.0,226
55,2026-06-05T18:00,2026-06-05T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,9
56,2026-06-06T04:00,2026-06-06T09:00,6,6,0.567,1.2,3.4,0.648,0.476,0.0122,6
57,2026-06-06T16:00,2026-06-06T23:00,8,8,1.087,1.5,8.7,0.404,0.098,0.0031,114
58,2026-06-11T18:00,2026-06-11T19:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,2
59,2026-06-11T22:00,2026-06-11T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,128
60,2026-06-17T07:00,2026-06-17T14:00,8,8,1.075,1.7,8.6,0.46,0.099,0.0805,3
61,2026-06-17T18:00,2026-06-18T09:00,16,16,0.806,2.9,12.9,0.799,0.095,0.0047,45
62,2026-06-20T07:00,2026-06-20T07:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,2
63,2026-06-20T10:00,2026-06-20T11:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,12
64,2026-06-21T00:00,2026-06-21T20:00,21,18,1.129,2.2,23.7,0.589,0.107,0.0112,2
65,2026-06-21T23:00,2026-06-22T00:00,2,2,0.6,0.7,1.2,0.236,0.0,0.0,22
66,2026-06-22T23:00,2026-06-23T01:00,3,3,0.433,0.6,1.3,0.353,0.0,0.0,19
67,2026-06-23T21:00,2026-06-23T21:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,20
68,2026-06-24T18:00,2026-06-24T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,21
69,2026-06-25T16:00,2026-06-25T18:00,3,3,3.033,4.4,9.1,0.417,0.309,0.034,12
70,2026-06-26T07:00,2026-06-26T09:00,3,3,0.367,0.5,1.1,0.315,0.067,0.0,47
71,2026-06-28T09:00,2026-06-28T10:00,2,2,1.7,2.4,3.4,0.582,0.579,0.2135,22
72,2026-06-29T09:00,2026-06-29T15:00,7,6,1.814,4.7,12.7,0.906,0.473,0.3654,18
73,2026-06-30T10:00,2026-06-30T12:00,3,3,1.367,2.6,4.1,0.822,0.556,0.238,39
74,2026-07-02T04:00,2026-07-02T05:00,2,2,0.5,0.6,1.0,0.283,0.209,0.0,46
75,2026-07-04T04:00,2026-07-04T04:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,123
76,2026-07-09T08:00,2026-07-09T10:00,3,2,0.267,0.4,0.8,0.573,0.472,0.0,16
77,2026-07-10T03:00,2026-07-10T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,5
78,2026-07-10T09:00,2026-07-10T09:00,1,1,1.9,1.9,1.9,0.0,0.842,0.2239,9
79,2026-07-10T19:00,2026-07-10T19:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
80,2026-07-10T22:00,2026-07-10T23:00,2,2,0.3,0.3,0.6,0.0,0.666,0.0,7
81,2026-07-11T07:00,2026-07-11T15:00,9,8,0.722,2.3,6.5,0.883,0.425,0.2242,62
82,2026-07-14T06:00,2026-07-14T06:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,6
83,2026-07-14T13:00,2026-07-14T13:00,1,1,0.8,0.8,0.8,0.0,0.5,0.0,29
84,2026-07-15T19:00,2026-07-15T20:00,2,2,1.15,1.5,2.3,0.43,0.713,0.0619,4
85,2026-07-16T01:00,2026-07-16T01:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,5
86,2026-07-16T07:00,2026-07-16T18:00,12,12,1.517,4.0,18.2,0.669,0.566,0.2188,106
87,2026-07-21T05:00,2026-07-21T07:00,3,3,0.333,0.4,1.0,0.173,0.333,0.0,93
88,2026-07-25T05:00,2026-07-25T07:00,3,2,0.3,0.4,0.9,0.333,0.444,0.0,22
89,2026-07-26T06:00,2026-07-26T06:00,1,1,1.1,1.1,1.1,0.0,0.727,0.025,2
90,2026-07-26T09:00,2026-07-26T10:00,2,2,1.05,1.3,2.1,0.337,0.447,0.0488,3
91,2026-07-26T14:00,2026-07-26T17:00,4,4,1.025,2.3,4.1,0.863,0.54,0.2405,13
92,2026-07-27T07:00,2026-07-27T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,21
93,2026-07-28T05:00,2026-07-28T08:00,4,4,0.425,0.5,1.7,0.225,0.233,0.0,42
94,2026-07-30T03:00,2026-07-30T08:00,6,6,1.267,2.9,7.6,0.886,0.782,0.3562,4
95,2026-07-30T13:00,2026-07-30T15:00,3,3,0.8,1.1,2.4,0.545,0.545,0.0236,14
96,2026-07-31T06:00,2026-07-31T11:00,6,6,2.333,5.5,14.0,0.874,0.625,0.655,6
97,2026-07-31T18:00,2026-07-31T20:00,3,3,0.6,0.7,1.8,0.167,0.056,0.0,4
98,2026-08-01T01:00,2026-08-01T16:00,16,14,0.881,1.9,14.1,0.761,0.401,0.2149,3
99,2026-08-01T20:00,2026-08-02T05:00,10,9,0.95,1.9,9.5,0.672,0.252,0.0353,7
100,2026-08-02T13:00,2026-08-02T17:00,5,5,0.58,1.0,2.9,0.478,0.029,0.0,3
101,2026-08-02T21:00,2026-08-04T23:00,51,50,1.706,4.6,87.0,0.54,0.348,0.06,-1
