event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T02:00,2026-01-18T03:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,870
1,2026-02-23T10:00,2026-02-23T12:00,3,3,1.467,1.7,4.4,0.219,0.697,0.0,6
2,2026-02-23T19:00,2026-02-23T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,44
3,2026-02-25T16:00,2026-02-25T21:00,6,6,1.483,3.0,8.9,0.813,0.039,0.0,44
4,2026-02-27T18:00,2026-02-28T00:00,7,7,0.343,0.4,2.4,0.156,0.0,0.0,10
5,2026-02-28T11:00,2026-02-28T14:00,4,3,0.375,0.5,1.5,0.4,0.0,0.0,2
6,2026-02-28T17:00,2026-02-28T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
7,2026-02-28T20:00,2026-03-01T20:00,25,25,0.648,1.6,16.2,0.446,0.0,0.0,114
8,2026-03-06T15:00,2026-03-06T15:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,102
9,2026-03-10T22:00,2026-03-10T22:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,86
10,2026-03-14T13:00,2026-03-14T18:00,6,6,0.6,0.9,3.6,0.38,0.0,0.0,58
11,2026-03-17T05:00,2026-03-17T12:00,8,8,0.75,1.6,6.0,0.613,0.0,0.0023,295
12,2026-03-29T20:00,2026-03-29T23:00,4,4,0.35,0.4,1.4,0.165,0.0,0.0,3
13,2026-03-30T03:00,2026-03-30T07:00,5,5,0.84,1.1,4.2,0.382,0.0,0.0013,29
14,2026-03-31T13:00,2026-03-31T13:00,1,1,1.5,1.5,1.5,0.0,1.0,0.0,27
15,2026-04-01T17:00,2026-04-01T18:00,2,2,1.1,1.9,2.2,1.029,1.0,0.0,43
16,2026-04-03T14:00,2026-04-03T14:00,1,1,2.8,2.8,2.8,0.0,0.964,0.0022,110
17,2026-04-08T05:00,2026-04-08T09:00,5,4,1.1,2.5,5.5,0.86,0.664,0.0,2
18,2026-04-08T12:00,2026-04-08T14:00,3,3,7.4,12.9,22.2,0.644,0.857,0.1444,175
19,2026-04-15T22:00,2026-04-15T23:00,2,2,0.4,0.4,0.8,0.0,0.625,0.0,86
20,2026-04-19T14:00,2026-04-19T20:00,7,7,1.529,6.6,10.7,1.488,0.32,0.0,22
21,2026-04-20T19:00,2026-04-20T20:00,2,2,0.4,0.5,0.8,0.354,1.0,0.0,11
22,2026-04-21T08:00,2026-04-21T16:00,9,9,1.2,2.4,10.8,0.568,0.0,0.0008,119
23,2026-04-26T16:00,2026-04-26T16:00,1,1,2.6,2.6,2.6,0.0,1.0,0.118,122
