event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-20T04:00,2026-01-20T04:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
1,2026-01-20T08:00,2026-01-20T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,147
2,2026-01-26T12:00,2026-01-27T01:00,14,10,0.293,0.6,4.1,0.591,0.018,0.0,79
3,2026-01-30T09:00,2026-01-30T22:00,14,14,0.786,1.7,11.0,0.575,0.125,0.0002,5
4,2026-01-31T04:00,2026-01-31T07:00,4,4,1.05,1.3,4.2,0.227,0.019,0.0004,128
5,2026-02-05T16:00,2026-02-06T00:00,9,9,0.556,0.9,5.0,0.372,0.799,0.0,3
6,2026-02-06T04:00,2026-02-06T11:00,8,8,1.025,2.2,8.2,0.659,0.369,0.003,72
7,2026-02-09T12:00,2026-02-09T12:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,18
8,2026-02-10T07:00,2026-02-10T09:00,3,3,0.5,0.7,1.5,0.4,0.0,0.0,4
9,2026-02-10T14:00,2026-02-10T15:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,68
10,2026-02-13T12:00,2026-02-13T13:00,2,2,0.45,0.6,0.9,0.471,0.334,0.0,13
11,2026-02-14T03:00,2026-02-14T03:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,35
12,2026-02-15T15:00,2026-02-15T15:00,1,1,4.8,4.8,4.8,0.0,1.0,0.0,3
13,2026-02-15T19:00,2026-02-15T22:00,4,4,2.9,5.8,11.6,0.747,0.926,0.0,2
14,2026-02-16T01:00,2026-02-16T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
15,2026-02-16T05:00,2026-02-16T12:00,8,7,0.925,2.3,7.4,0.686,0.021,0.0016,66
16,2026-02-19T07:00,2026-02-19T08:00,2,2,0.75,0.8,1.5,0.094,0.0,0.0,56
17,2026-02-21T17:00,2026-02-21T18:00,2,2,1.0,1.6,2.0,0.849,1.0,0.0038,53
18,2026-02-24T00:00,2026-02-24T01:00,2,2,0.7,1.0,1.4,0.606,0.35,0.0,11
19,2026-02-24T13:00,2026-02-24T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,31
20,2026-02-25T21:00,2026-02-26T18:00,22,21,1.773,3.6,39.0,0.557,0.168,0.012,23
21,2026-02-27T18:00,2026-02-27T18:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,6
22,2026-02-28T01:00,2026-02-28T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,6
23,2026-02-28T08:00,2026-02-28T10:00,3,3,0.567,0.8,1.7,0.367,0.0,0.0,4
24,2026-02-28T15:00,2026-03-01T11:00,21,20,1.41,3.6,29.6,0.692,0.015,0.0065,54
25,2026-03-03T18:00,2026-03-03T18:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,97
26,2026-03-07T20:00,2026-03-07T22:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,15
27,2026-03-08T14:00,2026-03-08T20:00,7,7,0.629,1.2,4.4,0.501,0.289,0.0,226
28,2026-03-18T07:00,2026-03-18T13:00,7,6,0.614,1.1,4.3,0.633,0.332,0.0,2
29,2026-03-18T16:00,2026-03-18T19:00,4,3,0.375,0.5,1.5,0.336,0.062,0.0,13
30,2026-03-19T09:00,2026-03-19T12:00,4,4,2.55,4.6,10.2,0.65,0.76,0.0034,9
31,2026-03-19T22:00,2026-03-19T22:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,8
32,2026-03-20T07:00,2026-03-20T14:00,8,8,0.975,2.1,7.8,0.61,0.176,0.001,37
33,2026-03-22T04:00,2026-03-22T07:00,4,4,0.875,1.7,3.5,0.649,0.165,0.0,3
34,2026-03-22T11:00,2026-03-22T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,13
35,2026-03-23T01:00,2026-03-23T13:00,13,11,1.038,3.6,13.5,0.872,0.56,0.0195,6
36,2026-03-23T20:00,2026-03-23T21:00,2,2,0.85,1.4,1.7,0.915,0.798,0.005,2
37,2026-03-24T00:00,2026-03-24T07:00,8,8,1.375,3.8,11.0,0.958,0.386,0.007,35
38,2026-03-25T19:00,2026-03-26T09:00,15,13,1.373,4.0,20.6,0.965,0.13,0.015,28
39,2026-03-27T14:00,2026-03-27T14:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,6
