time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,20.0,7.5,0.3,0.6,99,9,3640.0,1,0.399
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,105.0,9.2,0.21,1.8,256,9,8560.0,1,0.4
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,200.0,12.0,0.25,2.6,270,2,12840.0,1,0.399
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,245.0,14.6,0.41,3.1,346,0,13920.0,1,0.398
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,305.0,17.3,0.5,3.3,323,0,14880.0,1,0.397
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,395.0,19.4,0.55,3.3,265,0,15680.0,1,0.395
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,535.0,21.2,0.45,3.4,243,1,15700.0,1,0.386
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1085.0,22.5,1.21,3.5,210,4,15700.0,1,0.384
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1155.0,22.6,2.57,5.5,188,5,17280.0,1,0.382
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,505.0,21.2,3.06,6.1,176,0,15700.0,1,0.381
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,195.0,18.6,2.45,6.4,178,1,15700.0,0,0.381
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,70.0,16.7,1.82,4.5,188,1,14900.0,0,0.381
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,45.0,16.5,1.38,2.8,226,5,14900.0,0,0.377
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,25.0,15.0,1.13,2.2,225,20,13940.0,0,0.377
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,30.0,13.3,1.11,2.0,216,6,12860.0,0,0.378
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,30.0,12.2,0.92,2.0,225,3,11160.0,0,0.378
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,30.0,11.9,0.4,1.5,240,7,11160.0,0,0.379
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,35.0,11.6,0.3,0.8,261,3,11160.0,0,0.379
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,40.0,11.2,0.27,0.7,338,3,11160.0,0,0.38
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,35.0,10.7,0.21,0.6,284,11,9980.0,0,0.38
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,35.0,10.2,0.18,0.6,236,15,9980.0,0,0.381
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,30.0,9.6,0.25,0.7,259,6,8580.0,0,0.381
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,30.0,9.0,0.63,1.3,252,1,8580.0,0,0.382
