event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-25T19:00,2026-02-25T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,475
1,2026-03-17T15:00,2026-03-17T15:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,4
2,2026-03-17T20:00,2026-03-17T20:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,99
3,2026-03-22T00:00,2026-03-22T02:00,3,2,0.4,0.5,1.2,0.433,0.067,0.0,2
4,2026-03-22T05:00,2026-03-22T05:00,1,1,4.0,4.0,4.0,0.0,0.975,0.0,99
5,2026-03-26T09:00,2026-03-26T09:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,61
6,2026-03-28T23:00,2026-03-28T23:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,7
7,2026-03-29T07:00,2026-03-29T08:00,2,2,0.75,1.0,1.5,0.471,1.0,0.0,114
8,2026-04-03T03:00,2026-04-03T03:00,1,1,2.0,2.0,2.0,0.0,0.8,0.0,3
9,2026-04-03T07:00,2026-04-03T15:00,9,9,1.933,4.8,17.4,0.815,0.218,0.0021,39
10,2026-04-05T07:00,2026-04-05T10:00,4,4,0.725,1.2,2.9,0.521,0.719,0.0025,6
11,2026-04-05T17:00,2026-04-05T17:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,84
12,2026-04-09T06:00,2026-04-09T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
13,2026-04-09T12:00,2026-04-09T12:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,8
14,2026-04-09T21:00,2026-04-09T21:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,14
15,2026-04-10T12:00,2026-04-10T13:00,2,2,0.85,1.1,1.7,0.416,0.955,0.0006,91
16,2026-04-14T09:00,2026-04-14T10:00,2,2,1.05,1.1,2.1,0.067,0.85,0.0,56
17,2026-04-16T19:00,2026-04-16T21:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,68
18,2026-04-19T18:00,2026-04-19T20:00,3,3,0.6,0.8,1.8,0.333,0.0,0.0,136
19,2026-04-25T13:00,2026-04-25T21:00,9,8,1.822,4.9,16.4,0.943,0.723,0.063,161
20,2026-05-02T15:00,2026-05-02T17:00,3,3,0.6,0.8,1.8,0.441,0.0,0.0,84
21,2026-05-06T06:00,2026-05-06T12:00,7,7,2.586,3.7,18.1,0.464,0.06,0.0034,70
22,2026-05-09T11:00,2026-05-09T11:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,5
23,2026-05-09T17:00,2026-05-09T17:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,3
24,2026-05-09T21:00,2026-05-09T22:00,2,2,3.3,4.3,6.6,0.429,0.976,0.0,8
