time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2025-10-08T12:00,0.0,0.0,0.0,0.0,27.7,2.34,3.8,110,5,16860.0,0,0.102,1530.0,395.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T13:00,0.0,0.0,0.0,0.0,27.2,2.49,5.4,105,9,14360.0,0,0.102,1960.0,415.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T14:00,0.0,0.0,0.0,0.0,27.0,2.91,5.8,102,29,7340.0,0,0.102,2210.0,475.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T15:00,0.0,0.0,0.0,0.0,26.5,2.69,7.0,108,67,7280.0,0,0.103,1800.0,515.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T16:00,0.0,0.0,0.0,0.0,26.2,2.3,5.8,89,48,11340.0,0,0.103,1870.0,365.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T17:00,0.0,0.0,0.0,0.0,26.0,1.85,5.0,93,88,8660.0,0,0.103,1980.0,210.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T18:00,0.0,0.0,0.0,0.0,25.6,2.15,3.9,65,80,11160.0,0,0.103,1810.0,175.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T19:00,0.0,0.0,0.0,0.0,25.7,1.95,4.4,116,57,10600.0,0,0.103,1680.0,195.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T20:00,0.0,0.0,0.0,0.0,25.3,1.87,4.1,99,3,11440.0,0,0.103,1530.0,155.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T21:00,0.0,0.0,0.0,0.0,25.0,1.46,3.9,84,30,11480.0,0,0.103,1440.0,105.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T22:00,0.0,0.0,0.0,0.0,24.9,1.18,3.1,78,59,11480.0,0,0.104,1500.0,70.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T23:00,0.0,0.0,0.0,0.0,25.3,1.64,3.3,70,74,11360.0,1,0.104,1600.0,95.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T00:00,0.0,0.0,0.0,0.0,25.5,2.76,4.8,122,86,4580.0,1,0.103,1190.0,380.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T01:00,0.2,0.0,0.0,0.0,27.2,1.09,7.4,106,35,14120.0,1,0.105,1510.0,300.0,0,0.0,51,0,0.2,-1,-1,-1,-1,0.0,0.0
2025-10-09T02:00,0.3,1.0,0.0,0.0,29.6,2.34,6.3,74,27,7760.0,1,0.106,1850.0,935.0,0,0.0,51,1,0.0,0,0,2,22,0.354,0.694
2025-10-09T03:00,0.5,0.6,0.0,0.0,31.0,3.65,9.2,73,24,7980.0,1,0.109,1780.0,1085.0,0,0.0,53,1,0.2,0,1,1,22,0.354,0.454
2025-10-09T04:00,0.1,0.0,0.0,0.0,31.8,3.65,9.6,77,9,13820.0,1,0.108,1620.0,1235.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-09T05:00,0.0,0.0,0.0,0.0,32.7,3.66,9.8,87,14,15740.0,1,0.105,1110.0,1345.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
