time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2025-10-01T00:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,21.4,1.56,4.6,320,99,15420.0,1,0.094
2025-10-01T01:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,24.2,0.89,3.8,308,100,15400.0,1,0.094
2025-10-01T02:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,26.9,0.81,3.5,330,100,16380.0,1,0.094
2025-10-01T03:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,,,28.7,0.56,3.3,10,94,16380.0,1,0.094
2025-10-01T04:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,,,30.6,0.73,3.5,16,100,16500.0,1,0.094
2025-10-01T05:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,31.7,0.54,3.5,56,100,16500.0,1,0.094
2025-10-01T06:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,30.8,0.54,3.9,56,100,16580.0,1,0.094
2025-10-01T07:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,30.9,1.49,4.4,132,100,16500.0,1,0.094
2025-10-01T08:00,0.0,0.0,0.0,0.0,0.0,,3,60.0,108.0,,29.8,2.41,6.2,167,100,16500.0,1,0.094
2025-10-01T09:00,0.0,0.0,0.0,0.0,0.0,,3,180.0,157.0,,28.3,2.57,6.3,188,100,16360.0,1,0.094
2025-10-01T10:00,0.0,0.0,0.0,0.0,0.0,,3,200.0,153.0,,27.2,2.53,6.2,198,100,9300.0,1,0.095
2025-10-01T11:00,0.1,0.1,0.0,0.0,0.0,,51,60.0,175.0,,26.7,2.94,6.8,238,100,9820.0,0,0.095
2025-10-01T12:00,0.1,0.1,0.0,0.0,0.0,,51,30.0,227.0,,24.5,1.93,7.2,190,100,15380.0,0,0.096
2025-10-01T13:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,221.0,,23.5,2.8,6.2,180,100,15380.0,0,0.096
