time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,65.0,3.3,1.23,3.2,282,100,13040.0,1,0.332
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,85.0,5.2,2.1,4.2,267,100,13020.0,1,0.332
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,145.0,7.0,2.53,5.4,245,100,14040.0,1,0.331
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,225.0,9.1,2.4,5.8,282,100,14860.0,1,0.331
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,260.0,11.0,2.23,5.4,279,100,14860.0,1,0.331
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,450.0,13.5,2.8,6.6,272,100,15560.0,1,0.331
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,690.0,14.6,4.32,7.8,275,100,17220.0,1,0.33
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,505.0,13.4,3.9,9.7,269,100,17000.0,1,0.33
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,320.0,13.0,3.45,8.1,260,100,17000.0,1,0.33
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,380.0,13.2,3.36,7.7,259,46,17200.0,1,0.329
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,80.0,10.0,2.75,7.0,254,26,17000.0,0,0.329
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,8.4,2.44,5.7,255,12,17000.0,0,0.329
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,35.0,5.8,1.66,5.0,245,30,15540.0,0,0.32
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,50.0,6.1,2.67,5.4,249,0,14840.0,0,0.32
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,50.0,5.4,2.44,5.4,251,0,14000.0,0,0.32
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,50.0,4.5,2.39,5.0,250,0,14000.0,0,0.32
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,50.0,3.7,2.53,5.1,248,0,14000.0,0,0.32
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,3.1,2.56,5.3,249,0,14000.0,0,0.32
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,50.0,2.8,2.13,5.3,246,0,12980.0,0,0.314
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,2.7,2.38,5.1,255,0,12980.0,0,0.314
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,2.4,2.53,5.0,252,0,12980.0,0,0.314
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,65.0,2.1,2.67,5.4,253,11,12960.0,0,0.314
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,1.6,2.66,5.4,254,11,12960.0,0,0.314
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,65.0,1.4,2.91,5.9,251,10,12960.0,0,0.314
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,45.0,1.4,2.25,5.9,238,87,12960.0,1,0.33
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,75.0,3.8,2.14,5.1,259,38,13980.0,1,0.33
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,135.0,7.5,1.31,4.6,288,19,14800.0,1,0.329
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,220.0,11.0,1.41,4.6,315,20,15500.0,1,0.329
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,315.0,14.0,1.17,4.6,340,16,16940.0,1,0.329
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,400.0,16.0,1.32,4.7,11,29,16940.0,1,0.328
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,495.0,17.5,1.63,5.1,27,38,17160.0,1,0.326
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,470.0,17.8,2.17,5.7,52,14,17160.0,1,0.325
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,355.0,17.0,2.1,5.7,91,11,17140.0,1,0.325
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,165.0,14.6,1.66,4.8,136,53,16940.0,1,0.324
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,35.0,10.5,1.36,3.3,152,33,16940.0,0,0.324
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,9.8,0.43,2.7,159,0,15480.0,0,0.324
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,9.0,0.18,1.4,214,1,15480.0,0,0.31
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,7.9,0.42,1.2,225,0,15460.0,0,0.31
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,6.7,0.96,1.8,242,0,15460.0,0,0.311
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,6.8,1.68,3.3,243,0,14760.0,0,0.311
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,5.9,1.81,3.5,242,0,13920.0,0,0.311
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,5.3,1.81,3.7,246,0,13920.0,0,0.311
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,4.9,1.34,3.5,243,0,14760.0,0,0.299
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,70.0,5.8,2.14,4.1,254,0,14760.0,0,0.3
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,4.6,2.4,4.5,253,0,13920.0,0,0.3
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,45.0,3.6,2.51,4.8,247,0,13920.0,0,0.3
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,2.9,2.35,4.9,246,0,13920.0,0,0.3
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,2.2,2.64,5.2,243,0,12900.0,0,0.3
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,2.1,2.37,5.7,235,0,12900.0,1,0.31
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,85.0,5.0,2.82,5.8,253,0,13900.0,1,0.31
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,180.0,9.1,2.42,6.0,277,0,15440.0,1,0.31
