time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2025-10-08T12:00,0.0,0.0,0.0,0.0,28.0,0.72,1.4,214,100,14740.0,0,0.434,2160.0,65.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T13:00,0.1,0.0,0.0,0.0,26.5,1.07,2.6,323,99,9660.0,0,0.435,2250.0,35.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-08T14:00,0.0,0.0,0.0,0.0,25.6,0.75,2.2,356,100,13740.0,0,0.436,2700.0,20.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T15:00,0.0,0.0,0.0,0.0,25.0,0.56,1.7,350,89,9940.0,0,0.436,2780.0,20.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T16:00,0.0,0.0,0.0,0.0,24.3,0.4,1.1,353,99,360.0,0,0.436,2720.0,15.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T17:00,0.0,0.0,0.0,0.0,24.1,0.4,1.4,7,99,140.0,0,0.436,2740.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T18:00,0.0,0.0,0.0,0.0,24.4,0.4,1.3,83,100,120.0,0,0.426,3130.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T19:00,0.0,0.0,0.0,0.0,24.4,0.3,1.7,351,100,140.0,0,0.427,3060.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T20:00,0.1,0.0,0.0,0.0,24.2,0.16,1.8,342,100,160.0,0,0.427,3060.0,10.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-08T21:00,0.0,0.0,0.0,0.0,24.3,0.89,2.2,16,100,10140.0,0,0.428,2900.0,20.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T22:00,0.0,0.0,0.0,0.0,24.7,1.1,1.8,47,100,7800.0,0,0.429,2810.0,65.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T23:00,3.8,0.868,0.0,0.0,23.1,3.34,6.4,287,100,320.0,1,0.476,1810.0,140.0,0,0.6335,95,1,0.5,0,0,3,68,0.829,0.742
2025-10-09T00:00,5.5,0.873,0.0,0.0,23.7,2.33,6.2,332,100,500.0,1,0.493,1020.0,70.0,0,0.51,81,1,0.7,0,1,2,68,0.829,0.745
2025-10-09T01:00,0.3,0.333,0.0,0.0,23.7,3.23,7.1,77,100,7280.0,1,0.494,1000.0,175.0,0,0.0,51,1,0.2,0,2,1,68,0.829,0.421
2025-10-09T02:00,0.0,0.0,0.0,0.0,25.3,1.54,6.6,144,99,15680.0,1,0.493,900.0,220.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T03:00,0.0,0.0,0.0,0.0,26.6,2.7,6.9,161,100,16140.0,1,0.49,1080.0,395.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T04:00,0.0,0.0,0.0,0.0,28.3,2.04,7.0,205,100,19620.0,1,0.487,1470.0,745.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T05:00,0.0,0.0,0.0,0.0,28.7,1.99,6.1,219,100,21620.0,1,0.484,1150.0,730.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T06:00,0.0,0.0,0.0,0.0,27.8,2.06,5.9,221,100,20380.0,1,0.494,800.0,750.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T07:00,0.0,0.0,0.0,0.0,28.6,2.9,7.5,224,94,21620.0,1,0.49,530.0,815.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T08:00,0.0,0.0,0.0,0.0,28.9,2.53,7.5,218,100,22940.0,1,0.486,0.0,775.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T09:00,0.0,0.0,0.0,0.0,28.4,1.77,6.7,223,95,22940.0,1,0.483,0.0,520.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T10:00,0.0,0.0,0.0,0.0,27.5,1.78,4.7,238,98,21640.0,1,0.482,30.0,420.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T11:00,0.1,1.0,0.0,0.0,25.7,1.36,3.9,186,100,20400.0,0,0.482,280.0,165.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T12:00,0.0,0.0,0.0,0.0,25.9,1.07,2.6,143,85,17200.0,0,0.478,1420.0,45.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T13:00,0.0,0.0,0.0,0.0,25.1,1.28,2.2,141,100,17820.0,0,0.478,1600.0,50.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T14:00,0.0,0.0,0.0,0.0,25.4,1.22,2.3,171,100,18020.0,0,0.477,1600.0,55.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T15:00,0.0,0.0,0.0,0.0,25.4,0.9,1.9,177,81,18040.0,0,0.477,1620.0,45.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T16:00,0.0,0.0,0.0,0.0,25.1,0.47,1.5,122,98,15940.0,0,0.477,2030.0,25.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T17:00,0.0,0.0,0.0,0.0,24.7,0.25,0.9,79,99,14040.0,0,0.477,2380.0,15.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T18:00,0.0,0.0,0.0,0.0,23.6,0.35,0.9,45,100,200.0,0,0.482,2090.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T19:00,0.0,0.0,0.0,0.0,23.1,0.36,0.9,344,100,120.0,0,0.482,2190.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T20:00,0.0,0.0,0.0,0.0,23.0,1.1,2.4,355,100,140.0,0,0.481,2120.0,15.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T21:00,0.0,0.0,0.0,0.0,22.8,1.29,2.3,347,100,160.0,0,0.481,1990.0,15.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T22:00,0.0,0.0,0.0,0.0,22.8,1.27,2.6,9,100,200.0,0,0.481,1970.0,20.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T23:00,0.0,0.0,0.0,0.0,23.0,1.7,3.1,320,100,10260.0,1,0.48,2010.0,40.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T00:00,0.0,0.0,0.0,0.0,25.3,1.12,3.1,148,100,15980.0,1,0.475,1820.0,95.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T01:00,0.0,0.0,0.0,0.0,27.7,0.87,3.1,239,100,20480.0,1,0.474,2520.0,365.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T02:00,0.0,0.0,0.0,0.0,29.1,1.47,4.5,260,100,20500.0,1,0.473,2830.0,635.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T03:00,0.1,1.0,0.0,0.0,30.6,2.56,6.7,253,95,21260.0,1,0.471,2040.0,935.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T04:00,0.0,0.0,0.0,0.0,31.3,3.06,8.0,255,40,16120.0,1,0.468,1900.0,1125.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T05:00,0.0,0.0,0.0,0.0,31.6,2.93,8.1,250,91,23080.0,1,0.464,1680.0,1190.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T06:00,0.0,0.0,0.0,0.0,31.8,3.13,7.8,262,33,24240.0,1,0.459,450.0,1290.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T07:00,0.0,0.0,0.0,0.0,31.9,3.07,8.0,263,99,21560.0,1,0.456,610.0,1310.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T08:00,0.0,0.0,0.0,0.0,31.5,2.7,7.8,259,100,23100.0,1,0.453,670.0,1235.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T09:00,0.0,0.0,0.0,0.0,30.6,2.25,6.8,249,99,23100.0,1,0.451,910.0,970.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T10:00,0.0,0.0,0.0,0.0,29.3,1.68,5.3,240,88,21800.0,1,0.451,1470.0,495.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T11:00,0.0,0.0,0.0,0.0,27.2,1.35,3.6,255,77,20540.0,0,0.451,1750.0,210.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T12:00,0.0,0.0,0.0,0.0,26.8,0.68,2.5,253,98,20560.0,0,0.432,1950.0,35.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T13:00,0.0,0.0,0.0,0.0,26.2,0.56,1.1,280,100,18140.0,0,0.433,2060.0,25.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T14:00,0.0,0.0,0.0,0.0,26.0,0.34,1.1,333,100,18160.0,0,0.434,1980.0,15.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T15:00,0.0,0.0,0.0,0.0,25.4,0.21,0.6,166,100,16040.0,0,0.435,1870.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T16:00,0.0,0.0,0.0,0.0,24.7,0.46,1.0,103,100,14140.0,0,0.436,1750.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T17:00,0.0,0.0,0.0,0.0,24.4,0.55,1.1,95,100,10380.0,0,0.437,1710.0,15.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T18:00,0.0,0.0,0.0,0.0,23.7,0.4,1.1,30,100,340.0,0,0.441,1150.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T19:00,0.0,0.0,0.0,0.0,23.3,0.51,1.3,29,100,180.0,0,0.441,1190.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T20:00,0.0,0.0,0.0,0.0,23.0,0.55,1.6,355,100,140.0,0,0.442,1560.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T21:00,0.0,0.0,0.0,0.0,23.0,0.92,2.0,45,100,120.0,0,0.443,2120.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T22:00,0.0,0.0,0.0,0.0,23.1,0.85,2.3,3,100,140.0,0,0.444,2290.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T23:00,0.0,0.0,0.0,0.0,23.2,1.57,2.7,301,100,180.0,1,0.444,2100.0,25.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T00:00,0.1,0.0,0.0,0.0,24.9,1.05,7.0,295,76,10420.0,1,0.439,2260.0,25.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-11T01:00,0.0,0.0,0.0,0.0,28.5,0.85,3.7,225,98,20620.0,1,0.439,3350.0,550.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T02:00,0.0,0.0,0.0,0.0,30.1,1.44,5.5,214,98,14560.0,1,0.438,2820.0,960.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T03:00,0.1,1.0,0.0,0.0,30.8,2.21,6.3,186,100,11760.0,1,0.437,2620.0,1080.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T04:00,0.1,1.0,0.0,0.0,31.1,3.25,8.3,177,99,20060.0,1,0.435,2490.0,1105.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T05:00,0.1,1.0,0.0,0.0,30.7,3.35,8.8,180,98,21920.0,1,0.433,2350.0,930.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T06:00,0.1,1.0,0.0,0.0,31.8,3.45,8.9,190,21,23240.0,1,0.425,1700.0,1245.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T07:00,0.0,0.0,0.0,0.0,31.8,3.47,8.9,186,94,23260.0,1,0.422,1850.0,1245.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T08:00,0.1,1.0,0.0,0.0,31.1,3.21,8.8,184,99,23280.0,1,0.42,1620.0,1105.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T09:00,0.0,0.0,0.0,0.0,30.5,2.98,7.8,189,100,23340.0,1,0.419,1470.0,995.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T10:00,0.0,0.0,0.0,0.0,29.2,2.47,6.9,194,100,22000.0,1,0.419,1990.0,585.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T11:00,0.0,0.0,0.0,0.0,28.0,1.34,5.5,207,98,19600.0,0,0.419,2270.0,365.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-11T12:00,0.0,0.0,0.0,0.0,27.6,1.19,2.4,158,24,17220.0,0,0.423,2350.0,140.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
