time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,30.0,0.7,1.71,2.2,97,100,7540.0,1,0.084
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,55.0,3.2,1.48,3.4,123,100,10200.0,1,0.084
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,100.0,6.4,0.94,3.4,155,100,12200.0,1,0.084
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,135.0,9.3,0.54,3.0,158,100,13600.0,1,0.084
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,220.0,11.5,1.15,3.7,198,48,13600.0,1,0.084
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,330.0,14.0,1.61,4.7,210,98,14840.0,1,0.084
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,425.0,15.2,1.93,4.9,201,100,14860.0,1,0.081
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,520.0,15.5,2.58,5.5,212,100,14880.0,1,0.081
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,530.0,14.9,2.24,5.5,231,100,13640.0,1,0.081
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,120.0,13.1,1.66,4.0,249,100,13640.0,1,0.081
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,70.0,11.7,1.98,3.1,249,100,12160.0,0,0.081
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,70.0,10.5,2.66,4.2,230,98,10160.0,0,0.082
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,80.0,9.8,2.62,4.8,227,100,10160.0,0,0.084
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,90.0,9.4,3.04,4.9,228,100,10160.0,0,0.085
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,110.0,9.1,3.26,5.8,223,100,10160.0,0,0.085
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,155.0,9.1,3.53,5.9,245,100,10160.0,0,0.085
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,185.0,9.2,3.61,6.1,251,95,12160.0,0,0.085
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,180.0,8.4,3.35,6.0,260,0,10160.0,0,0.085
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,165.0,7.3,3.2,5.6,271,0,9000.0,0,0.085
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,170.0,6.7,3.26,5.4,285,0,9000.0,0,0.086
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,155.0,5.9,3.11,5.4,294,0,9000.0,0,0.086
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,110.0,4.9,2.54,5.1,302,0,9000.0,0,0.086
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,70.0,2.9,1.9,4.0,297,0,10140.0,0,0.086
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,2.0,1.77,2.9,286,0,9000.0,0,0.086
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35.0,3.3,1.32,2.5,281,0,10140.0,1,0.087
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,5.6,1.49,3.4,312,0,12120.0,1,0.087
