time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,560.0,18.4,2.9,5.3,358,9,12540.0,1,0.275
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,1025.0,20.6,3.08,7.8,17,7,35140.0,1,0.275
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,1125.0,21.5,3.75,9.5,31,5,35160.0,1,0.274
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3.0,1370.0,22.5,4.28,10.5,45,45,35160.0,1,0.274
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,3.0,1400.0,22.8,4.22,10.6,59,97,35160.0,1,0.273
2026-01-14T05:00,0.1,0.0,0.1,0.0,0.0,0.0,51,10.0,2.0,1030.0,21.9,3.94,10.5,64,99,35160.0,1,0.273
2026-01-14T06:00,0.1,0.0,0.1,0.0,0.0,0.0,51,0.0,3.0,980.0,21.5,3.44,9.9,64,100,32580.0,1,0.271
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,735.0,21.2,2.43,8.3,53,98,32580.0,1,0.271
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,4.0,820.0,21.0,1.98,6.2,49,98,32580.0,1,0.271
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,730.0,20.6,1.99,5.2,28,98,32600.0,1,0.271
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4.0,225.0,19.9,1.9,4.9,2,41,32600.0,0,0.271
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,240.0,19.6,2.06,4.8,4,11,32600.0,0,0.271
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,130.0,19.0,2.62,5.2,329,46,240.0,0,0.272
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,4.0,110.0,19.0,2.72,5.5,313,63,160.0,0,0.272
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,4.0,105.0,18.6,2.94,5.6,305,65,160.0,0,0.272
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,4.0,90.0,18.0,2.75,5.6,307,54,160.0,0,0.272
