time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2026-01-14T00:00,0.0,0.0,0.0,0.0,6.0,1.74,3.3,282,0,16540.0,1,0.125,0.0,30.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T01:00,0.0,0.0,0.0,0.0,10.7,1.27,3.6,259,0,19980.0,1,0.125,0.0,95.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T02:00,0.0,0.0,0.0,0.0,14.8,1.16,3.8,205,0,21400.0,1,0.125,0.0,535.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T03:00,0.0,0.0,0.0,0.0,17.4,2.81,6.6,184,0,21400.0,1,0.125,0.0,770.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T04:00,0.0,0.0,0.0,0.0,19.0,3.42,7.9,187,0,25340.0,1,0.125,0.0,920.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T05:00,0.0,0.0,0.0,0.0,20.0,3.54,8.1,188,0,25340.0,1,0.125,0.0,1015.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T06:00,0.0,0.0,0.0,0.0,20.2,3.53,8.1,187,0,25540.0,1,0.126,0.0,1015.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T07:00,0.0,0.0,0.0,0.0,20.3,3.66,7.9,177,0,25540.0,1,0.126,0.0,985.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T08:00,0.0,0.0,0.0,0.0,19.1,4.1,8.1,171,0,25340.0,1,0.126,0.0,860.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T09:00,0.0,0.0,0.0,0.0,16.6,3.65,8.0,163,0,21400.0,1,0.126,0.0,565.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T10:00,0.0,0.0,0.0,0.0,13.9,2.98,6.6,166,0,18380.0,0,0.126,0.0,325.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T11:00,0.0,0.0,0.0,0.0,12.5,2.05,4.9,183,0,16520.0,0,0.126,0.0,175.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T12:00,0.0,0.0,0.0,0.0,11.7,2.18,3.2,196,0,16520.0,0,0.123,0.0,160.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T13:00,0.0,0.0,0.0,0.0,12.2,2.28,4.0,206,0,16520.0,0,0.123,0.0,165.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T14:00,0.0,0.0,0.0,0.0,11.4,1.77,3.6,220,1,16520.0,0,0.123,0.0,105.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
