event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-13T11:00,2026-03-13T17:00,7,6,0.0,0.0,0.0,0.0,0.036,0.0,73
1,2026-03-16T19:00,2026-03-16T19:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,50
2,2026-03-18T22:00,2026-03-18T22:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,120
3,2026-03-23T23:00,2026-03-23T23:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,357
4,2026-04-07T21:00,2026-04-07T23:00,3,3,0.767,1.0,2.3,0.272,1.0,0.0,3
5,2026-04-08T03:00,2026-04-08T09:00,7,5,0.357,0.8,2.5,0.738,0.667,0.0,4
6,2026-04-08T14:00,2026-04-08T15:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,155
7,2026-04-15T03:00,2026-04-15T03:00,1,1,0.4,0.4,0.4,0.0,0.9,0.0,122
8,2026-04-20T06:00,2026-04-20T08:00,3,2,0.3,0.3,0.9,0.0,0.832,0.0,67
9,2026-04-23T04:00,2026-04-23T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
10,2026-04-23T07:00,2026-04-23T07:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,20
11,2026-04-24T04:00,2026-04-24T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,80
12,2026-04-27T13:00,2026-04-27T13:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,6
13,2026-04-27T20:00,2026-04-28T00:00,5,5,0.52,0.8,2.6,0.37,0.0,0.0,9
14,2026-04-28T10:00,2026-04-28T12:00,3,3,0.667,1.0,2.0,0.458,0.963,0.0,47
15,2026-04-30T12:00,2026-04-30T19:00,8,8,1.475,2.2,11.8,0.516,0.024,0.0014,2
16,2026-04-30T22:00,2026-04-30T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
17,2026-05-01T02:00,2026-05-01T07:00,6,6,0.483,0.7,2.9,0.38,0.176,0.0,2
18,2026-05-01T10:00,2026-05-01T10:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,100
19,2026-05-05T15:00,2026-05-05T19:00,5,5,0.56,0.9,2.8,0.559,0.022,0.0,3
20,2026-05-05T23:00,2026-05-05T23:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,4
21,2026-05-06T04:00,2026-05-06T07:00,4,3,0.325,0.4,1.3,0.295,0.667,0.0,6
22,2026-05-06T14:00,2026-05-06T15:00,2,2,0.7,0.9,1.4,0.404,0.0,0.0,10
23,2026-05-07T02:00,2026-05-07T06:00,5,3,0.26,0.3,1.3,0.211,0.633,0.0,38
24,2026-05-08T21:00,2026-05-09T01:00,5,4,0.44,1.0,2.2,0.829,0.8,0.0,113
25,2026-05-13T19:00,2026-05-14T01:00,7,7,0.671,1.3,4.7,0.469,0.075,0.0004,16
26,2026-05-14T18:00,2026-05-14T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,6
27,2026-05-15T01:00,2026-05-15T03:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,7
28,2026-05-15T11:00,2026-05-15T12:00,2,2,0.4,0.5,0.8,0.354,0.2,0.0,22
29,2026-05-16T11:00,2026-05-16T20:00,10,10,1.21,2.1,12.1,0.595,0.08,0.0013,8
30,2026-05-17T05:00,2026-05-17T05:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,78
31,2026-05-20T12:00,2026-05-20T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,16
32,2026-05-21T05:00,2026-05-21T08:00,4,4,0.925,2.1,3.7,0.893,0.64,0.0165,5
33,2026-05-21T14:00,2026-05-21T14:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,59
34,2026-05-24T02:00,2026-05-24T07:00,6,6,1.033,2.9,6.2,0.913,0.441,0.0071,21
35,2026-05-25T05:00,2026-05-25T08:00,4,4,0.35,0.4,1.4,0.165,0.146,0.0,10
36,2026-05-25T19:00,2026-05-25T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,21
37,2026-05-26T17:00,2026-05-27T12:00,20,20,0.675,1.2,13.5,0.362,0.035,0.0002,78
38,2026-05-30T19:00,2026-05-30T23:00,5,5,0.88,1.7,4.4,0.674,0.09,0.0044,5
39,2026-05-31T05:00,2026-05-31T05:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,50
40,2026-06-02T08:00,2026-06-02T15:00,8,8,0.725,1.6,5.8,0.642,0.072,0.0023,85
41,2026-06-06T05:00,2026-06-06T08:00,4,4,0.375,0.5,1.5,0.255,0.0,0.0,73
42,2026-06-09T10:00,2026-06-09T11:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,42
43,2026-06-11T06:00,2026-06-11T13:00,8,8,0.55,0.9,4.4,0.424,0.087,0.0,3
44,2026-06-11T17:00,2026-06-11T19:00,3,3,0.633,0.8,1.9,0.329,0.0,0.0,129
45,2026-06-17T05:00,2026-06-17T07:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,5
46,2026-06-17T13:00,2026-06-17T14:00,2,2,0.5,0.7,1.0,0.566,0.285,0.0,14
47,2026-06-18T05:00,2026-06-18T06:00,2,2,0.35,0.4,0.7,0.202,0.584,0.0,32
48,2026-06-19T15:00,2026-06-20T00:00,10,10,1.39,2.2,13.9,0.432,0.714,0.006,3
49,2026-06-20T04:00,2026-06-20T04:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,11
50,2026-06-20T16:00,2026-06-21T09:00,18,17,0.689,1.2,12.4,0.469,0.005,0.0015,19
51,2026-06-22T05:00,2026-06-22T05:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,6
52,2026-06-22T12:00,2026-06-22T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,112
53,2026-06-27T05:00,2026-06-27T05:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,30
54,2026-06-28T12:00,2026-06-28T13:00,2,2,0.3,0.3,0.6,0.0,0.167,0.0,16
55,2026-06-29T06:00,2026-06-29T06:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,47
56,2026-07-01T06:00,2026-07-01T17:00,12,12,0.758,1.2,9.1,0.391,0.025,0.0001,111
57,2026-07-06T09:00,2026-07-06T10:00,2,2,0.55,0.8,1.1,0.643,0.375,0.0,21
58,2026-07-07T08:00,2026-07-07T08:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,45
59,2026-07-09T06:00,2026-07-09T14:00,9,5,0.333,0.8,3.0,0.671,0.325,0.0,3
60,2026-07-09T18:00,2026-07-09T20:00,3,3,0.467,0.5,1.4,0.124,0.4,0.0,2
61,2026-07-09T23:00,2026-07-10T02:00,4,3,0.625,1.0,2.5,0.658,0.486,0.0,2
62,2026-07-10T05:00,2026-07-10T07:00,3,3,0.533,0.9,1.6,0.603,0.342,0.0,6
63,2026-07-10T14:00,2026-07-10T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
64,2026-07-10T17:00,2026-07-11T12:00,20,20,0.745,1.2,14.9,0.437,0.056,0.0006,13
65,2026-07-12T02:00,2026-07-12T02:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
66,2026-07-12T08:00,2026-07-12T08:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,22
67,2026-07-13T07:00,2026-07-13T22:00,16,16,2.5,6.9,40.0,0.695,0.331,0.1076,2
68,2026-07-14T01:00,2026-07-14T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,25
69,2026-07-15T03:00,2026-07-15T04:00,2,2,0.55,0.6,1.1,0.129,0.0,0.0,14
70,2026-07-15T19:00,2026-07-16T00:00,6,6,1.617,2.0,9.7,0.242,0.009,0.0025,33
71,2026-07-17T10:00,2026-07-17T15:00,6,6,1.267,2.6,7.6,0.528,0.255,0.02,2
72,2026-07-17T18:00,2026-07-18T00:00,7,7,0.957,2.4,6.7,1.005,0.422,0.0162,57
73,2026-07-20T10:00,2026-07-20T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,142
74,2026-07-26T09:00,2026-07-26T11:00,3,3,0.5,0.6,1.5,0.346,0.556,0.0,83
75,2026-07-29T23:00,2026-07-30T02:00,4,4,0.7,1.2,2.8,0.606,0.653,0.002,3
76,2026-07-30T06:00,2026-07-30T11:00,6,4,0.317,0.4,1.9,0.31,0.333,0.0,30
77,2026-07-31T18:00,2026-08-01T09:00,16,15,0.675,1.5,10.8,0.553,0.004,0.0037,3
78,2026-08-01T13:00,2026-08-01T19:00,7,6,0.529,0.8,3.7,0.46,0.0,0.0,13
79,2026-08-02T09:00,2026-08-02T09:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,23
80,2026-08-03T09:00,2026-08-03T09:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,-1
