event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T20:00,2026-01-18T20:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
1,2026-01-18T23:00,2026-01-19T00:00,2,2,0.55,0.6,1.1,0.129,0.0,0.0,3
2,2026-01-19T04:00,2026-01-19T04:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,2
3,2026-01-19T07:00,2026-01-20T00:00,18,18,0.583,1.1,10.5,0.421,0.019,0.0004,16
4,2026-01-20T17:00,2026-01-20T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,102
5,2026-01-25T00:00,2026-01-25T03:00,4,3,0.25,0.3,1.0,0.4,0.0,0.0,10
6,2026-01-25T14:00,2026-01-25T17:00,4,3,0.325,0.5,1.3,0.387,0.0,0.0,78
7,2026-01-29T00:00,2026-01-30T00:00,25,25,0.616,1.0,15.4,0.299,0.0,0.0,3
8,2026-01-30T04:00,2026-01-30T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
9,2026-01-30T07:00,2026-01-30T09:00,3,3,0.467,0.6,1.4,0.327,0.0,0.0,124
10,2026-02-04T14:00,2026-02-04T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,22
11,2026-02-05T13:00,2026-02-05T18:00,6,5,0.433,0.6,2.6,0.377,0.0,0.0,72
12,2026-02-08T19:00,2026-02-09T03:00,9,9,0.556,0.8,5.0,0.338,0.299,0.0,2
13,2026-02-09T06:00,2026-02-09T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,149
14,2026-02-15T12:00,2026-02-15T12:00,1,1,0.6,0.6,0.6,0.0,0.667,0.0,6
15,2026-02-15T19:00,2026-02-15T22:00,4,4,2.5,4.2,10.0,0.693,0.208,0.026,66
16,2026-02-18T17:00,2026-02-18T19:00,3,3,0.467,0.5,1.4,0.124,0.4,0.0,94
17,2026-02-22T18:00,2026-02-22T23:00,6,5,4.05,9.8,24.3,1.112,0.653,0.07,5
18,2026-02-23T05:00,2026-02-23T06:00,2,2,0.35,0.4,0.7,0.202,0.416,0.0,3
19,2026-02-23T10:00,2026-02-23T16:00,7,7,2.0,3.9,14.0,0.687,0.604,0.0616,31
20,2026-02-25T00:00,2026-02-25T01:00,2,2,6.6,12.8,13.2,1.329,0.469,0.04,17
