time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,4.2,0.65,2.0,90,98,180.0,1,0.454
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,10.0,6.5,0.5,2.4,6,95,6540.0,1,0.454
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,105.0,10.6,1.44,4.1,340,26,14680.0,1,0.454
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,265.0,14.1,1.68,5.2,337,23,16060.0,1,0.453
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,490.0,16.7,1.52,5.2,343,3,17200.0,1,0.452
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,1125.0,18.9,1.28,5.1,291,66,17200.0,1,0.451
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,1525.0,19.4,2.32,5.0,263,100,18180.0,1,0.476
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,1215.0,18.6,3.07,6.5,254,100,17220.0,1,0.475
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,900.0,17.8,2.72,6.8,257,100,17220.0,1,0.474
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,185.0,16.6,1.08,5.9,283,98,17220.0,1,0.473
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,50.0,15.1,0.92,2.6,315,100,16080.0,1,0.472
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,25.0,14.3,0.72,2.1,282,100,16080.0,0,0.471
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,15.0,14.1,0.4,1.9,240,100,14700.0,0,0.449
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,30.0,13.4,0.93,2.1,234,81,14700.0,0,0.449
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,11.9,0.72,2.1,295,1,14700.0,0,0.449
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,10.2,0.71,2.0,309,2,12660.0,0,0.449
