time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,-8.3,0.99,3.0,41,0,38840.0,0,0.018
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,-8.8,1.0,1.9,96,2,38520.0,0,0.018
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,-8.5,0.45,2.2,90,16,38520.0,1,0.018
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,55.0,-6.3,1.08,1.7,112,13,38820.0,1,0.018
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,135.0,-4.8,1.82,4.0,196,12,38800.0,1,0.018
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,195.0,-3.4,1.61,4.9,185,9,39040.0,1,0.018
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,370.0,-1.5,2.15,5.9,198,7,39020.0,1,0.018
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,390.0,-1.2,2.5,6.4,196,8,39020.0,1,0.018
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,315.0,-0.7,2.26,6.0,185,14,39200.0,1,0.018
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,195.0,-1.0,2.52,5.7,173,57,39180.0,1,0.018
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,105.0,-2.1,1.63,5.3,162,65,39000.0,1,0.018
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,50.0,-4.0,0.5,2.9,127,77,38980.0,0,0.018
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,80.0,-4.6,0.88,1.5,137,99,38980.0,0,0.018
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,45.0,-5.1,0.66,1.7,81,100,38960.0,0,0.018
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,20.0,-5.2,0.45,1.1,63,97,38960.0,0,0.018
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,30.0,-4.9,0.46,0.8,131,99,38940.0,0,0.018
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,55.0,-5.8,0.93,1.3,196,100,38700.0,0,0.018
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,35.0,-6.5,0.5,1.3,217,97,38700.0,0,0.018
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,25.0,-7.6,0.67,0.7,138,95,38380.0,0,0.018
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,35.0,-8.4,1.41,2.6,84,96,38360.0,0,0.018
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,25.0,-8.0,1.04,2.5,73,84,38360.0,0,0.018
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,-7.2,0.68,1.5,107,13,38660.0,0,0.018
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,25.0,-7.2,0.71,1.1,98,25,38640.0,0,0.018
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,20.0,-7.3,0.41,1.0,104,83,38640.0,0,0.018
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,10.0,-7.1,0.1,0.7,270,91,38620.0,0,0.018
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,-7.6,0.28,0.6,135,91,38620.0,0,0.018
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,-7.7,0.4,0.7,150,1,12600.0,1,0.018
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,65.0,-6.0,1.25,1.7,175,32,38300.0,1,0.018
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,-4.2,0.65,3.1,180,2,38600.0,1,0.018
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,150.0,-2.4,1.19,3.9,202,2,38820.0,1,0.018
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,205.0,-1.5,2.15,4.6,198,2,38820.0,1,0.018
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,270.0,-0.6,1.05,5.3,185,0,39000.0,1,0.018
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,295.0,0.4,1.2,4.0,222,0,38980.0,1,0.018
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,245.0,0.7,1.28,3.9,239,15,38980.0,1,0.018
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,90.0,-0.5,1.4,3.2,215,45,38960.0,1,0.018
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,50.0,-3.5,1.0,2.5,217,93,38780.0,0,0.018
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,40.0,-3.7,0.94,1.4,205,63,38760.0,0,0.018
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,20.0,-3.9,0.41,1.2,76,80,38760.0,0,0.018
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,-4.0,0.43,0.9,54,88,38740.0,0,0.018
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,30.0,-4.1,0.76,1.1,98,89,38740.0,0,0.018
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,65.0,-4.6,0.9,1.3,161,90,38720.0,0,0.018
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,30.0,-5.2,0.45,1.3,186,88,38720.0,0,0.018
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,-5.6,0.11,0.7,333,2,38700.0,0,0.018
