event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-13T11:00,2025-10-13T11:00,1,1,1.1,1.1,1.1,0.0,1.0,0.0001,4
1,2025-10-13T16:00,2025-10-13T18:00,3,3,0.433,0.5,1.3,0.133,0.4,0.0,6
2,2025-10-14T01:00,2025-10-14T03:00,3,3,1.433,2.0,4.3,0.384,0.974,0.0,151
3,2025-10-20T11:00,2025-10-20T11:00,1,1,1.1,1.1,1.1,0.0,1.0,0.0,373
4,2025-11-05T01:00,2025-11-05T12:00,12,12,0.767,1.1,9.2,0.301,0.054,0.0001,839
5,2025-12-10T12:00,2025-12-10T15:00,4,4,0.0,0.0,0.0,0.0,0.0,0.0,2
6,2025-12-10T18:00,2025-12-10T20:00,3,3,0.0,0.0,0.0,0.0,0.178,0.0,2173
7,2026-03-11T10:00,2026-03-11T13:00,4,3,0.0,0.0,0.0,0.0,0.0,0.0,312
8,2026-03-24T14:00,2026-03-24T19:00,6,6,1.2,2.4,7.2,0.778,0.142,0.014,433
9,2026-04-11T21:00,2026-04-11T22:00,2,2,0.5,0.6,1.0,0.283,1.0,0.0,60
10,2026-04-14T11:00,2026-04-14T11:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,73
11,2026-04-17T13:00,2026-04-17T16:00,4,4,1.625,2.8,6.5,0.537,0.315,0.0067,5
12,2026-04-17T22:00,2026-04-18T00:00,3,2,0.867,1.9,2.6,1.047,0.965,0.0,2
13,2026-04-18T03:00,2026-04-18T03:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,155
14,2026-04-24T15:00,2026-04-24T23:00,9,9,0.944,1.4,8.5,0.348,0.384,0.0015,6
15,2026-04-25T06:00,2026-04-25T07:00,2,2,0.3,0.3,0.6,0.0,0.5,0.0,86
16,2026-04-28T22:00,2026-04-29T00:00,3,3,0.733,0.9,2.2,0.394,0.0,0.0,299
17,2026-05-11T12:00,2026-05-11T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
18,2026-05-11T16:00,2026-05-11T18:00,3,3,0.933,1.4,2.8,0.609,0.0,0.0035,3
19,2026-05-11T22:00,2026-05-12T08:00,11,10,1.5,4.0,16.5,0.819,0.253,0.03,69
20,2026-05-15T06:00,2026-05-15T10:00,5,5,0.4,0.6,2.0,0.306,0.117,0.0,190
21,2026-05-23T09:00,2026-05-23T09:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,128
22,2026-05-28T18:00,2026-05-28T18:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,495
23,2026-06-18T10:00,2026-06-18T11:00,2,2,0.45,0.6,0.9,0.471,0.5,0.0,3
24,2026-06-18T15:00,2026-06-18T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,250
25,2026-06-29T02:00,2026-06-29T05:00,4,4,1.575,2.2,6.3,0.389,0.27,0.225,-1
