event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-01T05:00,2026-03-01T10:00,6,5,0.367,0.5,2.2,0.33,0.0,0.0,7
1,2026-03-01T18:00,2026-03-02T07:00,14,14,1.086,1.5,15.2,0.42,0.0,0.0006,78
2,2026-03-05T14:00,2026-03-05T15:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,120
3,2026-03-10T16:00,2026-03-10T17:00,2,2,0.45,0.5,0.9,0.157,1.0,0.0,2
4,2026-03-10T20:00,2026-03-10T22:00,3,3,1.067,2.2,3.2,0.92,0.933,0.0,528
5,2026-04-01T23:00,2026-04-01T23:00,1,1,1.6,1.6,1.6,0.0,1.0,0.0,38
6,2026-04-03T14:00,2026-04-03T16:00,3,3,0.833,1.3,2.5,0.5,0.467,0.0,123
7,2026-04-08T20:00,2026-04-09T03:00,8,8,0.95,1.9,7.6,0.598,0.064,0.0005,177
8,2026-04-16T13:00,2026-04-16T13:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,2
9,2026-04-16T16:00,2026-04-16T19:00,4,4,0.625,1.0,2.5,0.478,0.05,0.0,7
10,2026-04-17T03:00,2026-04-17T03:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,232
11,2026-04-26T20:00,2026-04-27T01:00,6,5,0.717,1.8,4.3,0.88,0.833,0.054,129
12,2026-05-02T11:00,2026-05-02T13:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,12
13,2026-05-03T02:00,2026-05-03T08:00,7,6,0.7,1.7,4.9,0.907,0.294,0.0009,85
14,2026-05-06T22:00,2026-05-07T00:00,3,3,1.1,1.3,3.3,0.315,0.048,0.0015,73
15,2026-05-10T02:00,2026-05-10T02:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,197
16,2026-05-18T08:00,2026-05-19T09:00,26,26,2.408,5.9,62.6,0.609,0.207,0.015,7
17,2026-05-19T17:00,2026-05-20T15:00,23,22,1.887,4.0,43.4,0.637,0.219,0.0195,47
18,2026-05-22T15:00,2026-05-22T16:00,2,2,0.65,1.0,1.3,0.761,0.4,0.0,3
19,2026-05-22T20:00,2026-05-22T20:00,1,1,1.1,1.1,1.1,0.0,0.909,0.0026,63
20,2026-05-25T12:00,2026-05-26T02:00,15,15,1.14,3.1,17.1,0.794,0.108,0.0105,214
21,2026-06-04T01:00,2026-06-04T03:00,3,3,0.433,0.6,1.3,0.353,0.556,0.0,45
22,2026-06-06T01:00,2026-06-06T04:00,4,4,0.675,1.1,2.7,0.489,0.0,0.001,14
23,2026-06-06T19:00,2026-06-06T20:00,2,2,1.45,1.7,2.9,0.244,0.816,0.0,8
24,2026-06-07T05:00,2026-06-07T05:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,46
25,2026-06-09T04:00,2026-06-09T06:00,3,3,0.533,0.7,1.6,0.39,0.476,0.0,104
26,2026-06-13T15:00,2026-06-13T15:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,12
27,2026-06-14T04:00,2026-06-14T05:00,2,2,0.65,0.9,1.3,0.544,0.639,0.0,72
28,2026-06-17T06:00,2026-06-17T06:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,57
29,2026-06-19T16:00,2026-06-19T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,125
30,2026-06-24T22:00,2026-06-24T23:00,2,2,0.7,0.7,1.4,0.0,0.285,0.0,3
31,2026-06-25T03:00,2026-06-25T03:00,1,1,0.7,0.7,0.7,0.0,0.714,0.0,150
