event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T14:00,2026-01-18T16:00,3,3,0.9,1.2,2.7,0.333,0.0,0.0,2
1,2026-01-18T19:00,2026-01-19T06:00,12,11,0.833,1.6,10.0,0.542,0.0,0.0001,2
2,2026-01-19T09:00,2026-01-19T13:00,5,5,0.46,0.6,2.3,0.248,0.0,0.0,6
3,2026-01-19T20:00,2026-01-19T20:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,127
4,2026-01-25T04:00,2026-01-25T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
5,2026-01-25T10:00,2026-01-25T12:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,3
6,2026-01-25T16:00,2026-01-25T16:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,86
7,2026-01-29T07:00,2026-01-29T08:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,3
8,2026-01-29T12:00,2026-01-29T22:00,11,11,0.673,1.3,7.4,0.515,0.0,0.0004,11
9,2026-01-30T10:00,2026-01-30T11:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,146
10,2026-02-05T14:00,2026-02-05T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,10
11,2026-02-06T01:00,2026-02-06T06:00,6,6,0.633,0.7,3.8,0.191,0.0,0.0,219
12,2026-02-15T10:00,2026-02-15T11:00,2,2,0.55,0.6,1.1,0.129,0.834,0.0,5
13,2026-02-15T17:00,2026-02-15T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
14,2026-02-15T23:00,2026-02-15T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,169
15,2026-02-23T01:00,2026-02-23T15:00,15,14,0.98,4.6,14.7,1.131,0.18,0.0037,45
16,2026-02-25T13:00,2026-02-25T13:00,1,1,1.8,1.8,1.8,0.0,0.889,0.012,5
17,2026-02-25T19:00,2026-02-26T01:00,7,7,2.271,10.8,15.9,1.666,0.415,0.009,7
18,2026-02-26T09:00,2026-02-26T10:00,2,2,0.45,0.5,0.9,0.157,0.775,0.0,43
19,2026-02-28T06:00,2026-02-28T06:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,2
20,2026-02-28T09:00,2026-02-28T11:00,3,3,0.5,0.6,1.5,0.2,0.25,0.0,2
21,2026-02-28T14:00,2026-02-28T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
22,2026-02-28T19:00,2026-03-01T09:00,15,15,1.16,2.1,17.4,0.531,0.0,0.0028,148
23,2026-03-07T14:00,2026-03-07T17:00,4,4,1.1,1.6,4.4,0.426,0.305,0.0,170
24,2026-03-14T20:00,2026-03-15T22:00,27,25,0.574,1.2,15.5,0.533,0.007,0.0002,4
25,2026-03-16T03:00,2026-03-16T12:00,10,10,1.32,4.1,13.2,0.806,0.175,0.0,11
26,2026-03-17T00:00,2026-03-17T10:00,11,11,1.664,3.8,18.3,0.716,0.268,0.0035,13
27,2026-03-18T00:00,2026-03-18T02:00,3,2,0.3,0.5,0.9,0.667,0.0,0.0,46
28,2026-03-20T01:00,2026-03-20T02:00,2,2,0.45,0.6,0.9,0.471,0.834,0.0,41
29,2026-03-21T20:00,2026-03-21T21:00,2,2,0.3,0.3,0.6,0.0,0.167,0.0,24
30,2026-03-22T22:00,2026-03-23T03:00,6,5,0.617,1.6,3.7,0.897,0.369,0.0,4
31,2026-03-23T08:00,2026-03-23T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,52
32,2026-03-25T13:00,2026-03-25T13:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,4
33,2026-03-25T18:00,2026-03-25T18:00,1,1,1.3,1.3,1.3,0.0,0.923,0.0,3
34,2026-03-25T22:00,2026-03-26T02:00,5,4,0.7,1.2,3.5,0.614,0.05,0.0002,80
35,2026-03-29T11:00,2026-03-30T01:00,15,13,0.987,4.7,14.8,1.163,0.296,0.0324,20
36,2026-03-30T22:00,2026-03-31T02:00,5,5,1.16,2.8,5.8,0.932,0.0,0.0,50
37,2026-04-02T05:00,2026-04-02T06:00,2,2,0.75,1.1,1.5,0.66,0.0,0.0,142
38,2026-04-08T05:00,2026-04-08T08:00,4,3,0.925,2.7,3.7,1.316,0.741,0.1594,2
39,2026-04-08T11:00,2026-04-08T19:00,9,9,6.156,24.9,55.4,1.262,0.831,0.755,2
40,2026-04-08T22:00,2026-04-09T05:00,8,8,2.525,5.9,20.2,0.819,0.55,0.0271,43
41,2026-04-11T01:00,2026-04-11T05:00,5,5,0.68,0.8,3.4,0.161,0.029,0.0,2
42,2026-04-11T08:00,2026-04-11T08:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
43,2026-04-11T11:00,2026-04-11T15:00,5,5,0.56,1.2,2.8,0.663,0.263,0.0012,39
44,2026-04-13T07:00,2026-04-13T09:00,3,3,2.633,3.1,7.9,0.244,0.178,0.0071,3
45,2026-04-13T13:00,2026-04-13T15:00,3,2,0.267,0.4,0.8,0.573,0.583,0.0,15
46,2026-04-14T07:00,2026-04-14T07:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,24
47,2026-04-15T08:00,2026-04-15T09:00,2,2,0.65,0.7,1.3,0.109,1.0,0.0,57
48,2026-04-17T19:00,2026-04-17T19:00,1,1,2.0,2.0,2.0,0.0,0.95,0.0663,61
49,2026-04-20T09:00,2026-04-20T20:00,12,11,0.558,1.0,6.7,0.455,0.0,0.0,11
50,2026-04-21T08:00,2026-04-21T16:00,9,9,1.433,2.3,12.9,0.381,0.275,0.0032,79
51,2026-04-25T00:00,2026-04-25T00:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,52
52,2026-04-27T05:00,2026-04-28T19:00,39,37,0.844,1.8,32.9,0.503,0.023,0.005,73
53,2026-05-01T21:00,2026-05-01T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
54,2026-05-02T00:00,2026-05-02T08:00,9,8,0.889,2.7,8.0,0.916,0.275,0.0004,105
55,2026-05-06T18:00,2026-05-07T04:00,11,11,2.064,7.2,22.7,1.049,0.253,0.0065,136
56,2026-05-12T21:00,2026-05-12T22:00,2,2,0.6,0.9,1.2,0.707,0.611,0.0,8
57,2026-05-13T07:00,2026-05-13T09:00,3,2,0.4,0.6,1.2,0.5,0.222,0.0,16
58,2026-05-14T02:00,2026-05-14T03:00,2,2,0.4,0.5,0.8,0.354,0.267,0.0,2
