event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-12T19:00,2025-10-12T19:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,29
1,2025-10-14T01:00,2025-10-14T02:00,2,2,1.9,2.8,3.8,0.67,0.743,0.0,32
2,2025-10-15T11:00,2025-10-15T13:00,3,2,0.233,0.4,0.7,0.892,0.25,0.0,5
3,2025-10-15T19:00,2025-10-15T21:00,3,3,0.967,1.7,2.9,0.689,0.167,0.014,41
4,2025-10-17T15:00,2025-10-17T16:00,2,2,5.05,7.0,10.1,0.546,0.834,0.285,32
5,2025-10-19T01:00,2025-10-19T01:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,6
6,2025-10-19T08:00,2025-10-19T09:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,3
7,2025-10-19T13:00,2025-10-19T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,149
8,2025-10-25T19:00,2025-10-25T19:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,102
9,2025-10-30T02:00,2025-10-30T03:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,2
10,2025-10-30T06:00,2025-10-30T06:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,3
11,2025-10-30T10:00,2025-10-30T12:00,3,3,0.7,1.1,2.1,0.571,0.182,0.0006,162
12,2025-11-06T07:00,2025-11-06T07:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,2
13,2025-11-06T10:00,2025-11-06T15:00,6,4,0.567,1.6,3.4,0.925,0.125,0.0,2
14,2025-11-06T18:00,2025-11-06T20:00,3,3,0.8,1.2,2.4,0.5,0.361,0.0,6
15,2025-11-07T03:00,2025-11-07T08:00,6,5,0.433,0.7,2.6,0.43,0.0,0.0,3
16,2025-11-07T12:00,2025-11-07T15:00,4,3,0.45,0.9,1.8,0.691,0.361,0.0,5
17,2025-11-07T21:00,2025-11-07T22:00,2,2,0.85,1.3,1.7,0.749,0.375,0.0,841
18,2025-12-13T00:00,2025-12-13T03:00,4,3,0.575,1.0,2.3,0.575,0.0,0.0,167
