event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-21T20:00,2026-01-21T22:00,3,2,0.267,0.5,0.8,0.944,0.067,0.0,25
1,2026-01-23T00:00,2026-01-23T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,360
2,2026-02-07T01:00,2026-02-07T02:00,2,2,0.7,0.8,1.4,0.202,0.0,0.0,82
3,2026-02-10T13:00,2026-02-10T19:00,7,5,0.471,1.1,3.3,0.645,0.603,0.0003,29
4,2026-02-12T01:00,2026-02-12T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,20
5,2026-02-12T22:00,2026-02-13T00:00,3,3,0.633,0.9,1.9,0.482,0.185,0.0,295
6,2026-02-25T08:00,2026-02-25T11:00,4,4,0.675,1.0,2.7,0.37,0.283,0.0,8
7,2026-02-25T20:00,2026-02-25T20:00,1,1,1.4,1.4,1.4,0.0,0.929,0.0,5
8,2026-02-26T02:00,2026-02-26T02:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,4
9,2026-02-26T07:00,2026-02-26T07:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,2
10,2026-02-26T10:00,2026-02-26T16:00,7,7,0.743,1.1,5.2,0.403,0.013,0.0016,5
11,2026-02-26T22:00,2026-02-26T22:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,3
12,2026-02-27T02:00,2026-02-27T02:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
13,2026-02-27T05:00,2026-02-27T05:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,3
14,2026-02-27T09:00,2026-02-27T13:00,5,4,0.36,0.6,1.8,0.505,0.333,0.0,3
15,2026-02-27T17:00,2026-02-27T20:00,4,3,0.825,1.9,3.3,0.936,0.674,0.0225,3
16,2026-02-28T00:00,2026-02-28T02:00,3,3,1.7,3.0,5.1,0.678,0.718,0.0375,7
17,2026-02-28T10:00,2026-02-28T13:00,4,4,0.675,0.9,2.7,0.253,0.537,0.0,5
18,2026-02-28T19:00,2026-03-01T01:00,7,7,1.614,4.3,11.3,1.101,0.727,0.0852,11
19,2026-03-01T13:00,2026-03-01T13:00,1,1,1.8,1.8,1.8,0.0,0.944,0.045,6
20,2026-03-01T20:00,2026-03-01T20:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,8
21,2026-03-02T05:00,2026-03-02T05:00,1,1,1.5,1.5,1.5,0.0,0.6,0.0088,14
22,2026-03-02T20:00,2026-03-02T21:00,2,2,0.85,1.2,1.7,0.582,0.433,0.0027,4
23,2026-03-03T02:00,2026-03-03T08:00,7,7,1.571,3.1,11.0,0.574,0.093,0.0053,21
24,2026-03-04T06:00,2026-03-04T08:00,3,3,0.4,0.5,1.2,0.25,0.083,0.0,98
25,2026-03-08T11:00,2026-03-08T12:00,2,2,0.4,0.4,0.8,0.0,1.0,0.0,22
26,2026-03-09T11:00,2026-03-09T14:00,4,4,0.6,1.1,2.4,0.638,0.153,0.0,214
27,2026-03-18T13:00,2026-03-18T15:00,3,2,0.233,0.3,0.7,0.495,0.556,0.0,41
28,2026-03-20T09:00,2026-03-20T09:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,3
29,2026-03-20T13:00,2026-03-20T13:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,36
30,2026-03-22T02:00,2026-03-22T02:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,3
31,2026-03-22T06:00,2026-03-22T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,102
32,2026-03-26T13:00,2026-03-26T13:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,2
33,2026-03-26T16:00,2026-03-26T16:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,19
34,2026-03-27T12:00,2026-03-27T12:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,14
35,2026-03-28T03:00,2026-03-28T06:00,4,4,0.35,0.5,1.4,0.286,0.45,0.0,2
36,2026-03-28T09:00,2026-03-28T12:00,4,4,1.3,1.9,5.2,0.537,0.773,0.1282,18
37,2026-03-29T07:00,2026-03-29T09:00,3,3,5.567,8.1,16.7,0.51,0.748,0.64,11
38,2026-03-29T21:00,2026-03-30T01:00,5,3,1.6,6.2,8.0,1.625,0.3,0.675,4
39,2026-03-30T06:00,2026-03-30T11:00,6,5,1.15,3.6,6.9,1.247,0.833,0.5005,10
40,2026-03-30T22:00,2026-03-30T22:00,1,1,2.9,2.9,2.9,0.0,0.931,0.1401,4
41,2026-03-31T03:00,2026-03-31T07:00,5,5,1.44,3.4,7.2,0.896,0.749,0.246,29
42,2026-04-01T13:00,2026-04-01T13:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,11
43,2026-04-02T01:00,2026-04-02T01:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,2
44,2026-04-02T04:00,2026-04-02T05:00,2,2,1.2,2.1,2.4,1.061,0.595,0.1361,3
45,2026-04-02T09:00,2026-04-02T12:00,4,4,9.625,13.8,38.5,0.413,0.966,0.47,8
46,2026-04-02T21:00,2026-04-02T22:00,2,2,0.65,0.7,1.3,0.109,1.0,0.0,7
47,2026-04-03T06:00,2026-04-03T10:00,5,4,0.52,0.9,2.6,0.644,0.428,0.0,33
48,2026-04-04T20:00,2026-04-04T20:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,4
49,2026-04-05T01:00,2026-04-05T01:00,1,1,0.8,0.8,0.8,0.0,0.875,0.0,4
50,2026-04-05T06:00,2026-04-05T11:00,6,6,1.667,4.5,10.0,0.849,0.62,0.4594,11
51,2026-04-05T23:00,2026-04-06T00:00,2,2,0.9,1.0,1.8,0.157,0.825,0.0,8
52,2026-04-06T09:00,2026-04-06T09:00,1,1,0.6,0.6,0.6,0.0,0.667,0.0,18
53,2026-04-07T04:00,2026-04-07T04:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
54,2026-04-07T07:00,2026-04-07T07:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,23
55,2026-04-08T07:00,2026-04-08T07:00,1,1,1.5,1.5,1.5,0.0,0.933,0.125,69
56,2026-04-11T05:00,2026-04-11T05:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,2
57,2026-04-11T08:00,2026-04-11T08:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,24
58,2026-04-12T09:00,2026-04-12T09:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,22
59,2026-04-13T08:00,2026-04-13T08:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,47
60,2026-04-15T08:00,2026-04-15T09:00,2,2,1.95,3.4,3.9,1.052,0.9,0.489,21
61,2026-04-16T07:00,2026-04-16T07:00,1,1,2.9,2.9,2.9,0.0,1.0,0.266,3
62,2026-04-16T11:00,2026-04-16T12:00,2,2,2.35,4.4,4.7,1.234,0.633,0.272,8
63,2026-04-16T21:00,2026-04-16T21:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
64,2026-04-17T01:00,2026-04-17T07:00,7,7,2.843,7.8,19.9,0.951,0.062,0.0875,53
65,2026-04-19T13:00,2026-04-19T13:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,3
66,2026-04-19T17:00,2026-04-19T20:00,4,3,0.95,3.0,3.8,1.445,0.662,0.145,4
67,2026-04-20T01:00,2026-04-20T12:00,12,10,2.25,9.4,27.0,1.366,0.589,0.5029,16
68,2026-04-21T05:00,2026-04-21T05:00,1,1,1.7,1.7,1.7,0.0,0.529,0.0726,2
69,2026-04-21T08:00,2026-04-21T12:00,5,5,2.06,4.4,10.3,0.955,0.701,0.4125,6
