event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T12:00,2026-01-18T13:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,3
1,2026-01-18T17:00,2026-01-18T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
2,2026-01-18T20:00,2026-01-18T21:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,5
3,2026-01-19T03:00,2026-01-19T04:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,2
4,2026-01-19T07:00,2026-01-19T11:00,5,4,0.3,0.4,1.5,0.236,0.0,0.0,138
5,2026-01-25T06:00,2026-01-25T06:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,5
6,2026-01-25T12:00,2026-01-25T13:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,84
7,2026-01-29T02:00,2026-01-29T02:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
8,2026-01-29T06:00,2026-01-29T18:00,13,12,0.692,1.7,9.0,0.668,0.027,0.0,14
9,2026-01-30T09:00,2026-01-30T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,381
10,2026-02-15T07:00,2026-02-15T13:00,7,6,0.629,1.1,4.4,0.557,0.512,0.0,3
11,2026-02-15T17:00,2026-02-15T18:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,2
12,2026-02-15T21:00,2026-02-15T22:00,2,2,0.45,0.6,0.9,0.471,0.0,0.0,2
13,2026-02-16T01:00,2026-02-16T06:00,6,4,0.3,0.4,1.8,0.298,0.0,0.0,163
14,2026-02-23T02:00,2026-02-23T03:00,2,2,0.9,1.4,1.8,0.786,0.0,0.0005,2
15,2026-02-23T06:00,2026-02-23T08:00,3,3,0.667,1.0,2.0,0.458,0.0,0.0,2
16,2026-02-23T11:00,2026-02-23T14:00,4,4,0.35,0.5,1.4,0.286,0.15,0.0,43
17,2026-02-25T10:00,2026-02-25T10:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,2
18,2026-02-25T13:00,2026-02-25T13:00,1,1,3.0,3.0,3.0,0.0,0.833,0.0,3
19,2026-02-25T17:00,2026-02-25T22:00,6,5,0.55,1.3,3.3,0.786,0.244,0.0011,2
20,2026-02-26T01:00,2026-02-26T01:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,11
21,2026-02-26T13:00,2026-02-26T13:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,41
22,2026-02-28T07:00,2026-02-28T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
23,2026-02-28T10:00,2026-02-28T12:00,3,3,0.567,0.8,1.7,0.367,0.0,0.0,6
24,2026-02-28T19:00,2026-03-01T08:00,14,14,0.886,1.5,12.4,0.406,0.014,0.0019,94
25,2026-03-05T07:00,2026-03-05T07:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,55
26,2026-03-07T15:00,2026-03-07T17:00,3,3,0.5,0.8,1.5,0.529,0.083,0.0,169
27,2026-03-14T19:00,2026-03-15T19:00,25,24,0.688,1.0,17.2,0.303,0.0,0.0,3
28,2026-03-15T23:00,2026-03-15T23:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,2
29,2026-03-16T02:00,2026-03-16T11:00,10,10,1.33,2.9,13.3,0.593,0.185,0.0,12
30,2026-03-17T00:00,2026-03-17T07:00,8,8,1.613,2.6,12.9,0.43,0.211,0.0013,15
31,2026-03-17T23:00,2026-03-18T02:00,4,3,0.525,0.7,2.1,0.422,0.566,0.0,115
32,2026-03-22T22:00,2026-03-23T03:00,6,4,0.317,0.7,1.9,0.924,0.198,0.0,56
33,2026-03-25T12:00,2026-03-25T12:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,4
34,2026-03-25T17:00,2026-03-25T18:00,2,2,0.8,1.0,1.6,0.354,0.134,0.0,3
35,2026-03-25T22:00,2026-03-25T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
36,2026-03-26T01:00,2026-03-26T01:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,5
37,2026-03-26T07:00,2026-03-26T08:00,2,2,0.35,0.4,0.7,0.202,0.834,0.0,73
38,2026-03-29T10:00,2026-03-30T00:00,15,12,1.567,7.3,23.5,1.304,0.313,0.0,21
39,2026-03-30T22:00,2026-03-31T00:00,3,3,1.4,2.5,4.2,0.689,0.1,0.0,53
40,2026-04-02T06:00,2026-04-02T06:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,4
41,2026-04-02T11:00,2026-04-02T11:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,131
42,2026-04-07T23:00,2026-04-07T23:00,1,1,1.2,1.2,1.2,0.0,1.0,0.0015,3
43,2026-04-08T03:00,2026-04-08T06:00,4,4,1.8,2.6,7.2,0.377,0.945,0.114,3
44,2026-04-08T10:00,2026-04-08T11:00,2,2,2.4,2.7,4.8,0.177,0.91,0.2784,2
45,2026-04-08T14:00,2026-04-09T03:00,14,13,3.95,16.6,55.3,1.329,0.449,0.755,3
46,2026-04-09T07:00,2026-04-09T07:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,43
47,2026-04-11T03:00,2026-04-11T08:00,6,5,0.567,1.0,3.4,0.554,0.045,0.0,2
48,2026-04-11T11:00,2026-04-11T16:00,6,6,2.517,5.7,15.1,0.873,0.53,0.018,38
49,2026-04-13T07:00,2026-04-13T10:00,4,4,1.775,2.4,7.1,0.277,0.215,0.0052,16
50,2026-04-14T03:00,2026-04-14T03:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,40
51,2026-04-15T20:00,2026-04-15T20:00,1,1,1.0,1.0,1.0,0.0,0.9,0.0,43
52,2026-04-17T16:00,2026-04-17T16:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,55
53,2026-04-20T00:00,2026-04-20T00:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,8
54,2026-04-20T09:00,2026-04-20T19:00,11,10,0.473,1.1,5.2,0.568,0.0,0.0001,5
55,2026-04-21T01:00,2026-04-21T02:00,2,2,0.5,0.7,1.0,0.566,0.0,0.0,4
56,2026-04-21T07:00,2026-04-21T17:00,11,11,1.4,2.3,15.4,0.512,0.185,0.0055,76
57,2026-04-24T22:00,2026-04-25T04:00,7,6,1.0,2.0,7.0,0.728,0.516,0.0069,48
58,2026-04-27T05:00,2026-04-28T10:00,30,27,0.98,1.9,29.4,0.589,0.02,0.025,2
59,2026-04-28T13:00,2026-04-28T18:00,6,6,0.5,0.8,3.0,0.358,0.0,0.0,79
60,2026-05-02T02:00,2026-05-02T08:00,7,7,0.886,1.8,6.2,0.599,0.202,0.0,105
61,2026-05-06T18:00,2026-05-07T02:00,9,9,2.389,5.5,21.5,0.604,0.236,0.007,135
62,2026-05-12T18:00,2026-05-12T18:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,2
63,2026-05-12T21:00,2026-05-12T22:00,2,2,0.9,0.9,1.8,0.0,0.834,0.0,3
64,2026-05-13T02:00,2026-05-13T02:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,26
65,2026-05-14T05:00,2026-05-14T05:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,8
66,2026-05-14T14:00,2026-05-14T14:00,1,1,0.9,0.9,0.9,0.0,0.778,0.0,8
67,2026-05-14T23:00,2026-05-14T23:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,6
68,2026-05-15T06:00,2026-05-15T10:00,5,4,0.44,0.8,2.2,0.57,0.417,0.0,39
69,2026-05-17T02:00,2026-05-17T03:00,2,2,0.4,0.5,0.8,0.354,0.734,0.0,3
70,2026-05-17T07:00,2026-05-17T10:00,4,4,0.7,1.1,2.8,0.583,0.384,0.0098,2
71,2026-05-17T13:00,2026-05-17T15:00,3,3,0.833,1.1,2.5,0.454,0.0,0.0031,5
72,2026-05-17T21:00,2026-05-18T19:00,23,22,2.504,14.7,57.6,1.584,0.321,0.14,10
73,2026-05-19T06:00,2026-05-19T11:00,6,6,0.8,1.5,4.8,0.602,0.0,0.0025,2
74,2026-05-19T14:00,2026-05-19T17:00,4,3,1.775,4.2,7.1,1.098,0.651,0.0019,2
75,2026-05-19T20:00,2026-05-19T20:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,43
76,2026-05-21T16:00,2026-05-21T17:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,14
77,2026-05-22T08:00,2026-05-22T09:00,2,2,2.0,2.5,4.0,0.354,0.78,0.0863,18
78,2026-05-23T04:00,2026-05-23T05:00,2,2,1.0,1.5,2.0,0.707,0.4,0.0906,12
79,2026-05-23T18:00,2026-05-24T13:00,20,19,3.275,13.5,65.5,1.177,0.603,0.565,2
80,2026-05-24T16:00,2026-05-25T04:00,13,12,1.846,7.4,24.0,1.101,0.349,0.65,2
81,2026-05-25T07:00,2026-05-25T09:00,3,3,3.067,4.3,9.2,0.641,0.62,0.775,13
82,2026-05-25T23:00,2026-05-25T23:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,25
83,2026-05-27T01:00,2026-05-27T02:00,2,2,1.6,2.3,3.2,0.619,0.152,0.0097,29
84,2026-05-28T08:00,2026-05-28T08:00,1,1,0.8,0.8,0.8,0.0,0.875,0.0,7
85,2026-05-28T16:00,2026-05-28T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
86,2026-05-28T19:00,2026-05-28T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,153
87,2026-06-04T05:00,2026-06-04T05:00,1,1,1.0,1.0,1.0,0.0,0.5,0.0,21
88,2026-06-05T03:00,2026-06-05T03:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,34
89,2026-06-06T14:00,2026-06-06T20:00,7,7,1.4,5.0,9.8,1.188,0.477,0.6,16
90,2026-06-07T13:00,2026-06-07T21:00,9,8,1.3,3.7,11.7,0.934,0.03,0.0004,2
91,2026-06-08T00:00,2026-06-08T00:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,102
92,2026-06-12T07:00,2026-06-12T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,10
93,2026-06-12T18:00,2026-06-12T22:00,5,5,1.36,3.1,6.8,0.808,0.019,0.0105,122
94,2026-06-18T01:00,2026-06-18T23:00,23,21,1.748,5.9,40.2,0.955,0.295,0.315,2
95,2026-06-19T02:00,2026-06-19T03:00,2,2,0.55,0.6,1.1,0.129,0.817,0.0,42
96,2026-06-20T22:00,2026-06-20T23:00,2,2,0.35,0.4,0.7,0.202,0.125,0.0,6
97,2026-06-21T06:00,2026-06-21T17:00,12,11,2.142,10.1,25.7,1.28,0.284,0.035,9
98,2026-06-22T03:00,2026-06-22T09:00,7,7,1.471,3.0,10.3,0.706,0.56,0.02,6
99,2026-06-22T16:00,2026-06-22T22:00,7,6,1.029,1.7,7.2,0.634,0.265,0.0149,6
100,2026-06-23T05:00,2026-06-23T08:00,4,4,0.5,1.0,2.0,0.673,0.338,0.0,37
101,2026-06-24T22:00,2026-06-24T23:00,2,2,0.3,0.3,0.6,0.0,0.333,0.0,103
102,2026-06-29T07:00,2026-06-29T07:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,21
103,2026-06-30T05:00,2026-06-30T09:00,5,4,0.88,1.6,4.4,0.63,0.0,0.0128,3
104,2026-06-30T13:00,2026-06-30T13:00,1,1,1.0,1.0,1.0,0.0,0.0,0.0,2
105,2026-06-30T16:00,2026-06-30T16:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,38
106,2026-07-02T07:00,2026-07-03T06:00,24,24,2.075,6.3,49.8,0.787,0.569,0.525,2
107,2026-07-03T09:00,2026-07-03T16:00,8,7,0.412,0.7,3.3,0.457,0.021,0.0,3
108,2026-07-03T20:00,2026-07-04T11:00,16,14,1.087,2.9,17.4,0.782,0.107,0.323,4
109,2026-07-04T16:00,2026-07-04T18:00,3,2,0.267,0.3,0.8,0.217,0.167,0.0,31
110,2026-07-06T02:00,2026-07-07T02:00,25,25,3.508,24.6,87.7,1.522,0.321,0.475,2
111,2026-07-07T05:00,2026-07-07T07:00,3,3,0.433,0.5,1.3,0.266,0.444,0.0,7
112,2026-07-07T15:00,2026-07-07T15:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,15
113,2026-07-08T07:00,2026-07-08T07:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,165
114,2026-07-15T05:00,2026-07-15T07:00,3,3,0.333,0.4,1.0,0.173,0.278,0.0,48
115,2026-07-17T08:00,2026-07-17T08:00,1,1,0.9,0.9,0.9,0.0,0.333,0.0,5
116,2026-07-17T14:00,2026-07-17T14:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,4
117,2026-07-17T19:00,2026-07-17T20:00,2,2,0.9,1.5,1.8,0.943,0.4,0.0731,2
118,2026-07-17T23:00,2026-07-18T00:00,2,2,1.3,2.1,2.6,0.87,0.876,0.0743,74
119,2026-07-21T03:00,2026-07-21T06:00,4,4,0.825,1.4,3.3,0.508,0.786,0.1,12
120,2026-07-21T19:00,2026-07-22T09:00,15,14,1.187,3.4,17.8,0.73,0.512,0.252,20
121,2026-07-23T06:00,2026-07-23T07:00,2,2,0.3,0.3,0.6,0.0,0.834,0.0,2
122,2026-07-23T10:00,2026-07-23T11:00,2,2,0.7,1.0,1.4,0.606,0.15,0.0,7
123,2026-07-23T19:00,2026-07-23T19:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,35
124,2026-07-25T07:00,2026-07-25T07:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,21
125,2026-07-26T05:00,2026-07-26T09:00,5,4,0.6,1.1,3.0,0.755,0.502,0.025,3
126,2026-07-26T13:00,2026-07-26T13:00,1,1,1.6,1.6,1.6,0.0,0.0,0.15,18
127,2026-07-27T08:00,2026-07-27T08:00,1,1,1.1,1.1,1.1,0.0,0.364,0.0116,5
128,2026-07-27T14:00,2026-07-27T18:00,5,5,0.84,1.4,4.2,0.418,0.067,0.0495,8
129,2026-07-28T03:00,2026-07-29T07:00,29,28,1.886,6.2,54.7,0.936,0.666,1.0,2
130,2026-07-29T10:00,2026-07-29T10:00,1,1,1.6,1.6,1.6,0.0,1.0,0.15,80
131,2026-08-01T19:00,2026-08-01T20:00,2,2,0.4,0.5,0.8,0.354,0.3,0.0,11
132,2026-08-02T08:00,2026-08-02T09:00,2,2,0.3,0.3,0.6,0.0,0.834,0.0,54
133,2026-08-04T16:00,2026-08-04T17:00,2,2,1.65,2.4,3.3,0.643,0.778,0.35,-1
