event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-04-04T23:00,2026-04-04T23:00,1,1,0.0,0.0,0.0,0.0,0.25,0.0,24
1,2026-04-06T00:00,2026-04-06T00:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,629
2,2026-05-02T06:00,2026-05-02T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,102
3,2026-05-06T13:00,2026-05-06T13:00,1,1,0.8,0.8,0.8,0.0,0.375,0.0,190
4,2026-05-14T12:00,2026-05-14T14:00,3,2,0.367,0.6,1.1,0.877,0.333,0.0,13
5,2026-05-15T04:00,2026-05-15T06:00,3,3,0.733,0.9,2.2,0.284,0.0,0.0,16
6,2026-05-15T23:00,2026-05-16T03:00,5,5,1.36,2.6,6.8,0.651,0.05,0.01,4
7,2026-05-16T08:00,2026-05-16T13:00,6,6,0.9,1.8,5.4,0.636,0.0,0.0007,49
8,2026-05-18T15:00,2026-05-18T16:00,2,2,1.5,2.3,3.0,0.754,1.0,0.0016,70
9,2026-05-21T15:00,2026-05-21T18:00,4,4,0.6,0.9,2.4,0.408,0.0,0.0,75
10,2026-05-24T22:00,2026-05-24T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,40
11,2026-05-26T15:00,2026-05-26T17:00,3,2,0.367,0.7,1.1,0.833,0.301,0.0,8
12,2026-05-27T02:00,2026-05-27T03:00,2,2,0.55,0.7,1.1,0.386,0.465,0.0,28
13,2026-05-28T08:00,2026-05-28T08:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,186
14,2026-06-05T03:00,2026-06-05T03:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,3
15,2026-06-05T07:00,2026-06-05T07:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,73
16,2026-06-08T09:00,2026-06-08T09:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,6
17,2026-06-08T16:00,2026-06-08T19:00,4,4,0.425,0.8,1.7,0.588,0.604,0.0,2
18,2026-06-08T22:00,2026-06-08T23:00,2,2,0.4,0.5,0.8,0.354,0.834,0.0,3
19,2026-06-09T03:00,2026-06-09T07:00,5,4,0.7,2.1,3.5,1.138,0.719,0.0055,2
20,2026-06-09T10:00,2026-06-09T10:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,17
21,2026-06-10T04:00,2026-06-10T05:00,2,2,2.15,2.9,4.3,0.493,0.733,0.013,55
22,2026-06-12T13:00,2026-06-12T14:00,2,2,1.45,2.0,2.9,0.536,0.572,0.0737,16
23,2026-06-13T07:00,2026-06-13T09:00,3,3,0.8,1.5,2.4,0.781,0.267,0.0387,3
24,2026-06-13T13:00,2026-06-13T15:00,3,3,0.6,1.1,1.8,0.726,0.439,0.0009,44
25,2026-06-15T12:00,2026-06-15T12:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,67
26,2026-06-18T08:00,2026-06-18T08:00,1,1,1.4,1.4,1.4,0.0,1.0,0.0005,21
27,2026-06-19T06:00,2026-06-19T06:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,4
28,2026-06-19T11:00,2026-06-19T17:00,7,6,0.914,2.7,6.4,0.927,0.335,0.0298,58
29,2026-06-22T04:00,2026-06-22T04:00,1,1,0.8,0.8,0.8,0.0,0.875,0.0,111
30,2026-06-26T20:00,2026-06-26T20:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,6
31,2026-06-27T03:00,2026-06-27T03:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,4
32,2026-06-27T08:00,2026-06-27T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,45
33,2026-06-29T06:00,2026-06-29T08:00,3,2,0.767,1.8,2.3,1.212,0.289,0.04,25
34,2026-06-30T10:00,2026-06-30T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,20
35,2026-07-01T07:00,2026-07-01T08:00,2,2,0.4,0.5,0.8,0.354,0.2,0.0,19
36,2026-07-02T04:00,2026-07-02T05:00,2,2,0.35,0.4,0.7,0.202,0.459,0.0,17
37,2026-07-02T23:00,2026-07-03T00:00,2,2,2.05,2.2,4.1,0.103,0.736,0.0,15
38,2026-07-03T16:00,2026-07-03T16:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,4
39,2026-07-03T21:00,2026-07-03T22:00,2,2,1.25,1.8,2.5,0.622,0.73,0.005,4
40,2026-07-04T03:00,2026-07-04T05:00,3,3,0.767,1.1,2.3,0.458,0.814,0.0081,4
41,2026-07-04T10:00,2026-07-04T10:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
42,2026-07-04T13:00,2026-07-04T18:00,6,6,0.95,1.8,5.7,0.634,0.444,0.0175,6
43,2026-07-05T01:00,2026-07-05T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
44,2026-07-05T04:00,2026-07-05T05:00,2,2,0.35,0.4,0.7,0.202,0.709,0.0,4
45,2026-07-05T10:00,2026-07-05T10:00,1,1,1.2,1.2,1.2,0.0,0.333,0.0175,3
46,2026-07-05T14:00,2026-07-05T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
47,2026-07-05T20:00,2026-07-05T22:00,3,3,1.133,1.9,3.4,0.662,0.501,0.0079,5
48,2026-07-06T04:00,2026-07-06T06:00,3,3,0.5,0.6,1.5,0.2,0.45,0.0,8
49,2026-07-06T15:00,2026-07-06T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
50,2026-07-06T19:00,2026-07-07T03:00,9,8,1.167,3.2,10.5,0.851,0.722,0.2035,6
51,2026-07-07T10:00,2026-07-07T10:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
52,2026-07-07T13:00,2026-07-07T14:00,2,2,1.85,2.8,3.7,0.726,0.41,0.063,4
53,2026-07-07T19:00,2026-07-07T19:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,7
54,2026-07-08T03:00,2026-07-08T06:00,4,4,2.025,3.5,8.1,0.586,0.865,0.2219,7
55,2026-07-08T14:00,2026-07-08T17:00,4,4,0.35,0.4,1.4,0.165,0.167,0.0,19
56,2026-07-09T13:00,2026-07-09T13:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,17
57,2026-07-10T07:00,2026-07-10T11:00,5,4,0.34,0.5,1.7,0.335,0.0,0.0,30
58,2026-07-11T18:00,2026-07-11T20:00,3,3,0.7,1.2,2.1,0.655,0.0,0.004,140
59,2026-07-17T17:00,2026-07-17T21:00,5,5,0.98,2.4,4.9,0.836,0.117,0.1435,41
60,2026-07-19T15:00,2026-07-19T16:00,2,2,4.35,4.4,8.7,0.016,1.0,0.4123,8
61,2026-07-20T01:00,2026-07-20T08:00,8,7,2.538,12.4,20.3,1.729,0.352,0.56,2
62,2026-07-20T11:00,2026-07-20T12:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,4
63,2026-07-20T17:00,2026-07-20T18:00,2,2,0.35,0.4,0.7,0.202,0.291,0.0,42
64,2026-07-22T13:00,2026-07-22T13:00,1,1,1.7,1.7,1.7,0.0,0.706,0.1522,266
65,2026-08-02T16:00,2026-08-02T17:00,2,2,0.55,0.7,1.1,0.386,0.428,0.0,2
66,2026-08-02T20:00,2026-08-02T21:00,2,2,1.75,1.8,3.5,0.04,0.0,0.0009,4
67,2026-08-03T02:00,2026-08-03T02:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,11
68,2026-08-03T14:00,2026-08-03T17:00,4,4,0.75,1.2,3.0,0.56,0.0,0.006,19
69,2026-08-04T13:00,2026-08-04T14:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,-1
