event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-25T14:00,2026-02-25T14:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,308
1,2026-03-10T11:00,2026-03-10T11:00,1,1,1.6,1.6,1.6,0.0,1.0,0.0008,70
2,2026-03-13T10:00,2026-03-13T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,9
3,2026-03-13T20:00,2026-03-13T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
4,2026-03-14T02:00,2026-03-14T09:00,8,8,0.475,0.7,3.8,0.313,0.0,0.0,175
5,2026-03-21T17:00,2026-03-21T17:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,164
6,2026-03-28T14:00,2026-03-28T15:00,2,2,0.8,1.2,1.6,0.707,0.0,0.0032,53
7,2026-03-30T21:00,2026-03-30T23:00,3,3,1.367,2.7,4.1,0.848,1.0,0.0,198
8,2026-04-08T06:00,2026-04-08T10:00,5,5,0.48,0.7,2.4,0.309,0.171,0.0,3
9,2026-04-08T14:00,2026-04-08T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,178
10,2026-04-16T01:00,2026-04-16T02:00,2,2,0.55,0.6,1.1,0.129,0.267,0.0,76
11,2026-04-19T07:00,2026-04-19T08:00,2,2,3.7,5.0,7.4,0.497,0.666,0.48,3
12,2026-04-19T12:00,2026-04-19T12:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,166
13,2026-04-26T11:00,2026-04-26T11:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,142
14,2026-05-02T10:00,2026-05-02T14:00,5,5,1.32,3.5,6.6,0.939,0.463,0.0531,16
15,2026-05-03T07:00,2026-05-03T07:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,75
16,2026-05-06T11:00,2026-05-06T11:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,233
17,2026-05-16T05:00,2026-05-16T06:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,2
18,2026-05-16T09:00,2026-05-16T12:00,4,4,1.025,1.3,4.1,0.216,0.555,0.0,2
19,2026-05-16T15:00,2026-05-16T19:00,5,5,1.82,3.4,9.1,0.729,0.507,0.026,2
20,2026-05-16T22:00,2026-05-17T02:00,5,5,2.84,4.8,14.2,0.676,0.603,0.0438,4
21,2026-05-17T07:00,2026-05-17T21:00,15,15,4.047,10.8,60.7,0.709,0.366,0.0225,50
22,2026-05-20T00:00,2026-05-20T00:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,6
23,2026-05-20T07:00,2026-05-20T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,32
24,2026-05-21T16:00,2026-05-21T16:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,4
25,2026-05-21T21:00,2026-05-21T22:00,2,2,0.75,1.1,1.5,0.66,0.0,0.0011,2
26,2026-05-22T01:00,2026-05-22T04:00,4,4,1.5,2.5,6.0,0.66,0.436,0.0112,64
27,2026-05-24T21:00,2026-05-25T09:00,13,13,2.485,4.6,32.3,0.435,0.203,0.018,3
28,2026-05-25T13:00,2026-05-26T01:00,13,12,0.469,0.9,6.1,0.447,0.026,0.0,232
29,2026-06-04T18:00,2026-06-04T19:00,2,2,0.35,0.4,0.7,0.202,1.0,0.0,17
30,2026-06-05T13:00,2026-06-05T19:00,7,6,1.757,6.7,12.3,1.349,0.422,0.015,2
31,2026-06-05T22:00,2026-06-05T23:00,2,2,1.95,2.3,3.9,0.254,0.957,0.0,2
32,2026-06-06T02:00,2026-06-06T02:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,586
33,2026-06-30T13:00,2026-06-30T13:00,1,1,0.8,0.8,0.8,0.0,0.0,0.0,116
34,2026-07-05T10:00,2026-07-05T10:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,2
35,2026-07-05T13:00,2026-07-05T15:00,3,3,1.333,1.8,4.0,0.338,0.789,0.108,48
36,2026-07-07T16:00,2026-07-07T17:00,2,2,4.55,8.4,9.1,1.197,0.459,0.555,71
37,2026-07-10T17:00,2026-07-10T19:00,3,2,0.333,0.5,1.0,0.624,0.267,0.0,15
38,2026-07-11T11:00,2026-07-11T12:00,2,2,1.4,1.9,2.8,0.505,0.158,0.1091,14
39,2026-07-12T03:00,2026-07-12T03:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,2
40,2026-07-12T06:00,2026-07-12T10:00,5,5,0.72,1.2,3.6,0.475,0.34,0.0227,51
41,2026-07-14T14:00,2026-07-15T01:00,12,12,3.55,13.0,42.6,1.176,0.402,0.075,38
42,2026-07-16T16:00,2026-07-17T02:00,11,11,1.527,3.7,16.8,0.661,0.045,0.0105,82
43,2026-07-20T13:00,2026-07-20T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,20
44,2026-07-21T10:00,2026-07-21T11:00,2,2,1.2,1.8,2.4,0.707,0.445,0.2,17
45,2026-07-22T05:00,2026-07-22T06:00,2,2,0.7,1.1,1.4,0.808,0.606,0.0224,3
46,2026-07-22T10:00,2026-07-22T15:00,6,6,2.217,5.6,13.3,1.07,0.357,0.165,25
47,2026-07-23T17:00,2026-07-23T18:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,4
48,2026-07-23T23:00,2026-07-24T00:00,2,2,0.35,0.4,0.7,0.202,0.167,0.0,10
49,2026-07-24T11:00,2026-07-24T11:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,15
50,2026-07-25T03:00,2026-07-25T04:00,2,2,0.45,0.6,0.9,0.471,0.667,0.0,3
51,2026-07-25T08:00,2026-07-25T11:00,4,4,0.65,0.9,2.6,0.266,0.139,0.0,15
52,2026-07-26T03:00,2026-07-26T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
53,2026-07-26T06:00,2026-07-26T08:00,3,2,0.2,0.3,0.6,0.866,0.333,0.0,2
54,2026-07-26T11:00,2026-07-26T12:00,2,2,1.5,2.1,3.0,0.566,0.428,0.1279,4
55,2026-07-26T17:00,2026-07-26T18:00,2,2,2.1,3.1,4.2,0.673,0.452,0.2625,11
56,2026-07-27T06:00,2026-07-27T12:00,7,7,1.429,3.7,10.0,0.913,0.544,0.675,10
57,2026-07-27T23:00,2026-07-27T23:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,15
58,2026-07-28T15:00,2026-07-28T15:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,60
59,2026-07-31T04:00,2026-07-31T04:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
60,2026-07-31T07:00,2026-07-31T08:00,2,2,0.6,0.7,1.2,0.236,0.715,0.0,4
61,2026-07-31T13:00,2026-07-31T14:00,2,2,0.8,0.9,1.6,0.177,1.0,0.0,64
62,2026-08-03T07:00,2026-08-03T09:00,3,3,1.167,1.9,3.5,0.693,0.564,0.171,21
63,2026-08-04T07:00,2026-08-04T08:00,2,2,3.55,6.8,7.1,1.295,0.463,0.45,-1
