event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-08T15:00,2025-10-08T18:00,4,4,2.875,6.4,11.5,0.831,0.933,0.03,50
1,2025-10-10T21:00,2025-10-11T04:00,8,8,0.763,1.2,6.1,0.384,0.016,0.0005,7
2,2025-10-11T12:00,2025-10-11T12:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,4
3,2025-10-11T17:00,2025-10-11T20:00,4,4,0.725,1.1,2.9,0.396,0.0,0.0003,52
4,2025-10-14T01:00,2025-10-14T01:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,209
5,2025-10-22T19:00,2025-10-23T01:00,7,7,0.4,0.6,2.8,0.323,0.171,0.0,40
6,2025-10-24T18:00,2025-10-24T20:00,3,3,0.367,0.5,1.1,0.315,0.0,0.0,716
7,2025-11-23T17:00,2025-11-23T17:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,2
8,2025-11-23T20:00,2025-11-23T20:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,441
9,2025-12-12T06:00,2025-12-12T07:00,2,2,0.0,0.0,0.0,0.0,1.0,0.0,2320
10,2026-03-19T00:00,2026-03-19T00:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,346
11,2026-04-02T11:00,2026-04-02T13:00,3,2,0.567,1.1,1.7,0.972,0.667,0.0011,16
12,2026-04-03T06:00,2026-04-03T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,123
13,2026-04-08T10:00,2026-04-08T10:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,110
14,2026-04-13T01:00,2026-04-13T01:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,6
15,2026-04-13T08:00,2026-04-13T09:00,2,2,1.25,1.8,2.5,0.622,1.0,0.005,6
16,2026-04-13T16:00,2026-04-13T16:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,31
17,2026-04-15T00:00,2026-04-15T05:00,6,6,0.917,1.4,5.5,0.433,0.146,0.0,4
18,2026-04-15T10:00,2026-04-15T10:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,8
19,2026-04-15T19:00,2026-04-15T19:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,138
20,2026-04-21T14:00,2026-04-21T22:00,9,8,0.4,0.6,3.6,0.306,0.524,0.0,6
21,2026-04-22T05:00,2026-04-22T06:00,2,2,0.75,0.8,1.5,0.094,1.0,0.0,111
22,2026-04-26T22:00,2026-04-27T00:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,12
23,2026-04-27T13:00,2026-04-27T20:00,8,8,1.387,1.9,11.1,0.382,0.277,0.003,66
24,2026-04-30T15:00,2026-04-30T20:00,6,6,0.65,1.2,3.9,0.54,0.062,0.0025,7
25,2026-05-01T04:00,2026-05-01T11:00,8,8,0.537,0.8,4.3,0.313,0.039,0.0,4
26,2026-05-01T16:00,2026-05-01T19:00,4,4,0.55,0.7,2.2,0.182,0.804,0.0,95
27,2026-05-05T19:00,2026-05-05T23:00,5,5,0.38,0.4,1.9,0.118,0.0,0.0,8
28,2026-05-06T08:00,2026-05-06T08:00,1,1,0.9,0.9,0.9,0.0,0.889,0.0,52
29,2026-05-08T13:00,2026-05-08T15:00,3,3,0.6,0.8,1.8,0.333,0.75,0.0,126
30,2026-05-13T22:00,2026-05-13T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
31,2026-05-14T03:00,2026-05-14T05:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,30
32,2026-05-15T12:00,2026-05-15T12:00,1,1,1.1,1.1,1.1,0.0,0.909,0.0,24
33,2026-05-16T13:00,2026-05-16T17:00,5,5,1.28,2.3,6.4,0.545,0.091,0.03,12
34,2026-05-17T06:00,2026-05-17T06:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,74
35,2026-05-20T09:00,2026-05-20T09:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,58
36,2026-05-22T20:00,2026-05-22T23:00,4,4,1.9,3.3,7.6,0.686,0.841,0.0029,19
37,2026-05-23T19:00,2026-05-24T06:00,12,11,1.333,2.4,16.0,0.615,0.334,0.007,61
38,2026-05-26T20:00,2026-05-27T07:00,12,11,0.633,1.4,7.6,0.596,0.0,0.001,144
39,2026-06-02T08:00,2026-06-02T10:00,3,3,0.6,0.8,1.8,0.333,0.5,0.0,2
